,INDPRO,IPFINAL,IPMANSICS,PAYEMS,MANEMP,RPI,CMRMTSPLx,RETAILx,IPCONGD,IPDCONGD,IPBUSEQ,CUMFNS,AMDMNOx,ANDENOx,UNRATE,AWHMAN,CES0600000007,HOUST,PERMIT,JTSJOL,RRSFS,S&P 500,S&P PE ratio,T10YFFM,T1YFFM,BAAFFM,TB3SMFFM,TB3MS,GS5,GS10,BAA,AAA,VIXCLSx,GS2,ANFCI,NFCI,term_spread,baa_spread,aaa_spread,CPIAUCSL,PCEPI,UMCSENTx,TWEXAFEGSMTHx,WPSFD49207,CPILFESL,PCEPILFE,IR,IQ,T10YIE,GDPC1
1985-01-31,-0.00017204490048339238,-0.003750753074101887,-0.0016576848248690546,0.0027535488799976804,-0.0007770870728514012,-0.0010871270109138464,-0.0025009959734667575,0.007520334565473519,-0.00572686707908332,-0.012074691572133478,-0.0011024241215644714,-0.3760000000000048,0.044314257927032585,0.035904210916910984,0.0,40.3,40.0,7.444833273892193,7.414572881350589,,,0.04225561684843537,0.029698572687278713,3.03,0.67,4.91,-0.59,-0.3000000000000007,-0.14000000000000057,-0.11999999999999922,-0.14000000000000057,-0.05000000000000071,19.2737,-0.25,-0.39975,-0.3595,3.620000000000001,1.879999999999999,0.6999999999999993,-3.5938161211390707e-06,0.0021636920177647845,3.0999999999999943,0.020444050968544403,0.0,-0.0009472986909422332,0.0016332887916301608,,,,
1985-02-28,0.002747347377229481,0.002279621312507807,-0.004018075539541588,0.001358392950290721,-0.002390550130801472,0.0007873974836734021,0.003399587743206922,0.01066535186635953,0.00594722373900769,-0.009417957044681735,-0.007374790969798539,-0.5609999999999928,-0.03416371761518455,0.12234589018808961,-0.09999999999999964,40.1,39.9,7.397561535524052,7.415776975415394,,,0.052778205347387974,0.03981470640406659,3.01,0.79,4.73,-0.23,0.5099999999999998,0.20000000000000107,0.129999999999999,-0.02999999999999936,0.05000000000000071,16.7049,0.2400000000000002,-0.40249999999999997,-0.37575000000000003,3.24,1.7200000000000006,0.620000000000001,0.0037664525116394287,-0.0003474924041602101,-2.299999999999997,0.032305533241732576,0.0009610764795509041,0.002781555781031564,-0.00041544544181393306,,,,
1985-03-31,0.001510290507219736,0.00388237145485526,0.007803304318306559,0.0035066885348609134,-0.0015039690900611191,0.004236572290439611,0.008715318386949278,0.005072119108397999,-0.000572473732784573,0.010798317422830994,0.010904140764723014,0.372799999999998,-0.010472874004754829,-0.05378606860969093,0.0,40.4,40.2,7.495541943884256,7.454141078146678,,,-0.008326442776554366,-0.017672649874200363,3.28,1.28,5.11,-0.06,0.25,0.3899999999999988,0.34999999999999964,0.4599999999999991,0.4299999999999997,16.2834,0.5400000000000009,-0.2754,-0.2954,3.34,1.83,0.7000000000000011,-0.0009677512935173382,-0.0007246394192206296,0.0,0.0026190248896584833,-0.0009610764795509041,-0.0018794662258203587,-0.001678718149823677,,,,0.9643147316147349
1985-04-30,-0.002178610346864396,-0.006609683845042902,-0.0038149881371554173,0.0020218698862191076,-0.002958829792964579,-0.0018521434886675792,-0.0010256508105541684,0.012841509401074092,-0.006190575105110341,-0.014754952948168754,-0.009302337876227362,-0.5344999999999942,-0.007564301987695643,-0.08942016663374552,0.09999999999999964,40.5,40.2,7.507141079727608,7.416979621381154,,,0.006666691358189425,-0.0008606288817243346,3.16,0.87,5.24,-0.32,-0.5699999999999994,-0.5099999999999998,-0.4299999999999997,-0.17999999999999972,-0.33000000000000007,14.0315,-0.620000000000001,-0.287,-0.304,3.4799999999999995,2.08,0.8000000000000007,-0.002821733242381441,-0.002460980048745398,0.8999999999999915,-0.0383456077893749,0.004791576009899323,-0.000935776122435783,-0.0023055172638040133,,,,
1985-05-31,0.0014529341416293917,0.001969652916133491,0.0020457523413881518,0.002819657129258246,-0.0017347028775773765,0.0021772144147949035,0.011518470378067747,0.006250212316849968,0.001919267337259889,0.0005908993893628534,0.0025026716584823916,-0.06459999999999866,0.030658452706811445,0.01546972901385324,-0.09999999999999964,40.4,40.1,7.426549072397305,7.443663683115591,,,0.023530497410193973,0.01988205754906236,2.88,0.49,5.18,-0.49,-0.46999999999999975,-0.6699999999999999,-0.5800000000000001,-0.35999999999999943,-0.5099999999999998,15.6305,-0.6999999999999993,-0.4766,-0.4202,3.369999999999999,2.3000000000000007,0.870000000000001,-3.493761015604946e-06,0.0009194597369290847,-2.799999999999997,0.0019224474842847172,-0.0019276122384708216,0.0009118810559129997,0.002249076233068248,,,,
1985-06-30,-0.0004852934296026845,0.0036781898584843375,0.0004008559069501594,0.0015094652480236448,-0.0020182773011345745,0.0035370353840900037,-0.016678287936976233,-0.005590915659539064,0.0032489113732907526,-0.0027241504854487175,0.0015923006796580985,-0.18149999999999977,0.03137915161528326,0.06621002400680531,0.20000000000000018,40.5,40.1,7.424165281042028,7.447751280047908,,,0.02140263611438531,0.021681194647153124,2.63,0.27,4.87,-0.58,-0.5300000000000002,-0.7400000000000002,-0.6899999999999995,-0.75,-0.7800000000000011,15.8821,-0.7000000000000011,-0.38175,-0.46099999999999997,3.21,2.24,0.7799999999999994,0.0009271847562200008,0.00035394219998963194,4.700000000000003,-0.011626238881852657,-0.005727927542857003,-0.000929686999114665,-0.00013180132573387127,,,,0.8766200074861175
1985-07-31,-0.004743077435995335,-0.0036634566643520827,-0.0036283983976157508,0.0019373990591606827,-0.0024160708480032156,0.0014513744129516226,0.0019177077116747654,0.0017472314865347727,-0.002852137073491079,0.0014038642640943344,-0.0032403459929093437,-0.477800000000002,-0.026772681666450637,-0.042283393345440956,0.0,40.4,40.1,7.428927194802272,7.436617265234227,,,0.018878379220375052,0.023010553382400545,2.43,-0.02,4.55,-0.8,0.1299999999999999,0.09999999999999964,0.15000000000000036,0.02999999999999936,0.030000000000001137,15.5221,0.08000000000000007,-0.112,-0.3715,3.2300000000000004,2.119999999999999,0.6600000000000001,-0.000935862336389981,-0.00026631721488090676,-2.5,-0.03596785099786892,0.003819530017096895,-7.561268326128356e-06,-0.00038980781403408216,,,,
1985-08-31,0.003037209495540427,0.0036650876863912885,0.00457051924050722,0.0019643155767781195,-0.0011257459254849778,-3.8433053113351434e-05,0.018011117117334052,0.014240974688830121,0.003887012176255311,0.010300059992894184,0.00027486290277556336,0.17919999999999447,0.024575970094916855,0.033707325167764424,-0.3000000000000007,40.6,40.2,7.463363045520021,7.4999765409521215,,,-0.022059718064732614,-0.016804618241037517,2.43,0.15,4.6,-0.76,0.05999999999999961,0.11000000000000121,0.019999999999999574,0.07000000000000028,0.08000000000000007,14.8626,0.16999999999999993,0.14279999999999998,-0.21200000000000002,3.1900000000000004,2.17,0.7200000000000006,-3.448492879698506e-06,0.0008481451581880961,-1.5999999999999943,-0.015089548816429321,-0.002867612717293966,0.0009036419386934114,0.0019784062848930972,,,,
1985-09-30,0.003377860635521479,0.0019260105285079376,7.414506113878616e-05,0.0020930655725628355,-0.0021424149819484484,0.004581473027288396,0.0026792822167802655,0.027795083883493277,0.005103194963884228,-0.0016131973420177026,-0.00358802129205138,-0.15149999999999864,0.0008410510164935658,0.053177386743991306,0.0,40.6,40.2,7.424165281042028,7.557994958530806,,,-0.022557347424074337,-0.01708509089330912,2.45,0.15,4.56,-0.82,-0.040000000000000036,0.0,0.03999999999999915,-0.019999999999999574,0.019999999999999574,16.7649,0.040000000000000924,0.29725,-0.13425,3.2699999999999996,2.110000000000001,0.7000000000000011,-3.435720672406717e-06,-0.0016151580147170108,-0.30000000000001137,0.008710661308092504,-0.0048090542014520565,-0.0018298023705627386,-0.0028326668209901484,,,,1.5157260373827697
1985-10-31,-0.003114667627625245,1.465083399931899e-05,-0.0016770216767385548,0.00191565083699885,-0.000564557119945519,0.004792300342614908,-0.009262684575867652,-0.02943095948522867,-0.00163599387890212,-0.005549417762956921,-0.0005428760996410986,-0.2680000000000007,-0.012816435685577332,-0.009449991699749916,0.0,40.7,40.2,7.51425465281641,7.463363045520021,,,0.011342276603934387,0.01705127947182339,2.25,0.02,4.37,-0.83,0.0600000000000005,-0.120000000000001,-0.129999999999999,-0.120000000000001,-0.05000000000000071,16.1499,-0.120000000000001,0.173,-0.22275,3.08,2.119999999999999,0.7799999999999994,0.0018415959542785743,-2.2627643443406953e-05,-3.6999999999999886,-0.05390128866926336,0.01726264534354094,0.00271531844840478,-0.0004590005141702491,,,,
1985-11-30,0.0035117423940054238,0.006503264805371778,0.006678367948431241,0.0021354926865075896,-0.0006213811808475356,0.0015373380227625688,0.0072919078343556265,0.004813414280720352,0.005683395235269728,0.02420057841856682,0.00914788664430155,0.3990000000000009,-0.03905274133757608,-0.11463771187199079,-0.09999999999999964,40.7,40.1,7.437206366871292,7.433666540166168,,,0.05891721949820994,0.06688669083764909,1.73,-0.17,3.94,-0.81,0.08000000000000007,-0.41000000000000014,-0.46000000000000085,-0.3699999999999992,-0.46999999999999886,16.1135,-0.27999999999999936,0.018,-0.3282,2.539999999999999,2.210000000000001,0.7700000000000014,0.0009042609132769996,0.001241104025881068,2.5,-0.018510254611257437,-0.004838107156593274,0.0008800205223851165,0.0008461042208258718,,,,
1985-12-31,0.009583811447792634,0.005055836180615003,0.003020104389719336,0.0016848348584961315,-0.00022605255818142211,0.006093219256142035,-0.005357028066029557,0.012422839606132996,0.009312658583053413,0.0014208350504274492,-0.0025996790805455916,0.13289999999999225,0.051324486039444395,0.16429641205285606,0.0,40.9,40.3,7.571473648851271,7.492203042618741,,,0.04842843510055772,0.05795014432937595,0.99,-0.6,3.31,-1.17,-0.14000000000000057,-0.5499999999999989,-0.5199999999999996,-0.41000000000000014,-0.39000000000000057,18.3427,-0.4299999999999997,0.132,-0.29575,2.16,2.3200000000000003,0.9000000000000004,-2.1042221217015822e-05,0.00044399980103015935,3.0,-0.007223163960309087,-0.0009752963179243679,-0.002718544840177195,0.00026949774213802513,,,,0.7406991828691645
1986-01-31,0.005520329372935784,0.007542535459026389,0.011781067601948969,0.0012465733519952948,-0.00039571497732282523,-0.0006469057559641556,0.014918798979211445,0.009642835000210681,0.011172287297212868,0.02395925953954592,0.002458533744723379,0.8362000000000052,0.023475367751625953,-0.1050878975902183,-0.2999999999999998,40.7,40.4,7.586803535162581,7.52131798019924,,,0.004332136739134462,0.015456031994073971,1.05,-0.41,3.3,-1.07,-0.02999999999999936,-0.05000000000000071,-0.07000000000000028,-0.14000000000000057,-0.10999999999999943,18.1213,-0.009999999999999787,0.08940000000000001,-0.257,2.119999999999999,2.25,0.8600000000000012,-0.0009303548743915258,0.0012424470978156243,1.6999999999999886,-0.010057440748458824,-0.009456282391891335,0.0017816569770969792,0.002657572115666973,,,,
