,INDPRO,IPFINAL,IPMANSICS,PAYEMS,MANEMP,RPI,CMRMTSPLx,RETAILx,S&P 500,S&P PE ratio,T10YFFM,T1YFFM,BAAFFM,TB3SMFFM,NFCI,CPIAUCSL,PCEPI,UMCSENTx,TWEXAFEGSMTHx,GDPC1
1985-01-31,-0.00017204490048339238,-0.003750753074101887,-0.0016576848248690546,0.0027535488799976804,-0.0007770870728514012,-0.0010871270109138464,-0.0025009959734667575,0.007520334565473519,0.04225561684843537,0.029698572687278713,3.03,0.67,4.91,-0.59,-0.3595,-3.5938161211390707e-06,0.0021636920177647845,3.0999999999999943,0.020444050968544403,
1985-02-28,0.002747347377229481,0.002279621312507807,-0.004018075539541588,0.001358392950290721,-0.002390550130801472,0.0007873974836734021,0.003399587743206922,0.01066535186635953,0.052778205347387974,0.03981470640406659,3.01,0.79,4.73,-0.23,-0.37575000000000003,0.0037664525116394287,-0.0003474924041602101,-2.299999999999997,0.032305533241732576,
1985-03-31,0.001510290507219736,0.00388237145485526,0.007803304318306559,0.0035066885348609134,-0.0015039690900611191,0.004236572290439611,0.008715318386949278,0.005072119108397999,-0.008326442776554366,-0.017672649874200363,3.28,1.28,5.11,-0.06,-0.2954,-0.0009677512935173382,-0.0007246394192206296,0.0,0.0026190248896584833,0.9643147316147349
1985-04-30,-0.002178610346864396,-0.006609683845042902,-0.0038149881371554173,0.0020218698862191076,-0.002958829792964579,-0.0018521434886675792,-0.0010256508105541684,0.012841509401074092,0.006666691358189425,-0.0008606288817243346,3.16,0.87,5.24,-0.32,-0.304,-0.002821733242381441,-0.002460980048745398,0.8999999999999915,-0.0383456077893749,
1985-05-31,0.0014529341416293917,0.001969652916133491,0.0020457523413881518,0.002819657129258246,-0.0017347028775773765,0.0021772144147949035,0.011518470378067747,0.006250212316849968,0.023530497410193973,0.01988205754906236,2.88,0.49,5.18,-0.49,-0.4202,-3.493761015604946e-06,0.0009194597369290847,-2.799999999999997,0.0019224474842847172,
1985-06-30,-0.0004852934296026845,0.0036781898584843375,0.0004008559069501594,0.0015094652480236448,-0.0020182773011345745,0.0035370353840900037,-0.016678287936976233,-0.005590915659539064,0.02140263611438531,0.021681194647153124,2.63,0.27,4.87,-0.58,-0.46099999999999997,0.0009271847562200008,0.00035394219998963194,4.700000000000003,-0.011626238881852657,0.8766200074861175
1985-07-31,-0.004743077435995335,-0.0036634566643520827,-0.0036283983976157508,0.0019373990591606827,-0.0024160708480032156,0.0014513744129516226,0.0019177077116747654,0.0017472314865347727,0.018878379220375052,0.023010553382400545,2.43,-0.02,4.55,-0.8,-0.3715,-0.000935862336389981,-0.00026631721488090676,-2.5,-0.03596785099786892,
1985-08-31,0.003037209495540427,0.0036650876863912885,0.00457051924050722,0.0019643155767781195,-0.0011257459254849778,-3.8433053113351434e-05,0.018011117117334052,0.014240974688830121,-0.022059718064732614,-0.016804618241037517,2.43,0.15,4.6,-0.76,-0.21200000000000002,-3.448492879698506e-06,0.0008481451581880961,-1.5999999999999943,-0.015089548816429321,
1985-09-30,0.003377860635521479,0.0019260105285079376,7.414506113878616e-05,0.0020930655725628355,-0.0021424149819484484,0.004581473027288396,0.0026792822167802655,0.027795083883493277,-0.022557347424074337,-0.01708509089330912,2.45,0.15,4.56,-0.82,-0.13425,-3.435720672406717e-06,-0.0016151580147170108,-0.30000000000001137,0.008710661308092504,1.5157260373827697
1985-10-31,-0.003114667627625245,1.465083399931899e-05,-0.0016770216767385548,0.00191565083699885,-0.000564557119945519,0.004792300342614908,-0.009262684575867652,-0.02943095948522867,0.011342276603934387,0.01705127947182339,2.25,0.02,4.37,-0.83,-0.22275,0.0018415959542785743,-2.2627643443406953e-05,-3.6999999999999886,-0.05390128866926336,
