,PAYEMS,CPIAUCSL,DGORDER,RSAFS,HSN1F,HOUST,UNRATE,INDPRO,PPIFIS,USPRIV,GACDISA066MSFRBNY,WHLSLRIMSA,TTLCONS,GACDFSA066MSFRBPHI,IR,PERMIT,TCU,PCEPILFE,CPILFESL,BUSINV,JTSJOL,PCEC96,PCEPI,IQ,AMDMVS,AMTMUO,AMDMTI,DSPIC96,BOPTEXP,BOPTIMP,ISM_PMI,ISM_PRICES,ISM_EMP,ISM_NMI,ULCNFB,A261RX1Q020SBEA,GDPC1
1985-01-31,265.0,0.18939399600707832,,,7.733320340317032,5.960235082561987,0.0,-0.017204490048278946,,211.0,,,,5.5,,34.0,-0.21649999999999636,0.5588657770158187,0.28050509276086816,,,,0.49793308647805473,,,,,-0.027676253137606507,,,50.3,47.6,44.4,,,,
1985-02-28,131.0,0.5660392471710134,,,5.577934104768962,-4.727173836814119,-0.09999999999999964,0.27473473772291396,,118.0,,,,10.9,,2.0,0.014000000000010004,0.5173212328344623,0.5586606708639776,,,,0.4631838460620396,,,,,-0.9225700924715193,,,49.9,44.8,45.2,,,,
1985-03-31,339.0,0.4692641178192225,,,-1.626052087178029,9.798040836020382,0.0,0.1510290507219275,,293.0,,,,30.9,,65.0,-0.0858000000000061,0.34944941785208905,0.37071404828195836,,,,0.3907199041399742,,,,,-0.4512895742875943,,,47.8,46.2,44.2,,3.7617211459117916,3.348221877990286,3.8572589264587425
1985-04-30,196.0,0.1870907935811824,,,-7.904965893254453,1.159913584335194,0.09999999999999964,-0.2178610346864349,,161.0,,,,10.0,,-63.0,-0.37820000000000675,0.11889769147164786,0.27713643603834137,,,,0.14462189926543004,,,,,1.664890755593099,,,48.2,44.1,43.2,,,,
1985-05-31,274.0,0.18674141747954623,,,8.94278099012583,-8.059200733030334,-0.09999999999999964,0.14529341416296174,,230.0,,,,8.0,,45.0,-0.08539999999999281,0.3438053147784834,0.3683245416296368,,,,0.23656787295832254,,,,,2.4266845981270024,,,47.1,48.7,40.4,,,,
1985-06-30,147.0,0.2794598931015925,,,6.287785095243069,-0.23837913552762505,0.20000000000000018,-0.04852934296021938,,123.0,,,,-2.4,,7.0,-0.23499999999999943,0.33062518220508375,0.27535584171828165,,,,0.27196209295729223,,,,,-2.112218930179841,,,47.8,42.4,44.5,,2.5144137274387157,2.8673837766575807,3.5064800299443157
1985-07-31,189.0,0.1858736594625342,,,5.915703084776515,0.4761913760243785,0.0,-0.47430774359959094,,67.0,,,,11.5,,-19.0,-0.5625,0.291644400801704,0.2745997148855844,,,,0.24533037146920356,,,,,0.22470648090032957,,,47.9,45.6,45.2,,,,
1985-08-31,192.0,0.1855288101746141,,,-5.363215491579525,3.443585071774894,-0.3000000000000007,0.3037209495540788,,193.0,,,,6.9,,111.0,0.06069999999999709,0.4894850292909951,0.3649639087549331,,,,0.330144887288002,,,,,-0.061380415114220294,,,47.7,44.0,41.1,,,,
1985-09-30,205.0,0.18518523810735046,,,-6.840272688440052,-3.919776447799254,0.0,0.3377860635521278,,186.0,,,,2.3,,108.0,0.09850000000000136,0.20621834719199086,0.18198367169858992,,,,0.1686290858163271,,,,,0.43852648226916496,,,49.9,44.3,41.8,,0.8085816714476548,4.8230797990664875,6.062904149531161
1985-10-31,188.0,0.369344833535173,,,-3.4512052305143626,9.008937177438183,0.0,-0.3114667627625047,,172.0,,,,6.3,,-173.0,-0.4008000000000038,0.16031829577495008,0.4535155165391363,,,,0.16636632147200417,,,,,0.5070614201852138,,,50.9,46.4,45.2,,,,
