series_id,ref_month,release_date
ISM_PMI,1979-12-31,1980-01-01
ISM_PMI,1980-01-31,1980-02-01
ISM_PMI,1980-02-29,1980-03-01
ISM_PMI,1980-03-31,1980-04-01
ISM_PMI,1980-04-30,1980-05-01
ISM_PMI,1980-05-31,1980-06-01
ISM_PMI,1980-06-30,1980-07-01
ISM_PMI,1980-07-31,1980-08-01
ISM_PMI,1980-08-31,1980-09-01
ISM_PMI,1980-09-30,1980-10-01
ISM_PMI,1980-10-31,1980-11-01
ISM_PMI,1980-11-30,1980-12-01
ISM_PMI,1980-12-31,1981-01-01
ISM_PMI,1981-01-31,1981-02-01
ISM_PMI,1981-02-28,1981-03-01
ISM_PMI,1981-03-31,1981-04-01
ISM_PMI,1981-04-30,1981-05-01
ISM_PMI,1981-05-31,1981-06-01
ISM_PMI,1981-06-30,1981-07-01
ISM_PMI,1981-07-31,1981-08-01
ISM_PMI,1981-08-31,1981-09-01
ISM_PMI,1981-09-30,1981-10-01
ISM_PMI,1981-10-31,1981-11-01
ISM_PMI,1981-11-30,1981-12-01
ISM_PMI,1981-12-31,1982-01-01
ISM_PMI,1982-01-31,1982-02-01
ISM_PMI,1982-02-28,1982-03-01
ISM_PMI,1982-03-31,1982-04-01
ISM_PMI,1982-04-30,1982-05-01
ISM_PMI,1982-05-31,1982-06-01
ISM_PMI,1982-06-30,1982-07-01
ISM_PMI,1982-07-31,1982-08-01
ISM_PMI,1982-08-31,1982-09-01
ISM_PMI,1982-09-30,1982-10-01
ISM_PMI,1982-10-31,1982-11-01
ISM_PMI,1982-11-30,1982-12-01
ISM_PMI,1982-12-31,1983-01-01
ISM_PMI,1983-01-31,1983-02-01
ISM_PMI,1983-02-28,1983-03-01
ISM_PMI,1983-03-31,1983-04-01
ISM_PMI,1983-04-30,1983-05-01
ISM_PMI,1983-05-31,1983-06-01
ISM_PMI,1983-06-30,1983-07-01
ISM_PMI,1983-07-31,1983-08-01
ISM_PMI,1983-08-31,1983-09-01
ISM_PMI,1983-09-30,1983-10-01
ISM_PMI,1983-10-31,1983-11-01
ISM_PMI,1983-11-30,1983-12-01
ISM_PMI,1983-12-31,1984-01-01
ISM_PMI,1984-01-31,1984-02-01
ISM_PMI,1984-02-29,1984-03-01
ISM_PMI,1984-03-31,1984-04-01
ISM_PMI,1984-04-30,1984-05-01
ISM_PMI,1984-05-31,1984-06-01
ISM_PMI,1984-06-30,1984-07-01
ISM_PMI,1984-07-31,1984-08-01
ISM_PMI,1984-08-31,1984-09-01
ISM_PMI,1984-09-30,1984-10-01
ISM_PMI,1984-10-31,1984-11-01
ISM_PMI,1984-11-30,1984-12-01
ISM_PMI,1984-12-31,1985-01-01
ISM_PMI,1985-01-31,1985-02-01
ISM_PMI,1985-02-28,1985-03-01
ISM_PMI,1985-03-31,1985-04-01
ISM_PMI,1985-04-30,1985-05-01
ISM_PMI,1985-05-31,1985-06-01
ISM_PMI,1985-06-30,1985-07-01
ISM_PMI,1985-07-31,1985-08-01
ISM_PMI,1985-08-31,1985-09-01
ISM_PMI,1985-09-30,1985-10-01
ISM_PMI,1985-10-31,1985-11-01
ISM_PMI,1985-11-30,1985-12-01
ISM_PMI,1985-12-31,1986-01-01
ISM_PMI,1986-01-31,1986-02-01
ISM_PMI,1986-02-28,1986-03-01
ISM_PMI,1986-03-31,1986-04-01
ISM_PMI,1986-04-30,1986-05-01
ISM_PMI,1986-05-31,1986-06-01
ISM_PMI,1986-06-30,1986-07-01
ISM_PMI,1986-07-31,1986-08-01
ISM_PMI,1986-08-31,1986-09-01
ISM_PMI,1986-09-30,1986-10-01
ISM_PMI,1986-10-31,1986-11-01
ISM_PMI,1986-11-30,1986-12-01
ISM_PMI,1986-12-31,1987-01-01
ISM_PMI,1987-01-31,1987-02-01
ISM_PMI,1987-02-28,1987-03-01
ISM_PMI,1987-03-31,1987-04-01
ISM_PMI,1987-04-30,1987-05-01
ISM_PMI,1987-05-31,1987-06-01
ISM_PMI,1987-06-30,1987-07-01
ISM_PMI,1987-07-31,1987-08-01
ISM_PMI,1987-08-31,1987-09-01
ISM_PMI,1987-09-30,1987-10-01
ISM_PMI,1987-10-31,1987-11-01
ISM_PMI,1987-11-30,1987-12-01
ISM_PMI,1987-12-31,1988-01-01
ISM_PMI,1988-01-31,1988-02-01
ISM_PMI,1988-02-29,1988-03-01
ISM_PMI,1988-03-31,1988-04-01
ISM_PMI,1988-04-30,1988-05-01
ISM_PMI,1988-05-31,1988-06-01
ISM_PMI,1988-06-30,1988-07-01
ISM_PMI,1988-07-31,1988-08-01
ISM_PMI,1988-08-31,1988-09-01
ISM_PMI,1988-09-30,1988-10-01
ISM_PMI,1988-10-31,1988-11-01
ISM_PMI,1988-11-30,1988-12-01
ISM_PMI,1988-12-31,1989-01-01
ISM_PMI,1989-01-31,1989-02-01
ISM_PMI,1989-02-28,1989-03-01
ISM_PMI,1989-03-31,1989-04-01
ISM_PMI,1989-04-30,1989-05-01
ISM_PMI,1989-05-31,1989-06-01
ISM_PMI,1989-06-30,1989-07-01
ISM_PMI,1989-07-31,1989-08-01
ISM_PMI,1989-08-31,1989-09-01
ISM_PMI,1989-09-30,1989-10-01
ISM_PMI,1989-10-31,1989-11-01
ISM_PMI,1989-11-30,1989-12-01
ISM_PMI,1989-12-31,1990-01-01
ISM_PMI,1990-01-31,1990-02-01
ISM_PMI,1990-02-28,1990-03-01
ISM_PMI,1990-03-31,1990-04-01
ISM_PMI,1990-04-30,1990-05-01
ISM_PMI,1990-05-31,1990-06-01
ISM_PMI,1990-06-30,1990-07-01
ISM_PMI,1990-07-31,1990-08-01
ISM_PMI,1990-08-31,1990-09-01
ISM_PMI,1990-09-30,1990-10-01
ISM_PMI,1990-10-31,1990-11-01
ISM_PMI,1990-11-30,1990-12-01
ISM_PMI,1990-12-31,1991-01-01
ISM_PMI,1991-01-31,1991-02-01
ISM_PMI,1991-02-28,1991-03-01
ISM_PMI,1991-03-31,1991-04-01
ISM_PMI,1991-04-30,1991-05-01
ISM_PMI,1991-05-31,1991-06-01
ISM_PMI,1991-06-30,1991-07-01
ISM_PMI,1991-07-31,1991-08-01
ISM_PMI,1991-08-31,1991-09-01
ISM_PMI,1991-09-30,1991-10-01
ISM_PMI,1991-10-31,1991-11-01
ISM_PMI,1991-11-30,1991-12-01
ISM_PMI,1991-12-31,1992-01-01
ISM_PMI,1992-01-31,1992-02-01
ISM_PMI,1992-02-29,1992-03-01
ISM_PMI,1992-03-31,1992-04-01
ISM_PMI,1992-04-30,1992-05-01
ISM_PMI,1992-05-31,1992-06-01
ISM_PMI,1992-06-30,1992-07-01
ISM_PMI,1992-07-31,1992-08-01
ISM_PMI,1992-08-31,1992-09-01
ISM_PMI,1992-09-30,1992-10-01
ISM_PMI,1992-10-31,1992-11-01
ISM_PMI,1992-11-30,1992-12-01
ISM_PMI,1992-12-31,1993-01-01
ISM_PMI,1993-01-31,1993-02-01
ISM_PMI,1993-02-28,1993-03-01
ISM_PMI,1993-03-31,1993-04-01
ISM_PMI,1993-04-30,1993-05-01
ISM_PMI,1993-05-31,1993-06-01
ISM_PMI,1993-06-30,1993-07-01
ISM_PMI,1993-07-31,1993-08-01
ISM_PMI,1993-08-31,1993-09-01
ISM_PMI,1993-09-30,1993-10-01
ISM_PMI,1993-10-31,1993-11-01
ISM_PMI,1993-11-30,1993-12-01
ISM_PMI,1993-12-31,1994-01-01
ISM_PMI,1994-01-31,1994-02-01
ISM_PMI,1994-02-28,1994-03-01
ISM_PMI,1994-03-31,1994-04-01
ISM_PMI,1994-04-30,1994-05-01
