,PAYEMS,CPIAUCSL,DGORDER,RSAFS,HSN1F,HOUST,UNRATE,INDPRO,PPIFIS,USPRIV,GACDISA066MSFRBNY,WHLSLRIMSA,TTLCONS,GACDFSA066MSFRBPHI,IR,PERMIT,TCU,PCEPILFE,CPILFESL,BUSINV,JTSJOL,PCEC96,PCEPI,IQ,AMDMVS,AMTMUO,AMDMTI,DSPIC96,BOPTEXP,BOPTIMP,ISM_PMI,ISM_PRICES,ISM_EMP,ISM_NMI,ULCNFB,A261RX1Q020SBEA,GDPC1
1985-01-31,96372.0,105.7,,,645.0,1711.0,7.3,54.6322,,80036.0,,,,5.5,,1660.0,80.0654,49.165,107.1,,,,49.326,,,,,6141.6,,,50.3,47.6,44.4,,,,
1985-02-28,96503.0,106.3,,,682.0,1632.0,7.2,54.7825,,80154.0,,,,10.9,,1662.0,80.0794,49.42,107.7,,,,49.555,,,,,6085.2,,,49.9,44.8,45.2,,,,
1985-03-31,96842.0,106.8,,,671.0,1800.0,7.2,54.8653,,80447.0,,,,30.9,75.5,1727.0,79.9936,49.593,108.1,,,,49.749,84.0,,,,6057.8,,,47.8,46.2,44.2,,60.896,8323.077,8400.82
1985-04-30,97038.0,107.0,,,620.0,1821.0,7.3,54.7459,,80608.0,,,,10.0,,1664.0,79.6154,49.652,108.4,,,,49.821,,,,,6159.5,,,48.2,44.1,43.2,,,,
1985-05-31,97312.0,107.2,,,678.0,1680.0,7.2,54.8255,,80838.0,,,,8.0,,1709.0,79.53,49.823,108.8,,,,49.939,,,,,6310.8,,,47.1,48.7,40.4,,,,
1985-06-30,97459.0,107.5,,,722.0,1676.0,7.4,54.7989,,80961.0,,,,-2.4,75.8,1716.0,79.295,49.988,109.1,,,,50.075,84.4,,,,6178.9,,,47.8,42.4,44.5,,61.28,8382.955,8474.787
1985-07-31,97648.0,107.7,,,766.0,1684.0,7.4,54.5396,,81028.0,,,,11.5,,1697.0,78.7325,50.134,109.4,,,,50.198,,,,,6192.8,,,47.9,45.6,45.2,,,,
1985-08-31,97840.0,107.9,,,726.0,1743.0,7.1,54.7055,,81221.0,,,,6.9,,1808.0,78.7932,50.38,109.8,,,,50.364,,,,,6189.0,,,47.7,44.0,41.1,,,,
1985-09-30,98045.0,108.1,,,678.0,1676.0,7.1,54.8906,,81407.0,,,,2.3,76.0,1916.0,78.8917,50.484,110.0,,,,50.449,83.7,,,,6216.2,,,49.9,44.3,41.8,,61.404,8484.646,8604.22
1985-10-31,98233.0,108.5,,,655.0,1834.0,7.1,54.7199,,81579.0,,,,6.3,,1743.0,78.4909,50.565,110.5,,,,50.533,,,,,6247.8,,,50.9,46.4,45.2,,,,
1985-11-30,98443.0,109.0,,,733.0,1698.0,7.0,54.9124,,81769.0,,,,19.7,,1692.0,78.624,50.689,111.1,,,,50.68,,,,,6258.1,,,52.0,45.7,44.5,,,,
1985-12-31,98609.0,109.5,,,721.0,1942.0,7.0,55.4412,,81915.0,,,,13.4,77.8,1794.0,79.2506,50.827,111.4,,,,50.85,83.8,,,,6296.4,,,50.7,48.7,42.6,,62.314,8532.34,8668.188
1986-01-31,98732.0,109.9,,,733.0,1972.0,6.7,55.7481,,82017.0,,,,22.4,,1847.0,79.5708,51.101,111.9,,,,51.084,,,,,6308.5,,,51.2,48.4,45.1,,,,
1986-02-28,98847.0,109.7,,,728.0,1848.0,7.2,55.3568,,82088.0,,,,19.8,,1767.0,78.9079,51.233,112.2,,,,51.084,,,,,6341.7,,,51.0,49.7,43.0,,,,
1986-03-31,98934.0,109.1,,,880.0,1876.0,7.2,54.9625,,82179.0,,,,14.0,75.0,1780.0,78.2531,51.389,112.5,,,,50.972,83.6,,,,6406.5,,,51.0,49.0,43.4,,62.464,8616.568,8749.127
1986-04-30,99121.0,108.7,,,857.0,1933.0,7.1,55.0413,,82356.0,,,,3.2,,1858.0,78.2809,51.482,112.9,,,,50.868,,,,,6430.4,,,49.7,42.8,42.2,,,,
1986-05-31,99248.0,109.0,,,789.0,1854.0,7.2,55.1226,,82458.0,,,,1.9,,1797.0,78.3175,51.57,113.1,,,,50.961,,,,,6435.8,,,53.4,49.5,45.4,,,,
1986-06-30,99155.0,109.4,,,728.0,1847.0,7.2,54.9005,,82376.0,,,,2.8,75.1,1790.0,77.9257,51.725,113.4,,,,51.151,83.3,,,,6429.8,,,50.5,51.3,43.3,,62.694,8640.488,8788.524
1986-07-31,99473.0,109.5,,,698.0,1782.0,7.0,55.2592,,82694.0,,,,11.8,,1780.0,78.3589,51.819,113.8,,,,51.164,,,,,6461.8,,,48.0,49.3,41.9,,,,
1986-08-31,99588.0,109.6,,,621.0,1807.0,6.9,55.1567,,82788.0,,,,6.8,,1726.0,78.1348,51.925,114.2,,,,51.228,,,,,6469.4,,,52.6,51.5,44.5,,,,
1986-09-30,99934.0,110.0,,,763.0,1687.0,7.0,55.2975,,83024.0,,,,10.6,76.9,1686.0,78.2497,52.096,114.6,,,,51.396,82.4,,,,6472.9,,,52.4,57.1,43.9,,63.208,8694.612,8872.601
1986-10-31,100121.0,110.2,,,669.0,1681.0,7.0,55.5332,,83152.0,,,,9.1,,1675.0,78.4896,52.273,115.0,,,,51.488,,,,,6466.0,,,51.2,56.9,43.7,,,,
1986-11-30,100308.0,110.4,,,707.0,1623.0,6.9,55.7557,,83303.0,,,,16.4,,1644.0,78.7,52.384,115.3,,,,51.58,,,,,6466.7,,,51.2,57.1,42.2,,,,
1986-12-31,100509.0,110.8,,,784.0,1833.0,6.6,56.2845,,83488.0,,,,22.8,77.7,1903.0,79.3312,52.452,115.6,,,,51.651,83.3,,,,6473.8,,,50.5,57.0,44.5,,64.193,8762.963,8920.193
1987-01-31,100678.0,111.4,,,709.0,1774.0,6.6,56.0882,,83633.0,,,,5.8,,1690.0,78.9302,52.578,115.9,,,,51.894,,,,,6494.2,,,54.9,61.1,47.3,,,,
1987-02-28,100919.0,111.8,,,732.0,1784.0,6.6,56.8275,,83883.0,,,,9.3,,1689.0,79.832,52.685,116.2,,,,52.076,,,,,6525.0,,,52.6,62.5,46.6,,,,
1987-03-31,101164.0,112.2,,,713.0,1726.0,6.6,56.9098,,84100.0,,,,5.6,80.8,1704.0,79.799,52.841,116.6,,,,52.214,84.3,,,,6530.5,,,55.0,62.7,48.3,,64.781,8853.75,8986.367
1987-04-30,101499.0,112.7,,,735.0,1614.0,6.3,57.2701,,84390.0,,,,14.3,,1601.0,80.1481,53.065,117.3,,,,52.409,,,,,6282.3,,,55.5,65.6,51.3,,,,
1987-05-31,101728.0,113.0,,,651.0,1628.0,6.3,57.6322,,84616.0,,,,19.7,,1500.0,80.4929,53.214,117.7,,,,52.542,,,,,6537.0,,,57.2,67.6,50.9,,,,
1987-06-30,101900.0,113.5,,,637.0,1594.0,6.2,57.9307,,84776.0,,,,13.0,83.6,1522.0,80.7451,53.36,117.9,,,,52.741,86.0,,,,6527.6,,,57.4,72.6,51.4,,64.817,8994.869,9083.256
1987-07-31,102247.0,113.8,,,658.0,1575.0,6.1,58.3258,,85087.0,,,,15.5,,1516.0,81.1334,53.498,118.3,,,,52.863,,,,,6545.8,,,57.5,74.3,46.6,,,,
1987-08-31,102420.0,114.3,,,657.0,1605.0,6.0,58.7636,,85248.0,,,,30.1,,1511.0,81.5864,53.679,118.7,,,,53.072,,,,,6574.0,,,59.3,77.4,52.4,,,,
1987-09-30,102647.0,114.7,,,666.0,1695.0,5.9,58.9951,,85512.0,,,,26.3,84.3,1514.0,81.762,53.892,119.2,,,,53.251,86.6,,,,6575.3,,,60.0,77.3,54.5,,65.465,9125.627,9162.024
1987-10-31,103138.0,115.0,,,650.0,1515.0,6.0,59.781,,85869.0,,,,27.2,,1447.0,82.7171,54.122,119.8,,,,53.42,,,,,6619.6,,,60.7,78.1,54.6,,,,
1987-11-30,103372.0,115.4,,,625.0,1656.0,5.8,60.0726,,86073.0,,,,11.8,,1457.0,83.0015,54.235,120.1,,,,53.521,,,,,6648.1,,,58.8,79.2,53.7,,,,
1987-12-31,103661.0,115.6,,,595.0,1400.0,5.7,60.4095,,86314.0,,,,29.8,85.5,1345.0,83.3639,54.349,120.4,,,,53.62,88.3,,,,6711.5,,,61.0,80.2,59.1,,65.587,9247.572,9319.332
1988-01-31,103753.0,116.0,,,585.0,1271.0,5.7,60.3976,,86388.0,,,,3.5,,1244.0,83.2612,54.606,120.9,,,,53.828,,,,,6730.2,,,57.5,78.7,51.2,,,,
1988-02-29,104214.0,116.2,,,663.0,1473.0,5.7,60.7003,,86825.0,,,,18.3,,1438.0,83.6092,54.718,121.2,,,,53.908,,,,,6773.5,,,56.2,81.2,52.5,,,,
1988-03-31,104489.0,116.5,,,669.0,1532.0,5.7,60.8501,,87042.0,,,,12.8,86.5,1525.0,83.7608,54.952,121.7,,,,54.093,89.8,,,,6804.3,,,54.6,74.5,50.2,,66.478,9357.969,9367.502
1988-04-30,104732.0,117.2,,,699.0,1573.0,5.4,61.2031,,87280.0,,,,26.8,,1429.0,84.2045,55.219,122.3,,,,54.356,,,,,6830.1,,,55.8,81.0,49.2,,,,
1988-05-31,104962.0,117.5,,,684.0,1421.0,5.6,61.0797,,87481.0,,,,17.8,,1444.0,84.0006,55.407,122.7,,,,54.514,,,,,6841.7,,,55.5,81.5,50.4,,,,
1988-06-30,105326.0,118.0,,,717.0,1478.0,5.4,61.2569,,87811.0,,,,17.4,88.8,1485.0,84.2142,55.641,123.2,,,,54.746,92.2,,,,6868.5,,,59.3,80.7,50.5,,67.099,9465.72,9490.594
1988-07-31,105550.0,118.5,,,679.0,1467.0,5.4,61.2659,,88056.0,,,,23.7,,1439.0,84.1973,55.868,123.6,,,,55.012,,,,,6898.2,,,58.2,81.0,52.5,,,,
1988-08-31,105674.0,119.0,,,688.0,1493.0,5.6,61.5731,,88130.0,,,,15.2,,1460.0,84.5859,56.007,124.0,,,,55.175,,,,,6918.4,,,56.0,78.2,51.2,,,,
1988-09-30,106013.0,119.5,,,703.0,1492.0,5.4,61.3807,,88379.0,,,,25.6,87.6,1436.0,84.2804,56.307,124.7,,,,55.444,94.1,,,,6932.4,,,54.5,72.8,50.2,,67.786,9551.092,9546.206
1988-10-31,106276.0,119.9,,,718.0,1522.0,5.4,61.6453,,88606.0,,,,27.2,,1516.0,84.5914,56.521,125.2,,,,55.625,,,,,6969.9,,,55.4,71.5,52.4,,,,
1988-11-30,106617.0,120.3,,,628.0,1569.0,5.3,61.7944,,88871.0,,,,27.2,,1508.0,84.7301,56.676,125.6,,,,55.754,,,,,6971.9,,,55.6,70.9,53.8,,,,
1988-12-31,106898.0,120.7,,,658.0,1563.0,5.3,62.0743,,89162.0,,,,22.7,89.3,1501.0,85.0338,56.864,126.0,,,,55.928,93.8,,,,7005.2,,,56.0,69.8,54.8,,68.22,9681.941,9673.405
1989-01-31,107161.0,121.2,,,719.0,1621.0,5.4,62.2574,,89387.0,,,,28.2,91.1,1466.0,85.1891,57.152,126.5,,,,56.215,94.9,,,,7033.4,,,54.7,70.5,51.4,,,,
1989-02-28,107427.0,121.6,,,622.0,1425.0,5.2,61.9819,,89615.0,,,,20.1,90.6,1383.0,84.7014,57.297,126.9,,,,56.402,94.6,,,,7052.7,,,54.1,67.9,50.0,,,,
1989-03-31,107621.0,122.2,,,567.0,1422.0,5.0,62.1369,,89799.0,,,,18.0,91.3,1214.0,84.786,57.468,127.4,,,,56.612,95.2,,,,7087.1,,,51.5,67.9,50.2,,68.293,9740.964,9771.725
1989-04-30,107791.0,123.1,,,608.0,1339.0,5.2,62.1276,,89951.0,,,,4.1,92.0,1376.0,84.6312,57.661,127.8,,,,56.989,95.0,,,,7050.0,,,52.2,65.4,50.0,,,,
1989-05-31,107913.0,123.7,,,656.0,1331.0,5.2,61.7744,,90037.0,,,,-10.2,92.6,1381.0,83.9944,57.833,128.3,,,,57.197,95.4,,,,7017.2,,,49.3,59.3,47.6,,,,
1989-06-30,108027.0,124.1,,,642.0,1397.0,5.3,61.7697,,90115.0,,,,-7.6,91.5,1322.0,83.819,57.987,128.8,,,,57.322,95.2,,,,7036.7,,,47.3,50.0,47.4,,68.374,9723.615,9846.293
1989-07-31,108069.0,124.5,,,731.0,1427.0,5.2,61.1738,,90164.0,,,,-16.9,90.5,1283.0,82.8332,58.136,129.2,,,,57.459,94.7,,,,7061.3,,,45.9,48.1,44.5,,,,
1989-08-31,108120.0,124.5,,,697.0,1332.0,5.2,61.7732,,90131.0,,,,-9.5,90.0,1334.0,83.4581,58.217,129.5,,,,57.466,94.0,,,,7080.0,,,45.1,43.3,44.6,,,,
1989-09-30,108369.0,124.8,,,639.0,1279.0,5.3,61.5796,,90342.0,,,,-5.4,90.4,1314.0,83.0045,58.419,129.9,,,,57.594,94.4,,,,7101.4,,,46.0,42.4,45.4,,68.667,9763.944,9919.228
1989-10-31,108476.0,125.4,,,645.0,1410.0,5.3,61.4966,,90443.0,,,,-7.0,90.9,1365.0,82.6969,58.631,130.6,,,,57.819,94.6,,,,7136.8,,,46.8,41.0,45.0,,,,
1989-11-30,108752.0,125.9,,,684.0,1351.0,5.4,61.7044,,90695.0,,,,-4.2,91.1,1344.0,82.7778,58.787,131.1,,,,57.945,94.2,,,,7144.0,,,46.8,40.9,45.9,,,,
1989-12-31,108836.0,126.3,,,630.0,1251.0,5.4,62.0428,,90761.0,,,,-2.1,91.6,1422.0,83.0331,58.954,131.6,,,,58.113,94.4,,,,7144.7,,,47.4,41.0,44.6,,69.646,9774.696,9938.767
1990-01-31,109196.0,127.5,,,620.0,1551.0,5.4,61.729,,91045.0,,,,-7.5,92.5,1748.0,82.4179,59.181,132.1,,,,58.553,95.2,,,,7187.4,,,47.2,50.8,45.4,,,,
1990-02-28,109436.0,128.0,,,591.0,1437.0,5.3,62.2896,,91259.0,,,,-22.1,92.7,1329.0,82.9732,59.468,132.7,,,,58.811,94.6,,,,7203.3,,,49.1,44.6,46.5,,,,
1990-03-31,109640.0,128.6,,,574.0,1289.0,5.2,62.5999,,91346.0,,,,-21.8,92.4,1246.0,83.1981,59.754,133.5,,,,59.033,94.8,,,,7206.1,,,49.9,50.1,46.5,,70.319,9867.971,10047.386
1990-04-30,109674.0,128.9,,,542.0,1248.0,5.4,62.4359,,91297.0,,,,-9.0,91.6,1136.0,82.8001,59.932,134.0,,,,59.157,95.1,,,,7253.4,,,50.0,50.9,46.6,,,,
1990-05-31,109828.0,129.1,,,534.0,1212.0,5.4,62.6258,,91229.0,,,,-16.5,91.2,1067.0,82.8798,60.115,134.4,,,,59.29,95.3,,,,7245.8,,,49.5,50.1,46.2,,,,
1990-06-30,109850.0,129.9,,,545.0,1177.0,5.2,62.8382,,91294.0,,,,-8.6,90.8,1108.0,82.9978,60.349,135.1,,,,59.552,95.1,,,,7257.3,,,49.2,53.2,45.4,,71.191,9922.905,10083.855
1990-07-31,109815.0,130.5,,,542.0,1171.0,5.5,62.7284,,91255.0,,,,-18.1,90.5,1078.0,82.7018,60.501,135.8,,,,59.699,95.3,,,,7283.7,,,46.6,51.4,46.3,,,,
1990-08-31,109607.0,131.6,,,528.0,1115.0,5.7,62.9475,,91150.0,,,,-18.2,93.3,1069.0,82.8509,60.753,136.6,,,,60.096,95.4,,,,7239.1,,,46.1,53.1,43.1,,,,
1990-09-30,109522.0,132.5,,,496.0,1110.0,5.9,62.9523,,91085.0,,,,-43.4,96.5,976.0,82.7293,60.965,137.1,,,,60.465,95.8,,,,7236.8,,,44.5,70.2,41.3,,71.898,9915.892,10090.569
1990-10-31,109377.0,133.4,,,465.0,1014.0,5.9,62.5845,,90934.0,,,,-48.2,99.3,925.0,82.1303,61.172,137.6,,,,60.811,96.6,,,,7178.7,,,43.2,73.4,40.2,,,,
1990-11-30,109222.0,133.7,,,493.0,1145.0,6.2,61.7887,,90772.0,,,,-27.1,98.7,941.0,80.9828,61.246,138.0,,,,60.888,96.7,,,,7181.9,,,41.3,64.2,36.2,,,,
1990-12-31,109168.0,134.2,,,464.0,969.0,6.3,61.3352,,90700.0,,,,-37.1,98.4,861.0,80.2964,61.331,138.6,,,,60.945,96.3,,,,7224.7,,,40.8,58.9,38.8,,73.201,9869.991,9998.704
1991-01-31,109058.0,134.7,,,401.0,798.0,6.4,61.1355,,90584.0,,,,-32.0,97.0,786.0,79.9522,61.637,139.5,,,,61.177,96.8,,,,7205.7,,,39.2,51.6,37.3,,,,
1991-02-28,108735.0,134.8,,,482.0,965.0,6.6,60.6838,,90253.0,,,,-22.1,95.0,853.0,79.2872,61.807,140.2,,,,61.208,96.7,,,,7216.8,,,39.4,44.5,35.6,,,,
1991-03-31,108568.0,134.8,,,507.0,921.0,6.8,60.3346,,90080.0,,,,-11.6,95.0,911.0,78.7629,61.936,140.5,,,,61.221,96.4,,,,7229.1,,,40.7,41.2,33.6,,73.401,9849.502,9951.916
1991-04-30,108350.0,135.1,,,508.0,1001.0,6.7,60.4938,,89865.0,,,,-6.5,94.2,916.0,78.9062,62.06,140.9,,,,61.332,96.6,,,,7258.0,,,42.8,38.8,35.8,,,,
1991-05-31,108253.0,135.6,,,517.0,996.0,6.9,61.0633,,89755.0,,,,3.9,94.0,991.0,79.5846,62.307,141.3,,,,61.586,96.4,,,,7259.5,,,44.5,38.2,37.4,,,,
1991-06-30,108330.0,136.0,,,516.0,1036.0,6.9,61.5581,,89769.0,,,,13.0,93.4,964.0,80.1624,62.442,141.8,,,,61.69,96.1,,,,7296.7,,,50.3,39.6,43.0,,73.61,9878.301,10029.51
1991-07-31,108290.0,136.2,,,511.0,1063.0,6.8,61.7305,,89692.0,,,,19.9,92.8,973.0,80.3158,62.632,142.3,,,,61.787,95.7,,,,7282.0,,,50.6,38.4,41.3,,,,
1991-08-31,108300.0,136.6,,,526.0,1049.0,6.9,61.7298,,89733.0,,,,27.0,93.1,944.0,80.2365,62.804,142.9,,,,61.931,96.0,,,,7298.3,,,52.9,41.8,44.0,,,,
1991-09-30,108335.0,137.0,,,487.0,1015.0,6.9,62.2195,,89792.0,,,,20.0,93.3,974.0,80.7851,63.055,143.4,,,,62.144,95.6,,,,7317.7,,,54.9,45.5,47.3,,73.857,9905.175,10080.195
1991-10-31,108361.0,137.2,,,524.0,1079.0,7.0,62.1855,,89768.0,,,,9.5,94.1,991.0,80.6424,63.194,143.7,,,,62.26,96.6,,,,7328.0,,,53.1,50.0,44.7,,,,
1991-11-30,108300.0,137.8,,,575.0,1103.0,7.0,62.0871,,89673.0,,,,1.3,94.5,984.0,80.4053,63.312,144.2,,,,62.397,96.7,,,,7338.4,,,49.5,47.6,43.0,,,,
1991-12-31,108330.0,138.2,,,558.0,1079.0,7.3,61.7852,,89689.0,,,,-18.8,94.3,1061.0,79.8949,63.468,144.7,,,,62.553,95.7,,,,7403.6,,,46.8,48.9,39.8,,74.493,9939.939,10115.329
1992-01-31,108365.0,138.3,,159177.0,676.0,1176.0,7.3,61.4616,,89677.0,,188403.0,,-2.2,94.0,1077.0,79.3278,63.641,145.1,800927.0,,,62.638,95.7,117958.0,471297.0,242159.0,7474.8,50251.0,52277.0,47.3,45.4,40.6,,,,
1992-02-29,108312.0,138.6,114535.0,159189.0,639.0,1250.0,7.4,61.8955,,89623.0,,189335.0,,0.6,94.0,1146.0,79.7329,63.814,145.4,802413.0,,,62.797,96.3,119895.0,468468.0,241142.0,7507.2,51682.0,52513.0,52.7,45.9,43.9,,,,
1992-03-31,108367.0,139.1,120025.0,158647.0,553.0,1297.0,7.4,62.4232,,89652.0,,190547.0,,15.0,93.9,1082.0,80.2464,63.973,145.9,806267.0,,,62.949,96.2,124897.0,466222.0,242116.0,7513.8,50294.0,52935.0,54.6,48.1,43.7,,74.951,10110.308,10236.435
1992-04-30,108516.0,139.4,124470.0,159921.0,546.0,1099.0,7.4,62.897,,89777.0,,189951.0,,20.0,93.6,1054.0,80.6802,64.183,146.3,808718.0,,,63.119,96.4,126174.0,467127.0,241520.0,7535.0,50302.0,53411.0,52.6,51.1,45.0,,,,
1992-05-31,108646.0,139.7,125822.0,160471.0,554.0,1214.0,7.6,63.104,,89893.0,,189115.0,,17.0,94.0,1056.0,80.764,64.273,146.8,808186.0,,,63.203,96.7,127638.0,468021.0,240786.0,7570.2,50044.0,53963.0,55.7,55.0,49.5,,,,
1992-06-30,108706.0,140.1,122834.0,161205.0,596.0,1145.0,7.8,63.1363,,89944.0,,192831.0,,15.0,94.8,1057.0,80.6204,64.323,147.1,813573.0,,,63.315,96.5,127867.0,465647.0,240148.0,7601.6,51727.0,54551.0,53.6,53.9,46.6,,75.008,10194.831,10347.429
