as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2007-01-05,2006Q4,14,cbvar,authors,-1.9053494577647325,3.4823729200428755,1000,True
2007-01-05,2007Q1,1,cbvar,authors,-2.016269907083485,1.2087836914185912,1000,True
2007-01-05,2007Q2,-12,cbvar,authors,-2.035095530864653,2.4695947150627617,1000,True
2007-01-12,2006Q4,15,cbvar,authors,-1.808480519795634,3.4823729200428755,1000,False
2007-01-12,2007Q1,2,cbvar,authors,-2.0382856531606484,1.2087836914185912,1000,False
2007-01-12,2007Q2,-11,cbvar,authors,-2.0239222920945696,2.4695947150627617,1000,False
2007-01-19,2006Q4,16,cbvar,authors,-1.8094673650595894,3.4823729200428755,1000,False
2007-01-19,2007Q1,3,cbvar,authors,-2.0888572018219014,1.2087836914185912,1000,False
2007-01-19,2007Q2,-10,cbvar,authors,-2.05982640529722,2.4695947150627617,1000,False
2007-01-26,2006Q4,17,cbvar,authors,-1.8695434935397912,3.4823729200428755,1000,False
2007-01-26,2007Q1,4,cbvar,authors,-1.9980015013679773,1.2087836914185912,1000,False
2007-01-26,2007Q2,-9,cbvar,authors,-2.108670237416227,2.4695947150627617,1000,False
