as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-02-02,2007Q1,5,lbvar,-,1.7494527412754701,1.7343259856025868,,1.7285975429295661,1.2087836914185912,1.2015362468522506,0.5406690498568789,2007-04-28,10,250,True,True
2007-02-02,2007Q2,-8,lbvar,-,2.6799588656963635,2.6446769407993247,,2.20243354615238,2.4695947150627617,2.439593165871891,0.2103641506336018,2007-07-28,10,250,True,True
2007-02-09,2007Q1,6,lbvar,-,2.376960012943241,2.3491501427445813,,1.713913319216035,1.2087836914185912,1.2015362468522506,1.16817632152465,2007-04-28,8,250,True,False
2007-02-09,2007Q2,-7,lbvar,-,2.9498709122212086,2.907199359683169,,2.3448809057149753,2.4695947150627617,2.439593165871891,0.4802761971584468,2007-07-28,8,250,True,False
2007-02-16,2007Q1,7,lbvar,-,2.4324578203389513,2.4033447294400228,,1.5346511246539085,1.2087836914185912,1.2015362468522506,1.22367412892036,2007-04-28,7,250,True,False
2007-02-16,2007Q2,-6,lbvar,-,2.596633778346591,2.563493703243647,,2.043475654566027,2.4695947150627617,2.439593165871891,0.1270390632838292,2007-07-28,7,250,True,False
2007-02-23,2007Q1,8,lbvar,-,2.139776071826782,2.117204286388461,,1.5050834481610718,1.2087836914185912,1.2015362468522506,0.930992380408191,2007-04-28,4,250,True,False
2007-02-23,2007Q2,-5,lbvar,-,2.936725192633949,2.894429495249227,,1.9761106693111914,2.4695947150627617,2.439593165871891,0.4671304775711871,2007-07-28,4,250,True,False
2007-03-02,2007Q1,9,lbvar,-,1.2152197118626917,1.207895196717947,,1.3523812910900386,1.2087836914185912,1.2015362468522506,0.006436020444100521,2007-04-28,11,250,True,False
2007-03-02,2007Q2,-4,lbvar,-,2.171794020081752,2.1485465627976437,,2.127730789089799,2.4695947150627617,2.439593165871891,-0.2978006949810097,2007-07-28,11,250,True,False
2007-03-09,2007Q1,10,lbvar,-,1.248768121325916,1.2410353221588308,,1.325757555429995,1.2087836914185912,1.2015362468522506,0.03998442990732487,2007-04-28,8,250,True,False
2007-03-09,2007Q2,-3,lbvar,-,2.010080209388887,1.9901447995497552,,2.1803409643443388,2.4695947150627617,2.439593165871891,-0.45951450567387475,2007-07-28,8,250,True,False
2007-03-16,2007Q1,11,lbvar,-,1.0149639704667646,1.009847800227057,,1.379270555159626,1.2087836914185912,1.2015362468522506,-0.19381972095182665,2007-04-28,7,250,True,False
2007-03-16,2007Q2,-2,lbvar,-,1.9087744215058322,1.8907858693510935,,1.951794377130674,2.4695947150627617,2.439593165871891,-0.5608202935569295,2007-07-28,7,250,True,False
2007-03-23,2007Q1,12,lbvar,-,1.5123373197057477,1.5010155054994179,,1.3694335771379649,1.2087836914185912,1.2015362468522506,0.3035536282871565,2007-04-28,4,250,True,False
2007-03-23,2007Q2,-1,lbvar,-,2.0009714804977374,1.9812151569428949,,2.003119733707272,2.4695947150627617,2.439593165871891,-0.4686232345650243,2007-07-28,4,250,True,False
2007-03-30,2007Q1,13,lbvar,-,1.4672222582806316,1.4565626923572186,,1.3196173210625972,1.2087836914185912,1.2015362468522506,0.25843856686204036,2007-04-28,8,250,True,False
2007-03-30,2007Q2,0,lbvar,-,1.5717713056930038,1.5595469071795847,,1.9255236351965639,2.4695947150627617,2.439593165871891,-0.8978234093697579,2007-07-28,8,250,True,False
2007-04-06,2007Q1,14,lbvar,-,1.0171117497244642,1.0119739767266294,,1.2568941022365205,1.2087836914185912,1.2015362468522506,-0.19167194169412705,2007-04-28,10,250,True,False
2007-04-06,2007Q2,1,lbvar,-,1.2395941652806441,1.2319741040740464,,2.0006728175405124,2.4695947150627617,2.439593165871891,-1.2300005497821176,2007-07-28,10,250,True,False
2007-04-06,2007Q3,-12,lbvar,-,2.3734759654702065,2.3457469290159048,,2.246181678606983,2.3240880884577653,2.297492443722903,0.049387877012441184,2007-10-28,10,250,True,False
2007-04-13,2007Q1,15,lbvar,-,1.1904599944727368,1.1834297592367664,,1.2461764330727574,1.2087836914185912,1.2015362468522506,-0.01832369694585445,2007-04-28,6,250,True,False
2007-04-13,2007Q2,2,lbvar,-,1.2685781665932372,1.2605991231799458,,1.9006963913630106,2.4695947150627617,2.439593165871891,-1.2010165484695245,2007-07-28,6,250,True,False
2007-04-13,2007Q3,-11,lbvar,-,2.0533005359519185,2.0325045086278246,,2.436224195780267,2.3240880884577653,2.297492443722903,-0.27078755250584674,2007-10-28,6,250,True,False
2007-04-20,2007Q1,16,lbvar,-,1.1616852873426398,1.1549895296716435,,1.3246814945292253,1.2087836914185912,1.2015362468522506,-0.04709840407595145,2007-04-28,7,250,True,False
2007-04-20,2007Q2,3,lbvar,-,0.780222151269605,0.7771941580938947,,1.8443485875989458,2.4695947150627617,2.439593165871891,-1.6893725637931567,2007-07-28,7,250,True,False
2007-04-20,2007Q3,-10,lbvar,-,1.8945899409376077,1.8768660985607528,,2.0638650369950127,2.3240880884577653,2.297492443722903,-0.4294981475201576,2007-10-28,7,250,True,False
2007-04-27,2007Q1,17,lbvar,-,1.4759638348000648,1.465177494059238,,1.3744309134107775,1.2087836914185912,1.2015362468522506,0.26718014338147356,2007-04-28,4,250,True,False
2007-04-27,2007Q2,4,lbvar,-,0.5046826215080458,0.5034133674443647,,1.7378656013522706,2.4695947150627617,2.439593165871891,-1.964912093554716,2007-07-28,4,250,True,False
2007-04-27,2007Q3,-9,lbvar,-,2.05227023197575,2.0314949291515756,,2.077233979944138,2.3240880884577653,2.297492443722903,-0.27181785648201506,2007-10-28,4,250,True,False
