as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2011-04-29,2011Q2,5,qbvar,-,-1.8736213644006403,2.7339190839842376,1000,True
2011-04-29,2011Q3,-8,qbvar,-,-2.033083944784421,-0.08922107662069356,1000,True
2011-05-06,2011Q2,6,qbvar,-,-1.7551765424341996,2.7339190839842376,1000,False
2011-05-06,2011Q3,-7,qbvar,-,-1.9625193321547258,-0.08922107662069356,1000,False
2011-05-13,2011Q2,7,qbvar,-,-1.7539082052031536,2.7339190839842376,1000,False
2011-05-13,2011Q3,-6,qbvar,-,-2.0168544207242745,-0.08922107662069356,1000,False
2011-05-20,2011Q2,8,qbvar,-,-1.8279892143254202,2.7339190839842376,1000,False
2011-05-20,2011Q3,-5,qbvar,-,-2.164075293178786,-0.08922107662069356,1000,False
2011-05-27,2011Q2,9,qbvar,-,-1.8825613186576706,2.7339190839842376,1000,False
2011-05-27,2011Q3,-4,qbvar,-,-2.170210885330603,-0.08922107662069356,1000,False
2011-06-03,2011Q2,10,qbvar,-,-1.8813546735828395,2.7339190839842376,1000,False
2011-06-03,2011Q3,-3,qbvar,-,-2.091875560215899,-0.08922107662069356,1000,False
2011-06-10,2011Q2,11,qbvar,-,-1.9120170386943012,2.7339190839842376,1000,False
2011-06-10,2011Q3,-2,qbvar,-,-2.1273663330271027,-0.08922107662069356,1000,False
2011-06-17,2011Q2,12,qbvar,-,-1.868091568576963,2.7339190839842376,1000,False
2011-06-17,2011Q3,-1,qbvar,-,-2.1749228399597573,-0.08922107662069356,1000,False
2011-06-24,2011Q2,13,qbvar,-,-1.705080267567061,2.7339190839842376,1000,False
2011-06-24,2011Q3,0,qbvar,-,-2.237022498868231,-0.08922107662069356,1000,False
2011-07-01,2011Q2,14,qbvar,-,-1.785234528913793,2.7339190839842376,1000,False
2011-07-01,2011Q3,1,qbvar,-,-2.169833888232931,-0.08922107662069356,1000,False
2011-07-01,2011Q4,-13,qbvar,-,-2.756397070506684,4.568438742179692,1000,False
2011-07-08,2011Q2,15,qbvar,-,-1.6966743881681063,2.7339190839842376,1000,False
2011-07-08,2011Q3,2,qbvar,-,-2.2131668980945,-0.08922107662069356,1000,False
2011-07-08,2011Q4,-12,qbvar,-,-2.847841522751087,4.568438742179692,1000,False
2011-07-15,2011Q2,16,qbvar,-,-1.593896174194351,2.7339190839842376,1000,False
2011-07-15,2011Q3,3,qbvar,-,-2.0921118007221198,-0.08922107662069356,1000,False
2011-07-15,2011Q4,-11,qbvar,-,-2.9499164416396413,4.568438742179692,1000,False
2011-07-22,2011Q2,17,qbvar,-,-1.625916074309488,2.7339190839842376,1000,False
2011-07-22,2011Q3,4,qbvar,-,-2.219548097851141,-0.08922107662069356,1000,False
2011-07-22,2011Q4,-10,qbvar,-,-2.840485827449287,4.568438742179692,1000,False
