as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2014-10-31,2014Q4,5,lbvar,-,-1.5729017831785002,2.0383303103057804,200,True
2014-10-31,2015Q1,-8,lbvar,-,-2.447872824947141,3.650885031119766,200,True
2014-11-07,2014Q4,6,lbvar,-,-1.5511825590299546,2.0383303103057804,200,False
2014-11-07,2015Q1,-7,lbvar,-,-2.251418606047868,3.650885031119766,200,False
2014-11-14,2014Q4,7,lbvar,-,-1.3510954037569176,2.0383303103057804,200,False
2014-11-14,2015Q1,-6,lbvar,-,-2.2867519927068547,3.650885031119766,200,False
2014-11-21,2014Q4,8,lbvar,-,-1.3063489527693464,2.0383303103057804,200,False
2014-11-21,2015Q1,-5,lbvar,-,-2.2328329181966677,3.650885031119766,200,False
2014-11-28,2014Q4,9,lbvar,-,-1.3428529498478547,2.0383303103057804,200,False
2014-11-28,2015Q1,-4,lbvar,-,-1.9792374537617734,3.650885031119766,200,False
2014-12-05,2014Q4,10,lbvar,-,-1.8533540677495928,2.0383303103057804,200,False
2014-12-05,2015Q1,-3,lbvar,-,-2.0789856713883665,3.650885031119766,200,False
2014-12-12,2014Q4,11,lbvar,-,-1.8019010439837164,2.0383303103057804,200,False
2014-12-12,2015Q1,-2,lbvar,-,-2.0265808426286487,3.650885031119766,200,False
2014-12-19,2014Q4,12,lbvar,-,-1.4999474114957505,2.0383303103057804,200,False
2014-12-19,2015Q1,-1,lbvar,-,-2.2777613068765272,3.650885031119766,200,False
2014-12-26,2014Q4,13,lbvar,-,-1.3865878278795631,2.0383303103057804,200,False
2014-12-26,2015Q1,0,lbvar,-,-2.3762138929753713,3.650885031119766,200,False
2015-01-02,2014Q4,14,lbvar,-,-1.5729410612338708,2.0383303103057804,200,False
2015-01-02,2015Q1,1,lbvar,-,-2.1064134488112485,3.650885031119766,200,False
2015-01-02,2015Q2,-12,lbvar,-,-1.8659297903683514,2.5007353109643082,200,False
2015-01-09,2014Q4,15,lbvar,-,-1.7555724885148927,2.0383303103057804,200,False
2015-01-09,2015Q1,2,lbvar,-,-2.2350416969453115,3.650885031119766,200,False
2015-01-09,2015Q2,-11,lbvar,-,-1.8908388242305532,2.5007353109643082,200,False
2015-01-16,2014Q4,16,lbvar,-,-1.5042941753854395,2.0383303103057804,200,False
2015-01-16,2015Q1,3,lbvar,-,-2.0788740662416823,3.650885031119766,200,False
2015-01-16,2015Q2,-10,lbvar,-,-1.870099685360599,2.5007353109643082,200,False
2015-01-23,2014Q4,17,lbvar,-,-1.4327863148291382,2.0383303103057804,200,False
2015-01-23,2015Q1,4,lbvar,-,-2.2098697800387956,3.650885031119766,200,False
2015-01-23,2015Q2,-9,lbvar,-,-1.821313485747289,2.5007353109643082,200,False
