as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2017-02-03,2017Q1,5,cbvar,authors,2.4500024243923835,2.4204712360969225,,3.0263124115164586,1.9618307902452337,1.942834932414497,0.4881716341471498,2017-04-28,12,1000,True,True
2017-02-03,2017Q2,-8,cbvar,authors,1.7784115621384156,1.762782846934553,,3.4459636470173423,2.258367983115228,2.233244405190973,-0.47995642097681257,2017-07-28,12,1000,True,True
2017-02-10,2017Q1,6,cbvar,authors,2.2750878052579693,2.249593634822426,,3.05480159561859,1.9618307902452337,1.942834932414497,0.3132570150127356,2017-04-28,7,1000,True,False
2017-02-10,2017Q2,-7,cbvar,authors,1.7118044287398826,1.6973181409751306,,3.2855584835367093,2.258367983115228,2.233244405190973,-0.5465635543753455,2017-07-28,7,1000,True,False
2017-02-17,2017Q1,7,cbvar,authors,2.97300792227263,2.929670889102083,,3.0920517982786584,1.9618307902452337,1.942834932414497,1.0111771320273966,2017-04-28,10,1000,True,False
2017-02-17,2017Q2,-6,cbvar,authors,1.8350709975339607,1.818436761543469,,3.305166406922754,2.258367983115228,2.233244405190973,-0.4232969855812674,2017-07-28,10,1000,True,False
2017-02-24,2017Q1,8,cbvar,authors,2.957769651321218,2.914871478194426,,2.9984203391440865,1.9618307902452337,1.942834932414497,0.9959388610759845,2017-04-28,2,1000,True,False
2017-02-24,2017Q2,-5,cbvar,authors,1.6690807813916186,1.6553047060030468,,3.562613225946539,2.258367983115228,2.233244405190973,-0.5892872017236095,2017-07-28,2,1000,True,False
2017-03-03,2017Q1,9,cbvar,authors,2.8660771594853474,2.825773446724862,,2.77819627446131,1.9618307902452337,1.942834932414497,0.9042463692401137,2017-04-28,12,1000,True,False
2017-03-03,2017Q2,-4,cbvar,authors,2.050038345663574,2.029307902137703,,3.338015718276665,2.258367983115228,2.233244405190973,-0.20832963745165411,2017-07-28,12,1000,True,False
2017-03-10,2017Q1,10,cbvar,authors,2.7412087269697016,2.7043103892956406,,2.5983834622783646,1.9618307902452337,1.942834932414497,0.779377936724468,2017-04-28,8,1000,True,False
2017-03-10,2017Q2,-3,cbvar,authors,1.8554073941428606,1.8384047019568306,,3.2069303219643404,2.258367983115228,2.233244405190973,-0.40296058897236753,2017-07-28,8,1000,True,False
2017-03-17,2017Q1,11,cbvar,authors,2.898080092347788,2.85687986831735,,2.569765948593954,1.9618307902452337,1.942834932414497,0.9362493021025542,2017-04-28,10,1000,True,False
2017-03-17,2017Q2,-2,cbvar,authors,1.661686795104289,1.6480318408299912,,3.308550769205107,2.258367983115228,2.233244405190973,-0.5966811880109391,2017-07-28,10,1000,True,False
2017-03-24,2017Q1,12,cbvar,authors,3.416466975228616,3.359401848607382,,2.408955008532133,1.9618307902452337,1.942834932414497,1.4546361849833822,2017-04-28,2,1000,True,False
2017-03-24,2017Q2,-1,cbvar,authors,1.6660454179317274,1.6523191289246022,,3.5881787509109544,2.258367983115228,2.233244405190973,-0.5923225651835007,2017-07-28,2,1000,True,False
2017-03-31,2017Q1,13,cbvar,authors,3.4292309906535423,3.371743430343573,,2.413735012586459,1.9618307902452337,1.942834932414497,1.4674002004083087,2017-04-28,8,1000,True,False
2017-03-31,2017Q2,0,cbvar,authors,1.616491889063476,1.6035657726292274,,3.3729578410936822,2.258367983115228,2.233244405190973,-0.641876094051752,2017-07-28,8,1000,True,False
2017-04-07,2017Q1,14,cbvar,authors,3.545452820653139,3.4840488003287713,,2.293442814007913,1.9618307902452337,1.942834932414497,1.5836220304079052,2017-04-28,12,1000,True,False
2017-04-07,2017Q2,1,cbvar,authors,1.6294759908149326,1.6163425100027273,,3.407875711252649,2.258367983115228,2.233244405190973,-0.6288919923002956,2017-07-28,12,1000,True,False
2017-04-07,2017Q3,-12,cbvar,authors,1.516296691826824,1.5049158145773514,,3.367430767122588,3.1915992394406345,3.1417261027391388,-1.6753025476138106,2017-10-28,12,1000,True,False
2017-04-14,2017Q1,15,cbvar,authors,3.4585606163647475,3.4000966025437016,,2.082218804566235,1.9618307902452337,1.942834932414497,1.4967298261195139,2017-04-28,6,1000,True,False
2017-04-14,2017Q2,2,cbvar,authors,1.6960349102433492,1.6818128206498437,,3.4315843727886315,2.258367983115228,2.233244405190973,-0.562333072871879,2017-07-28,6,1000,True,False
2017-04-14,2017Q3,-11,cbvar,authors,1.5868315987578097,1.5743730507709306,,3.4726107153925923,3.1915992394406345,3.1417261027391388,-1.6047676406828248,2017-10-28,6,1000,True,False
2017-04-21,2017Q1,16,cbvar,authors,3.402948156937613,3.346328783584335,,2.249372235472869,1.9618307902452337,1.942834932414497,1.4411173666923793,2017-04-28,6,1000,True,False
2017-04-21,2017Q2,3,cbvar,authors,2.1554079578569696,2.132507521396118,,3.3437052431250023,2.258367983115228,2.233244405190973,-0.10296002525825854,2017-07-28,6,1000,True,False
2017-04-21,2017Q3,-10,cbvar,authors,1.5163831641716974,1.5050009952930221,,3.4994195978284743,3.1915992394406345,3.1417261027391388,-1.6752160752689371,2017-10-28,6,1000,True,False
