as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2022-10-28,2022Q4,4,bbvar,-,-1.4883984442278786,-1.4995862453734978,,3.182175296647818,2.7896792303830242,2.7514765401293477,-4.278077674610903,2023-01-28,6,1000,True,True
2022-10-28,2023Q1,-9,bbvar,-,-0.5638608928746847,-0.5654565895740543,,4.188316136088241,2.9269931752128775,2.884974679698935,-3.490854068087562,2023-04-28,6,1000,True,True
2022-11-04,2022Q4,5,bbvar,-,1.5420050279023267,1.5302369523935697,,3.2185159075981224,2.7896792303830242,2.7514765401293477,-1.2476742024806975,2023-01-28,13,1000,True,False
2022-11-04,2023Q1,-8,bbvar,-,-1.6050545163506347,-1.618075028529869,,3.9769012691228895,2.9269931752128775,2.884974679698935,-4.532047691563513,2023-04-28,13,1000,True,False
2022-11-11,2022Q4,6,bbvar,-,-0.10157751459797804,-0.10162913951783875,,2.139667686753801,2.7896792303830242,2.7514765401293477,-2.8912567449810025,2023-01-28,5,1000,True,False
2022-11-11,2023Q1,-7,bbvar,-,-0.01712128369039667,-0.017122749549491025,,3.8422217287556584,2.9269931752128775,2.884974679698935,-2.9441144589032744,2023-04-28,5,1000,True,False
2022-11-18,2022Q4,7,bbvar,-,0.27844386570899937,0.2780569288787392,,2.109552933933522,2.7896792303830242,2.7514765401293477,-2.511235364674025,2023-01-28,11,1000,True,False
2022-11-18,2023Q1,-6,bbvar,-,0.13563651551460332,0.13554461228640316,,3.904993327401218,2.9269931752128775,2.884974679698935,-2.791356659698274,2023-04-28,11,1000,True,False
2022-11-25,2022Q4,8,bbvar,-,0.2477477946161155,0.24744140571092776,,2.0773715826495387,2.7896792303830242,2.7514765401293477,-2.5419314357669087,2023-01-28,0,1000,True,False
2022-11-25,2023Q1,-5,bbvar,-,0.40803263375255305,0.40720243814795726,,3.713166909273302,2.9269931752128775,2.884974679698935,-2.5189605414603244,2023-04-28,0,1000,True,False
2022-12-02,2022Q4,9,bbvar,-,0.16996394679648086,0.16981967153458052,,2.053223155707011,2.7896792303830242,2.7514765401293477,-2.6197152835865434,2023-01-28,11,1000,True,False
2022-12-02,2023Q1,-4,bbvar,-,0.7369345061007393,0.734232410764093,,3.8731859944926565,2.9269931752128775,2.884974679698935,-2.190058669112138,2023-04-28,11,1000,True,False
2022-12-09,2022Q4,10,bbvar,-,-0.002330087059609909,-0.0023301142065601348,,1.9865762769192568,2.7896792303830242,2.7514765401293477,-2.792009317442634,2023-01-28,9,1000,True,False
2022-12-09,2023Q1,-3,bbvar,-,0.4060128823633713,0.40519087428143696,,3.9881546159485164,2.9269931752128775,2.884974679698935,-2.520980292849506,2023-04-28,9,1000,True,False
2022-12-16,2022Q4,11,bbvar,-,0.09179180215473925,0.09174969924273646,,1.9752402081262603,2.7896792303830242,2.7514765401293477,-2.697887428228285,2023-01-28,8,1000,True,False
2022-12-16,2023Q1,-2,bbvar,-,-0.3013689553141796,-0.3018239859944199,,3.7926390637691747,2.9269931752128775,2.884974679698935,-3.2283621305270573,2023-04-28,8,1000,True,False
2022-12-23,2022Q4,12,bbvar,-,0.11801851857384804,0.11794893146528473,,1.9484418000342085,2.7896792303830242,2.7514765401293477,-2.671660711809176,2023-01-28,4,1000,True,False
2022-12-23,2023Q1,-1,bbvar,-,-0.6296714434888551,-0.6316622354883004,,3.7606616531958,2.9269931752128775,2.884974679698935,-3.5566646187017326,2023-04-28,4,1000,True,False
2022-12-30,2022Q4,13,bbvar,-,0.11313639873316017,0.11307244773959119,,1.9555406848990793,2.7896792303830242,2.7514765401293477,-2.676542831649864,2023-01-28,8,1000,True,False
2022-12-30,2023Q1,0,bbvar,-,-0.8037864133494277,-0.807034191514731,,3.757148280144298,2.9269931752128775,2.884974679698935,-3.730779588562305,2023-04-28,8,1000,True,False
2023-01-06,2022Q4,14,bbvar,-,-0.6812043627309083,-0.6835351506332008,,1.7953407260314407,2.7896792303830242,2.7514765401293477,-3.470883593113933,2023-01-28,10,1000,True,False
2023-01-06,2023Q1,1,bbvar,-,-0.36334558428660624,-0.36400728768770046,,3.6212368849225465,2.9269931752128775,2.884974679698935,-3.290338759499484,2023-04-28,10,1000,True,False
2023-01-06,2023Q2,-12,bbvar,-,0.03148463537139268,0.03147968000016342,,4.0132557435506335,2.5352403907615395,2.503636219206331,-2.503755755390147,2023-07-28,10,1000,True,False
2023-01-13,2022Q4,15,bbvar,-,0.16246706580577142,0.1623352308413635,,1.8991911494888032,2.7896792303830242,2.7514765401293477,-2.627212164577253,2023-01-28,6,1000,True,False
2023-01-13,2023Q1,2,bbvar,-,-0.6319588299220635,-0.6339641427007388,,3.587771563889494,2.9269931752128775,2.884974679698935,-3.558952005134941,2023-04-28,6,1000,True,False
2023-01-13,2023Q2,-11,bbvar,-,-0.019077529050270936,-0.019079349042320944,,4.075265174291925,2.5352403907615395,2.503636219206331,-2.5543179198118104,2023-07-28,6,1000,True,False
2023-01-20,2022Q4,16,bbvar,-,-0.6806165304063139,-0.6829432882558479,,1.8156776019958842,2.7896792303830242,2.7514765401293477,-3.4702957607893383,2023-01-28,8,1000,True,False
2023-01-20,2023Q1,3,bbvar,-,-2.1801386677887393,-2.2042548459041615,,2.97488729262945,2.9269931752128775,2.884974679698935,-5.107131843001617,2023-04-28,8,1000,True,False
