as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2022-10-28,2022Q4,4,bbvar,-,-2.923335574713019,2.7896792303830242,1000,True
2022-10-28,2023Q1,-9,bbvar,-,-2.7777858909491657,2.9269931752128775,1000,True
2022-11-04,2022Q4,5,bbvar,-,-2.2275293821433175,2.7896792303830242,1000,False
2022-11-04,2023Q1,-8,bbvar,-,-2.853998569693066,2.9269931752128775,1000,False
2022-11-11,2022Q4,6,bbvar,-,-2.5432728122345707,2.7896792303830242,1000,False
2022-11-11,2023Q1,-7,bbvar,-,-2.5610290432954605,2.9269931752128775,1000,False
2022-11-18,2022Q4,7,bbvar,-,-2.4810006416289188,2.7896792303830242,1000,False
2022-11-18,2023Q1,-6,bbvar,-,-2.5864300011682615,2.9269931752128775,1000,False
2022-11-25,2022Q4,8,bbvar,-,-2.323174138053683,2.7896792303830242,1000,False
2022-11-25,2023Q1,-5,bbvar,-,-2.480657897240317,2.9269931752128775,1000,False
2022-12-02,2022Q4,9,bbvar,-,-2.424683365587327,2.7896792303830242,1000,False
2022-12-02,2023Q1,-4,bbvar,-,-2.411050308083823,2.9269931752128775,1000,False
2022-12-09,2022Q4,10,bbvar,-,-2.587732853381762,2.7896792303830242,1000,False
2022-12-09,2023Q1,-3,bbvar,-,-2.6357241984849082,2.9269931752128775,1000,False
2022-12-16,2022Q4,11,bbvar,-,-2.4755422741550492,2.7896792303830242,1000,False
2022-12-16,2023Q1,-2,bbvar,-,-2.613264476837214,2.9269931752128775,1000,False
2022-12-23,2022Q4,12,bbvar,-,-2.4568153761866385,2.7896792303830242,1000,False
2022-12-23,2023Q1,-1,bbvar,-,-2.697718044777281,2.9269931752128775,1000,False
2022-12-30,2022Q4,13,bbvar,-,-2.3861791901381566,2.7896792303830242,1000,False
2022-12-30,2023Q1,0,bbvar,-,-2.760620645428964,2.9269931752128775,1000,False
2023-01-06,2022Q4,14,bbvar,-,-3.4828721439607615,2.7896792303830242,1000,False
2023-01-06,2023Q1,1,bbvar,-,-2.578339220627037,2.9269931752128775,1000,False
2023-01-06,2023Q2,-12,bbvar,-,-2.534692646328926,2.5352403907615395,1000,False
2023-01-13,2022Q4,15,bbvar,-,-2.428349020124934,2.7896792303830242,1000,False
2023-01-13,2023Q1,2,bbvar,-,-2.790584412656788,2.9269931752128775,1000,False
2023-01-13,2023Q2,-11,bbvar,-,-2.5383288874118235,2.5352403907615395,1000,False
2023-01-20,2022Q4,16,bbvar,-,-3.230324901735703,2.7896792303830242,1000,False
2023-01-20,2023Q1,3,bbvar,-,-3.393986269255664,2.9269931752128775,1000,False
2023-01-20,2023Q2,-10,bbvar,-,-2.456127850630376,2.5352403907615395,1000,False
2023-01-27,2022Q4,17,bbvar,-,-3.2650766157778595,2.7896792303830242,1000,False
2023-01-27,2023Q1,4,bbvar,-,-3.2047374415811576,2.9269931752128775,1000,False
2023-01-27,2023Q2,-9,bbvar,-,-2.458108227838176,2.5352403907615395,1000,False
