as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2008-01-15,2007Q4,4,arma22,0.7526294520056563,-0.0407162409767944,0.6262715512194816,0.1263579007861747,,True
2008-01-15,2007Q4,4,gaussian,0.4235109353573446,-0.7045245306985638,0.6262715512194816,-0.202760615862137,43.0,True
2008-01-15,2007Q4,4,random_walk,0.5743731109307149,-0.4002464129830685,0.6262715512194816,-0.0518984402887667,,True
2008-01-15,2007Q4,4,student_t,0.4552850039764681,-0.6404385279954683,0.6262715512194816,-0.1709865472430135,26.0,True
2008-01-15,2008Q1,1,arma22,0.7154081684203317,-0.1157888830439847,-0.4276775590032144,1.1430857274235462,,True
2008-01-15,2008Q1,1,gaussian,0.6857007615417857,-0.1757065782042018,-0.4276775590032144,1.113378320545,43.0,True
2008-01-15,2008Q1,1,random_walk,0.5743731109307149,-0.4002464129830685,-0.4276775590032144,1.002050669933929,,True
2008-01-15,2008Q1,1,student_t,0.7000360112129976,-0.1467934144482099,-0.4276775590032144,1.127713570216212,26.0,True
2008-02-15,2008Q1,2,arma22,0.6885050337331193,-0.1676816720646999,-0.4276775590032144,1.1161825927363338,,True
2008-02-15,2008Q1,2,gaussian,0.6655989690669558,-0.2141152219093229,-0.4276775590032144,1.0932765280701702,42.0,True
2008-02-15,2008Q1,2,random_walk,0.6262715512194816,-0.2938369743576384,-0.4276775590032144,1.053949110222696,,True
2008-02-15,2008Q1,2,student_t,0.6763401762436896,-0.1923414084629199,-0.4276775590032144,1.104017735246904,26.0,True
2008-03-15,2008Q1,3,arma22,0.6885050337331193,-0.1676816720646999,-0.4276775590032144,1.1161825927363338,,True
2008-03-15,2008Q1,3,gaussian,0.5493306208184313,-0.4498061719887915,-0.4276775590032144,0.9770081798216456,42.0,True
2008-03-15,2008Q1,3,random_walk,0.6262715512194816,-0.2938369743576384,-0.4276775590032144,1.053949110222696,,True
2008-03-15,2008Q1,3,student_t,0.5651399502923474,-0.4177586204413829,-0.4276775590032144,0.9928175092955618,28.0,True
2008-04-15,2008Q1,4,arma22,0.6885050337331193,-0.1676816720646999,-0.4276775590032144,1.1161825927363338,,True
2008-04-15,2008Q1,4,gaussian,0.5216558039609945,-0.505906598086376,-0.4276775590032144,0.9493333629642088,43.0,True
2008-04-15,2008Q1,4,random_walk,0.6262715512194816,-0.2938369743576384,-0.4276775590032144,1.053949110222696,,True
2008-04-15,2008Q1,4,student_t,0.5430282715808514,-0.4625818474147702,-0.4276775590032144,0.970705830584066,28.0,True
2008-04-15,2008Q2,1,arma22,0.7342024888533933,-0.0750470318056908,0.5936625931315831,0.1405398957218102,,True
2008-04-15,2008Q2,1,gaussian,0.6379439947501088,-0.2701754246158123,0.5936625931315831,0.0442814016185256,43.0,True
2008-04-15,2008Q2,1,random_walk,0.6262715512194816,-0.2938369743576384,0.5936625931315831,0.0326089580878985,,True
2008-04-15,2008Q2,1,student_t,0.6365279879615198,-0.2730458531576211,0.5936625931315831,0.0428653948299366,27.0,True
2008-05-15,2008Q2,2,arma22,0.4991462849096833,-0.5120979008846328,0.5936625931315831,-0.0945163082218997,,True
2008-05-15,2008Q2,2,gaussian,0.2929505818162537,-0.9194977369759316,0.5936625931315831,-0.3007120113153294,43.0,True
2008-05-15,2008Q2,2,random_walk,-0.4276775590032144,-2.343309106699783,0.5936625931315831,-1.0213401521347976,,True
2008-05-15,2008Q2,2,student_t,0.3244714661722946,-0.8572190234651794,0.5936625931315831,-0.2691911269592885,28.0,True
2008-06-15,2008Q2,3,arma22,0.4991462849096833,-0.5120979008846328,0.5936625931315831,-0.0945163082218997,,True
2008-06-15,2008Q2,3,gaussian,0.2311097501087419,-1.0416823621811149,0.5936625931315831,-0.3625528430228412,42.0,True
2008-06-15,2008Q2,3,random_walk,-0.4276775590032144,-2.343309106699783,0.5936625931315831,-1.0213401521347976,,True
2008-06-15,2008Q2,3,student_t,0.2588072518924968,-0.9869578576567536,0.5936625931315831,-0.3348553412390863,29.0,True
2008-07-15,2008Q2,4,arma22,0.4991462849096833,-0.5120979008846328,0.5936625931315831,-0.0945163082218997,,True
2008-07-15,2008Q2,4,gaussian,0.2227719278174545,-1.058156165387817,0.5936625931315831,-0.3708906653141285,42.0,True
2008-07-15,2008Q2,4,random_walk,-0.4276775590032144,-2.343309106699783,0.5936625931315831,-1.0213401521347976,,True
2008-07-15,2008Q2,4,student_t,0.2590457208972272,-0.9864866924870508,0.5936625931315831,-0.3346168722343559,28.0,True
2008-07-15,2008Q3,1,arma22,0.3594159209966207,-0.7881760465546487,-0.5266423802783748,0.8860583012749956,,True
2008-07-15,2008Q3,1,gaussian,0.8146651159190486,0.1113017049679175,-0.5266423802783748,1.3413074961974234,42.0,True
2008-07-15,2008Q3,1,random_walk,-0.4276775590032144,-2.343309106699783,-0.5266423802783748,0.0989648212751604,,True
2008-07-15,2008Q3,1,student_t,0.8174019807948432,0.1167091809001271,-0.5266423802783748,1.344044361073218,28.0,True
2008-08-15,2008Q3,2,arma22,0.3791485873554181,-0.7493427187860568,-0.5266423802783748,0.905790967633793,,True
2008-08-15,2008Q3,2,gaussian,0.7494855512191765,-0.0140863222779257,-0.5266423802783748,1.276127931497551,42.0,True
2008-08-15,2008Q3,2,random_walk,0.5936625931315831,-0.3234527583511825,-0.5266423802783748,1.120304973409958,,True
