method,horizon,n,RMSE,MAE,Bias,corr,mean_z,mean_abs_z,RMSE_rel_rw,RMSE_rel_arma
student_t,1,46,1.5258270854405451,0.7610390333170653,0.33123060416603023,0.8175649393746081,-0.15635268727096688,0.38541237047671795,0.6203987750969319,0.7434201718673009
student_t,2,46,1.4686434843206895,0.7579781424388353,0.3248222296070254,0.7316549270399569,-0.21896490819557227,0.5321179408522309,0.5249870213119185,0.5933117917810236
student_t,3,46,1.4615387235832118,0.7170499459659582,0.2932018063101898,0.6873644434622014,-0.2860526066508705,0.6137114806628119,0.5224473258606241,0.5904415660466424
student_t,4,47,1.4932027830880545,0.708387424477256,0.2618701465730374,0.6178232103356348,-0.2751885867461071,0.6392215531680263,0.5720308468842836,0.6224688790025104
gaussian,1,46,1.4205798538404617,0.745090757709448,0.32494652964117043,0.820738794192802,-0.16233796114858268,0.4881206101990251,0.5776054244020316,0.6921411535884368
gaussian,2,46,0.8149347621919093,0.568824727201502,0.17587400077527893,0.8961243690116041,-0.49308291938579407,0.9099549444491394,0.2913097548412554,0.329222448540238
gaussian,3,46,0.884362989161662,0.6123848116724786,0.21440028898330613,0.9057708182306967,-0.45405297754936663,0.9022065097684953,0.3161278393259848,0.35727049844709263
gaussian,4,47,0.8769473755864087,0.5939517358128942,0.17868731237548993,0.9136316950629892,-0.44571326570812947,0.9216386427975558,0.3359496483740892,0.3655715459467336
arma22,1,46,2.052442404956564,0.9823915909763778,0.18977819241194244,-0.12835299887782373,-0.32345449993315684,0.4042880239853826,0.8345196950180038,1.0
arma22,2,46,2.4753316968672836,1.0118457114173622,0.05554406448574067,-0.48089115829528184,-0.47305763873580864,0.5618235267796111,0.8848417115324719,1.0
arma22,3,46,2.4753316968672836,1.0118457114173622,0.05554406448574067,-0.48089115829528184,-0.47305763873580864,0.5618235267796111,0.8848417115324719,1.0
arma22,4,47,2.398839256800873,0.9390230875694481,0.12170150890961692,-0.46583564853434895,-0.3471467154594537,0.49599267635981653,0.9189709978769504,1.0
random_walk,1,46,2.459429558354863,1.17938896308738,-0.04335374733446442,-0.16502204497405393,-0.6926077692201218,0.9785830649686003,1.0,1.198294067797197
random_walk,2,46,2.797485318114373,1.213988539980711,0.053014568507777596,-0.2387635591796054,-0.6357124742037011,1.1405267762193076,1.0,1.13014563731188
random_walk,3,46,2.797485318114373,1.213988539980711,0.053014568507777596,-0.2387635591796054,-0.6357124742037011,1.1405267762193076,1.0,1.13014563731188
random_walk,4,47,2.610353604567264,1.0704856470449209,-0.08109517936740279,-0.3342964241880481,-0.6817452892539301,0.9616360042418026,1.0,1.0881736227914118
