as_of,target_quarter,horizon_month,method,nowcast_livello,nowcast_z,gdp_realizzato,errore,n_iter,converged
2018-01-15,2017Q4,4,arma22,0.6754028390740621,0.032881475913970504,1.1207427769393874,-0.44533993786532533,,True
2018-01-15,2017Q4,4,gaussian,1.0723699144889804,0.7212899402682488,1.1207427769393874,-0.04837286245040695,51.0,True
2018-01-15,2017Q4,4,random_walk,0.785431525684821,0.2236899431034994,1.1207427769393874,-0.3353112512545664,,True
2018-01-15,2017Q4,4,student_t,1.074683865382736,0.7253027249045978,1.1207427769393874,-0.04605891155665143,90.0,True
2018-01-15,2018Q1,1,arma22,0.695826861994881,0.06830020740489237,0.8101194549169577,-0.11429259292207672,,True
2018-01-15,2018Q1,1,gaussian,0.7396609414863241,0.14431596089665835,0.8101194549169577,-0.07045851343063358,51.0,True
2018-01-15,2018Q1,1,random_walk,0.785431525684821,0.2236899431034994,0.8101194549169577,-0.024687929232136696,,True
2018-01-15,2018Q1,1,student_t,0.7444818982244872,0.15267632030774653,0.8101194549169577,-0.06563755669247051,90.0,True
2018-02-15,2018Q1,2,arma22,0.828412296412765,0.2925245097710712,0.8101194549169577,0.018292841495807344,,True
2018-02-15,2018Q1,2,gaussian,0.6655590503123963,0.009724091633702579,0.8101194549169577,-0.14456040460456143,51.0,True
2018-02-15,2018Q1,2,random_walk,1.1207427769393874,0.8001667220501885,0.8101194549169577,0.3106233220224297,,True
2018-02-15,2018Q1,2,student_t,0.6506620259511295,-0.016145117726559993,0.8101194549169577,-0.15945742896582815,91.0,True
2018-03-15,2018Q1,3,arma22,0.828412296412765,0.2925245097710712,0.8101194549169577,0.018292841495807344,,True
2018-03-15,2018Q1,3,gaussian,0.8145109075150717,0.2683842565854828,0.8101194549169577,0.004391452598114021,51.0,True
2018-03-15,2018Q1,3,random_walk,1.1207427769393874,0.8001667220501885,0.8101194549169577,0.3106233220224297,,True
2018-03-15,2018Q1,3,student_t,0.804398076508686,0.2508229680902211,0.8101194549169577,-0.005721378408271693,92.0,True
2018-04-15,2018Q1,4,arma22,0.828412296412765,0.2925245097710712,0.8101194549169577,0.018292841495807344,,True
2018-04-15,2018Q1,4,gaussian,0.8211958051339855,0.27999281758812417,0.8101194549169577,0.011076350217027797,51.0,True
2018-04-15,2018Q1,4,random_walk,1.1207427769393874,0.8001667220501885,0.8101194549169577,0.3106233220224297,,True
2018-04-15,2018Q1,4,student_t,0.823605184346824,0.28417678975421956,0.8101194549169577,0.013485729429866256,92.0,True
2018-04-15,2018Q2,1,arma22,0.8159650403970256,0.2709094097334304,0.5294212303768475,0.28654381002017804,,True
2018-04-15,2018Q2,1,gaussian,0.7986803373893852,0.2408939120077768,0.5294212303768475,0.26925910701253764,51.0,True
2018-04-15,2018Q2,1,random_walk,1.1207427769393874,0.8001667220501885,0.5294212303768475,0.5913215465625399,,True
2018-04-15,2018Q2,1,student_t,0.805189270090121,0.2521969037102671,0.5294212303768475,0.27576803971327346,92.0,True
2018-05-15,2018Q2,2,arma22,0.8105068056312977,0.26039180452564464,0.5294212303768475,0.2810855752544502,,True
2018-05-15,2018Q2,2,gaussian,0.998269300911411,0.5876058676176741,0.5294212303768475,0.46884807053456345,51.0,True
2018-05-15,2018Q2,2,random_walk,0.8101194549169577,0.25971676768779417,0.5294212303768475,0.2806982245401102,,True
2018-05-15,2018Q2,2,student_t,0.9608915909544373,0.5224676602996969,0.5294212303768475,0.4314703605775898,92.0,True
2018-06-15,2018Q2,3,arma22,0.8105068056312977,0.26039180452564464,0.5294212303768475,0.2810855752544502,,True
