as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2016-04-29,2016Q2,5,bbvar,-,3.061329800191559,3.015405999380634,,1.7832120557374114,1.290696770237454,1.2824382650696664,1.770633029954105,2016-07-28,6,1000,True,True
2016-04-29,2016Q2,5,benchmark,ar2,2.1323881431003944,2.109970869385225,-0.2260461091428415,,1.290696770237454,1.2824382650696664,0.8416913728629405,2016-07-28,6,0,True,False
2016-04-29,2016Q2,5,benchmark,mean,2.6779223915958106,2.642693599241497,0.0,,1.290696770237454,1.2824382650696664,1.3872256213583567,2016-07-28,6,0,True,False
2016-04-29,2016Q2,5,cbvar,authors,2.459538935763728,2.4297792569093524,,3.2895844431799244,1.290696770237454,1.2824382650696664,1.1688421655262735,2016-07-28,6,1000,True,True
2016-04-29,2016Q2,5,lbvar,-,2.4390104938924795,2.409741592419217,,1.715370992360101,1.290696770237454,1.2824382650696664,1.1483137236550256,2016-07-28,6,250,True,True
2016-04-29,2016Q2,5,qbvar,-,2.542753924427854,2.510963708140249,,2.009675024486902,1.290696770237454,1.2824382650696664,1.2520571541904002,2016-07-28,6,1000,True,True
2016-04-29,2016Q3,-8,bbvar,-,3.240844075194227,3.1894364683163747,,1.9243045955522624,2.8678981414693494,2.827543676441542,0.3729459337248775,2016-10-28,6,1000,True,True
2016-04-29,2016Q3,-8,benchmark,ar2,2.44749033086642,2.4180191870334538,-0.0953343528579779,,2.8678981414693494,2.827543676441542,-0.4204078106029296,2016-10-28,6,0,True,False
2016-04-29,2016Q3,-8,benchmark,mean,2.6779223915958106,2.642693599241497,0.0,,2.8678981414693494,2.827543676441542,-0.1899757498735388,2016-10-28,6,0,True,False
2016-04-29,2016Q3,-8,cbvar,authors,2.477480339473204,2.447288444677148,,3.8404487972287225,2.8678981414693494,2.827543676441542,-0.3904178019961457,2016-10-28,6,1000,True,True
2016-04-29,2016Q3,-8,lbvar,-,2.350256488017133,2.323063210548714,,2.037464037921964,2.8678981414693494,2.827543676441542,-0.5176416534522166,2016-10-28,6,250,True,True
2016-04-29,2016Q3,-8,qbvar,-,2.530679883951814,2.499188374528511,,2.0856231092055006,2.8678981414693494,2.827543676441542,-0.3372182575175353,2016-10-28,6,1000,True,True
2016-05-06,2016Q2,6,bbvar,-,2.863394534353048,2.823165531475418,,1.6371925978390989,1.290696770237454,1.2824382650696664,1.5726977641155937,2016-07-28,14,1000,True,False
2016-05-06,2016Q2,6,benchmark,ar2,2.1323881431003944,2.109970869385225,-0.2260461091428415,,1.290696770237454,1.2824382650696664,0.8416913728629405,2016-07-28,14,0,True,False
2016-05-06,2016Q2,6,benchmark,mean,2.6779223915958106,2.642693599241497,0.0,,1.290696770237454,1.2824382650696664,1.3872256213583567,2016-07-28,14,0,True,False
2016-05-06,2016Q2,6,cbvar,authors,2.3815462753875805,2.353629822273644,,3.094328235693652,1.290696770237454,1.2824382650696664,1.0908495051501266,2016-07-28,14,1000,True,False
2016-05-06,2016Q2,6,lbvar,-,1.9447362505305543,1.926067900334243,,1.6244650438170245,1.290696770237454,1.2824382650696664,0.6540394802931004,2016-07-28,14,250,True,False
2016-05-06,2016Q2,6,qbvar,-,2.314621271319284,2.28824021849645,,1.9306461654853664,1.290696770237454,1.2824382650696664,1.02392450108183,2016-07-28,14,1000,True,False
2016-05-06,2016Q3,-7,bbvar,-,3.1351702125406056,3.087027404691524,,1.9585867617462516,2.8678981414693494,2.827543676441542,0.2672720710712561,2016-10-28,14,1000,True,False
2016-05-06,2016Q3,-7,benchmark,ar2,2.44749033086642,2.4180191870334538,-0.0953343528579779,,2.8678981414693494,2.827543676441542,-0.4204078106029296,2016-10-28,14,0,True,False
