as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2010-04-30,2010Q2,5,bbvar,-,-1.962515779944897,3.926881074055233,1000,True
2010-04-30,2010Q2,5,cbvar,authors,-2.352065390847401,3.926881074055233,1000,True
2010-04-30,2010Q2,5,lbvar,-,-2.039413407718743,3.926881074055233,200,True
2010-04-30,2010Q2,5,qbvar,-,-2.005356055299136,3.926881074055233,1000,True
2010-04-30,2010Q3,-8,bbvar,-,-1.8450549482026548,3.1201978026194954,1000,True
2010-04-30,2010Q3,-8,cbvar,authors,-2.3006513447169183,3.1201978026194954,1000,True
2010-04-30,2010Q3,-8,lbvar,-,-1.984873779100425,3.1201978026194954,200,True
2010-04-30,2010Q3,-8,qbvar,-,-2.0582492538458457,3.1201978026194954,1000,True
2010-05-07,2010Q2,6,bbvar,-,-1.8427322653354363,3.926881074055233,1000,False
2010-05-07,2010Q2,6,cbvar,authors,-2.220275884303929,3.926881074055233,1000,False
2010-05-07,2010Q2,6,lbvar,-,-2.03212908662518,3.926881074055233,200,False
2010-05-07,2010Q2,6,qbvar,-,-2.0380600530394117,3.926881074055233,1000,False
2010-05-07,2010Q3,-7,bbvar,-,-1.8571786503710912,3.1201978026194954,1000,False
2010-05-07,2010Q3,-7,cbvar,authors,-2.347746372755487,3.1201978026194954,1000,False
2010-05-07,2010Q3,-7,lbvar,-,-2.1376159219307422,3.1201978026194954,200,False
2010-05-07,2010Q3,-7,qbvar,-,-2.0687475284167336,3.1201978026194954,1000,False
2010-05-14,2010Q2,7,bbvar,-,-1.727912298841184,3.926881074055233,1000,False
2010-05-14,2010Q2,7,cbvar,authors,-2.272645600409489,3.926881074055233,1000,False
2010-05-14,2010Q2,7,lbvar,-,-1.842521985535382,3.926881074055233,200,False
2010-05-14,2010Q2,7,qbvar,-,-2.264492145271552,3.926881074055233,1000,False
2010-05-14,2010Q3,-6,bbvar,-,-1.7918716548143654,3.1201978026194954,1000,False
2010-05-14,2010Q3,-6,cbvar,authors,-2.483413979350681,3.1201978026194954,1000,False
2010-05-14,2010Q3,-6,lbvar,-,-1.9607690124064645,3.1201978026194954,200,False
2010-05-14,2010Q3,-6,qbvar,-,-2.261774595747672,3.1201978026194954,1000,False
2010-05-21,2010Q2,8,bbvar,-,-1.6608404500050091,3.926881074055233,1000,False
2010-05-21,2010Q2,8,cbvar,authors,-2.1665056950653554,3.926881074055233,1000,False
2010-05-21,2010Q2,8,lbvar,-,-1.8582137355733308,3.926881074055233,200,False
2010-05-21,2010Q2,8,qbvar,-,-2.141210688133147,3.926881074055233,1000,False
2010-05-21,2010Q3,-5,bbvar,-,-1.8418794189226653,3.1201978026194954,1000,False
2010-05-21,2010Q3,-5,cbvar,authors,-2.3802845223933566,3.1201978026194954,1000,False
2010-05-21,2010Q3,-5,lbvar,-,-1.9525842936344209,3.1201978026194954,200,False
2010-05-21,2010Q3,-5,qbvar,-,-2.322722343583941,3.1201978026194954,1000,False
2010-05-28,2010Q2,9,bbvar,-,-1.638122452907708,3.926881074055233,1000,False
2010-05-28,2010Q2,9,cbvar,authors,-2.1171221053474474,3.926881074055233,1000,False
2010-05-28,2010Q2,9,lbvar,-,-1.8781153808768416,3.926881074055233,200,False
2010-05-28,2010Q2,9,qbvar,-,-2.2267404986815347,3.926881074055233,1000,False
2010-05-28,2010Q3,-4,bbvar,-,-1.8592049483333677,3.1201978026194954,1000,False
2010-05-28,2010Q3,-4,cbvar,authors,-2.289986862738532,3.1201978026194954,1000,False
2010-05-28,2010Q3,-4,lbvar,-,-2.052983568794433,3.1201978026194954,200,False
2010-05-28,2010Q3,-4,qbvar,-,-2.22023578377206,3.1201978026194954,1000,False
2010-06-04,2010Q2,10,bbvar,-,-1.7290978935574732,3.926881074055233,1000,False
2010-06-04,2010Q2,10,cbvar,authors,-2.128374112635573,3.926881074055233,1000,False
2010-06-04,2010Q2,10,lbvar,-,-1.8027284409818352,3.926881074055233,200,False
2010-06-04,2010Q2,10,qbvar,-,-2.2017344721609904,3.926881074055233,1000,False
2010-06-04,2010Q3,-3,bbvar,-,-1.8304680834957625,3.1201978026194954,1000,False
2010-06-04,2010Q3,-3,cbvar,authors,-2.340804804801444,3.1201978026194954,1000,False
2010-06-04,2010Q3,-3,lbvar,-,-1.9290575224262092,3.1201978026194954,200,False
2010-06-04,2010Q3,-3,qbvar,-,-2.288642830141529,3.1201978026194954,1000,False
2010-06-11,2010Q2,11,bbvar,-,-1.8100891875621556,3.926881074055233,1000,False
2010-06-11,2010Q2,11,cbvar,authors,-2.1306529753205803,3.926881074055233,1000,False
2010-06-11,2010Q2,11,lbvar,-,-1.800338259554017,3.926881074055233,200,False
2010-06-11,2010Q2,11,qbvar,-,-2.181384549259457,3.926881074055233,1000,False
2010-06-11,2010Q3,-2,bbvar,-,-1.813633912303584,3.1201978026194954,1000,False
2010-06-11,2010Q3,-2,cbvar,authors,-2.2364652539788867,3.1201978026194954,1000,False
2010-06-11,2010Q3,-2,lbvar,-,-2.0286496037286965,3.1201978026194954,200,False
2010-06-11,2010Q3,-2,qbvar,-,-2.1703250431134493,3.1201978026194954,1000,False
2010-06-18,2010Q2,12,bbvar,-,-1.8757769205364023,3.926881074055233,1000,False
2010-06-18,2010Q2,12,cbvar,authors,-2.0836973461257484,3.926881074055233,1000,False
2010-06-18,2010Q2,12,lbvar,-,-1.8951275290498568,3.926881074055233,200,False
2010-06-18,2010Q2,12,qbvar,-,-2.2439162127330663,3.926881074055233,1000,False
2010-06-18,2010Q3,-1,bbvar,-,-1.8576651584751085,3.1201978026194954,1000,False
2010-06-18,2010Q3,-1,cbvar,authors,-2.2885896794960514,3.1201978026194954,1000,False
2010-06-18,2010Q3,-1,lbvar,-,-2.091968287836737,3.1201978026194954,200,False
2010-06-18,2010Q3,-1,qbvar,-,-2.231723546042176,3.1201978026194954,1000,False
