metodo,fase,n,n_com,LS_medio,LS_medio_com,LS_mediano,LS_sd
bbvar/-,forecast,991,991,-39.99521854406777,-39.99521854406777,-2.2560823390232194,272.81892429807084
bbvar/-,nowcast M1,304,304,-25.149810983159266,-25.149810983159266,-2.172356191046518,198.95480341418934
bbvar/-,nowcast M2,380,380,-5.496717090835682,-5.496717090835682,-1.9092605476773155,46.239760783022966
bbvar/-,nowcast M3,304,304,-3.416231809715804,-3.416231809715804,-1.8575165856518727,11.452603186913134
bbvar/-,backcast,298,298,-2.455212158466776,-2.455212158466776,-1.8040571710112325,6.368015190623276
cbvar/authors,forecast,991,991,-5.391676224546836,-5.391676224546836,-2.522709455696708,26.616433799162934
cbvar/authors,nowcast M1,304,304,-4.270920517465914,-4.270920517465914,-2.421437810375005,16.928530676657665
cbvar/authors,nowcast M2,380,380,-3.012728267708243,-3.012728267708243,-2.257412019717937,10.15725260601085
cbvar/authors,nowcast M3,304,304,-2.3304166958585113,-2.3304166958585113,-2.11084675773279,0.7250091889662031
cbvar/authors,backcast,298,298,-2.1730604783487744,-2.1730604783487744,-1.962339236330589,0.6140760462690541
lbvar/-,forecast,991,991,-19.36528142203945,-19.36528142203945,-2.309557888703305,124.88406961629005
lbvar/-,nowcast M1,304,304,-10.828650352968634,-10.828650352968634,-2.212342404136983,72.49669755498898
lbvar/-,nowcast M2,380,380,-3.31696158676972,-3.31696158676972,-1.985741328710785,11.04863831417106
lbvar/-,nowcast M3,304,304,-2.912561127587217,-2.912561127587217,-1.836453856760928,7.282408401589761
lbvar/-,backcast,298,298,-2.277427812725322,-2.277427812725322,-1.8012351362686627,2.722151802142553
qbvar/-,forecast,991,991,-40.55372980789387,-40.55372980789387,-2.4408361540686427,233.2869495842926
qbvar/-,nowcast M1,304,304,-27.049282951156528,-27.049282951156528,-2.37025680636847,187.2875999304508
qbvar/-,nowcast M2,380,380,-21.529407623997763,-21.529407623997763,-2.3129088660747588,164.9550186338393
qbvar/-,nowcast M3,304,304,-19.473911075095177,-19.473911075095177,-2.245337862854905,145.01519711449734
qbvar/-,backcast,298,298,-5.707348146626739,-5.707348146626739,-1.8414320099795076,60.07573782124845
