metodo,fase,n,n_com,LS_medio,LS_medio_com,LS_mediano,LS_sd
bbvar/-,forecast,978,978,-39.88772515790096,-39.88772515790096,-2.271497757774262,270.81079113094256
bbvar/-,nowcast M1,300,300,-22.639301327514236,-22.639301327514236,-2.1694677638864555,173.53145462624138
bbvar/-,nowcast M2,375,375,-5.431160932625426,-5.431160932625426,-1.893273869344022,49.429042775483516
bbvar/-,nowcast M3,300,300,-3.0383106617745943,-3.0383106617745943,-1.8095859343023553,8.53352356930726
bbvar/-,backcast,294,294,-2.283384218752074,-2.283384218752074,-1.789194122367225,4.450992079892726
cbvar/authors,forecast,978,978,-4.559858692102986,-4.559858692102986,-2.51501216847309,21.46541254409061
cbvar/authors,nowcast M1,300,300,-3.7035229210923286,-3.7035229210923286,-2.4403237290826807,13.030985536825547
cbvar/authors,nowcast M2,375,375,-2.4784990192961076,-2.4784990192961076,-2.267549221394288,0.7522955816989191
cbvar/authors,nowcast M3,300,300,-2.315474835382287,-2.315474835382287,-2.0968409241884878,0.7042021455039859
cbvar/authors,backcast,294,294,-2.1546205518440003,-2.1546205518440003,-1.9810150608262531,0.595998604636667
lbvar/-,forecast,978,978,-18.825712006968867,-18.825712006968867,-2.34344675440978,120.9965927807639
lbvar/-,nowcast M1,300,300,-9.538985535796956,-9.538985535796956,-2.179449130549887,63.72932384650175
lbvar/-,nowcast M2,375,375,-3.5380177310498495,-3.5380177310498495,-2.0587307086139344,11.236358517240532
lbvar/-,nowcast M3,300,300,-3.1631993341850144,-3.1631993341850144,-1.8521437767242523,8.740992085773739
lbvar/-,backcast,294,294,-2.456681980023898,-2.456681980023898,-1.8636646776626165,3.8326013875502336
qbvar/-,forecast,978,978,-40.37978958985169,-40.37978958985169,-2.4306610471369234,231.0286015756925
qbvar/-,nowcast M1,300,300,-24.00150366104269,-24.00150366104269,-2.3210269734101097,163.2185062133319
qbvar/-,nowcast M2,375,375,-21.582609821984132,-21.582609821984132,-2.2796231736736168,163.6261414033962
qbvar/-,nowcast M3,300,300,-18.37671485233751,-18.37671485233751,-2.2388733636756704,136.17054003249183
qbvar/-,backcast,294,294,-5.895408741360727,-5.895408741360727,-1.847590087875178,62.872215707554204
