metodo,fase,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
bbvar/-,forecast,978,6.442420058159513,3.0986340983700043,-0.19851746146035681,-0.2683038066839326,0.6837782340862423,974,0.7586912065439673,1.0905846181137508,1.119190466524397
bbvar/-,nowcast M1,300,5.902651272901392,2.888259893439336,-0.09590118592335434,-0.0013767131183989507,0.6858108108108109,296,0.7933333333333333,0.9933242471814482,1.0230764931530092
bbvar/-,nowcast M2,375,2.9774373058430097,1.9522275770419262,0.31118481401770826,0.7188775462129343,0.6853333333333333,375,0.8533333333333334,0.6705000876512662,0.6762273006639782
bbvar/-,nowcast M3,300,2.4981680628784257,1.760119519755132,0.17333957419636675,0.8216980948715986,0.71,300,0.89,0.5625716792895913,0.5673769998280225
bbvar/-,backcast,294,2.220447870127336,1.5963489730162008,0.11935566649420884,0.8713826793222099,0.7655172413793103,290,0.8979591836734694,0.496291983765014,0.5012333543260737
cbvar/authors,forecast,978,6.460215183752526,3.2550304928383933,-0.7256786643568196,-0.221899124622053,0.6314168377823408,974,0.7157464212678937,1.093597009431601,1.1222818723524104
cbvar/authors,nowcast M1,300,6.67858831767023,3.3218617850073042,-0.8101882432523598,-0.29335789590148376,0.6655405405405406,296,0.7033333333333334,1.1239023628823857,1.1575657106194184
cbvar/authors,nowcast M2,375,3.4979800885901775,2.212742586666297,-0.2996895968913776,0.5747463878882914,0.6746666666666666,375,0.84,0.7877230366528373,0.7944515333510771
cbvar/authors,nowcast M3,300,2.694889682669761,1.7997352972011436,-0.20985773889217818,0.7812575673698393,0.77,300,0.8733333333333333,0.6068721463570729,0.6120558683545507
cbvar/authors,backcast,294,2.398601443979806,1.6485747419114878,-0.01666517314791932,0.8428967108186726,0.7931034482758621,290,0.8877551020408163,0.536111063407266,0.5414488957979529
lbvar/-,forecast,978,6.660867301342141,3.4835017244539754,-1.0303569870300147,-0.1985844860388738,0.660164271047228,974,0.6687116564417178,1.127563765877113,1.1571395710226187
lbvar/-,nowcast M1,300,5.397211681202248,3.1677048162449477,-0.9519984748127402,0.37996873948998244,0.706081081081081,296,0.74,0.9082666385395158,0.9354712220521685
lbvar/-,nowcast M2,375,3.4280496694237335,2.2486349980336557,-0.5660527691142481,0.6962752100594475,0.6986666666666667,375,0.7893333333333333,0.7719751476583064,0.7785691305564242
lbvar/-,nowcast M3,300,2.4533700100152998,1.7461351685439237,-0.34960062450572615,0.8246403396276757,0.7133333333333334,300,0.8733333333333333,0.5524834405507314,0.5572025903440059
lbvar/-,backcast,294,2.133409290183581,1.6267240366871907,-0.213300432435863,0.8702692288045907,0.7310344827586207,290,0.9115646258503401,0.47683800329309295,0.4815856787521885
qbvar/-,forecast,978,5.922138496092765,3.065256088717144,-0.3663293326858282,0.016780862415704617,0.6273100616016427,974,0.7413087934560327,1.0025104063182089,1.0288060831844699
qbvar/-,nowcast M1,300,6.7808983988396205,3.2264964926715023,-0.6055336005992968,-0.3023786546856389,0.6385135135135135,296,0.72,1.1411195555739513,1.175298596100476
qbvar/-,nowcast M2,375,5.166696658657493,2.863995744519482,-0.1391484223249271,-0.10324710991392455,0.64,375,0.7706666666666667,1.1635074752704173,1.1734458112609447
qbvar/-,nowcast M3,300,5.053733833744089,2.8563824388808774,-0.2233881086788093,-0.09486998249179657,0.6333333333333333,300,0.7533333333333333,1.1380689601227987,1.1477900078569025
qbvar/-,backcast,294,3.0940483273832364,1.924552113012279,0.08660443907194432,0.6996053258202727,0.7344827586206897,290,0.8775510204081632,0.6915502961903766,0.6984357716501318
ar2,forecast,978,5.907308750880944,2.632791129452596,0.38830235186805995,-0.06891944215148234,0.75564681724846,974,0.8261758691206544,1.0,1.026229829336968
ar2,nowcast M1,300,5.942320737312243,2.617642548666644,0.3985006318483117,-0.05626571558297879,0.7601351351351351,296,0.84,1.0,1.029952199451471
ar2,nowcast M2,375,4.440621799577757,2.313851178228507,0.4210585976213844,0.11322166751141298,0.68,375,0.84,1.0,1.0085417036003292
ar2,nowcast M3,300,4.440621799577757,2.3138511782285076,0.4210585976213844,0.11322166751141284,0.68,300,0.84,1.0,1.0085417036003292
ar2,backcast,294,4.47407563040285,2.326717209475882,0.36064351274991197,0.11413438241361872,0.6793103448275862,290,0.8435374149659864,1.0,1.0099565794385255
mean,forecast,978,5.756321422363613,2.565334071448395,0.6131142326088833,-0.20482435007456795,0.7874743326488707,974,0.8384458077709611,0.9744405896348631,1.0
mean,nowcast M1,300,5.769511187487135,2.5884352429118604,0.6233911215744089,-0.21009837267510723,0.7972972972972973,296,0.84,0.9709188451003621,1.0
mean,nowcast M2,375,4.403012571245653,2.179166819437096,1.019479449531009,-0.15604558719359446,0.6933333333333334,375,0.84,0.9915306391695685,1.0
mean,nowcast M3,300,4.403012571245653,2.179166819437096,1.0194794495310093,-0.15604558719359438,0.6933333333333334,300,0.84,0.9915306391695685,1.0
mean,backcast,294,4.429968299122487,2.1682454278936136,0.9785801910697353,-0.13385119761270542,0.6931034482758621,290,0.8435374149659864,0.9901415767358427,1.0
