window,n_trimestri,metodo,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,46,bbvar/-,1382,1382,2.225867476720481,2.225867476720481,0.8787234005324515,1.623643894983563,0.5255675061117624,0.4989007644470181,0.7285921625544267,0.7285921625544267,1378,0.8806078147612156
2007-2019,46,cbvar/authors,1382,1382,2.2143808039252204,2.2143808039252204,0.8741887153883356,1.6657887937807259,0.0018775671081499201,0.47565768904986344,0.7031930333817126,0.7031930333817126,1378,0.8545586107091172
2007-2019,46,lbvar/-,1382,1382,2.370119475090483,2.3701194750904824,0.9356709088037212,1.7567506685870318,-0.19129672676048878,0.40783940354832093,0.7365747460087083,0.7365747460087083,1378,0.837192474674385
2007-2019,46,qbvar/-,1382,1382,2.4237681991013242,2.4237681991013242,0.9568502421153753,1.817420314719463,0.159987049774652,0.33778100445196696,0.6523947750362845,0.6523947750362845,1378,0.8487698986975398
2007-2019,46,ar2,1382,1382,2.533069536297479,2.5330695362974787,1.0,1.7308388867705846,0.3846796237794411,0.22360104963641328,0.7177068214804064,0.7177068214804064,1378,0.8516642547033285
2007-2019,46,mean,1382,1382,2.71495695626803,2.71495695626803,1.0718051428767372,1.7734965544584613,0.8830852102903382,-0.44852777492077706,0.7387518142235123,0.7387518142235123,1378,0.8480463096960926
2007-2021,54,bbvar/-,1622,1622,5.90760002638162,5.90760002638162,0.7337452000720388,2.7614786731239738,0.15953623232583458,0.4497990015372704,0.7262051915945612,0.7262051915945612,1618,0.840937114673243
2007-2021,54,cbvar/authors,1622,1622,6.098124208644503,6.098124208644502,0.7574089897004415,2.9403162408481576,-0.25511483072768365,0.4022169369276399,0.7064276885043264,0.7064276885043264,1618,0.8064118372379778
2007-2021,54,lbvar/-,1622,1622,5.7301231780765995,5.7301231780766,0.7117019363124436,2.860686427090896,-0.47888664235742934,0.5088514053908237,0.734857849196539,0.734857849196539,1618,0.8020961775585697
2007-2021,54,qbvar/-,1622,1622,6.642592074109987,6.642592074109986,0.8250338595451693,3.2236529333203383,-0.030536918144250202,0.19616186247262699,0.6563658838071693,0.6563658838071693,1618,0.8020961775585697
2007-2021,54,ar2,1622,1622,8.051296316216602,8.051296316216602,1.0,3.4823409970510357,-0.1764562289291865,-0.2976419170992889,0.7088998763906057,0.7088998763906057,1618,0.8076448828606658
2007-2021,54,mean,1622,1622,6.689299811998114,6.689299811998115,0.8308351288133305,3.014973305746741,0.6715085383401315,-0.2558764542836306,0.7428924598269468,0.7428924598269468,1618,0.8335388409371147
2007-2025,66,bbvar/-,1983,1983,5.509423902949439,5.509423902949439,0.7517497771471242,2.698305497887026,-0.2011030465617202,0.41687382512496496,0.7008590197069227,0.7008590197069227,1979,0.8295511850731215
2007-2025,66,cbvar/authors,1983,1983,5.720904727688508,5.720904727688508,0.7806059090529258,2.894587591970054,-0.6080031205920804,0.3698102513168269,0.686710459828196,0.686710459828196,1979,0.7927382753403933
2007-2025,66,lbvar/-,1983,1983,5.438398715769355,5.438398715769355,0.7420585336387282,2.878974585290526,-0.8348698044034009,0.4735249359050651,0.7064173825164224,0.7064173825164224,1979,0.7695410993444276
2007-2025,66,qbvar/-,1983,1983,6.214862818710962,6.214862818710962,0.8480054940889145,3.1535718419371706,-0.4571602871121874,0.15953960623632893,0.64022233451238,0.64022233451238,1979,0.7851739788199698
2007-2025,66,ar2,1983,1983,7.328800181168786,7.328800181168785,1.0,3.121775967465063,-0.24112350502262223,-0.28577968799370973,0.7134916624557858,0.7134916624557858,1979,0.8275340393343419
2007-2025,66,mean,1983,1983,6.105985755803087,6.105985755803087,0.8331494384977642,2.7416299465932585,0.4515663022433844,-0.2639236815604899,0.7412834765032845,0.7412834765032845,1979,0.848714069591528
2007-2010,14,bbvar/-,420,420,3.0413945135178007,3.0413945135178007,0.8001598741833835,2.117843583608051,0.8015802456781961,0.5435553514848181,0.78125,0.78125,416,0.75
2007-2010,14,cbvar/authors,420,420,3.0146866545066455,3.0146866545066455,0.7931333088985809,2.2859214515534925,-0.00585897759726188,0.5006938090600266,0.7259615384615384,0.7259615384615384,416,0.6880952380952381
2007-2010,14,lbvar/-,420,420,3.507859670352968,3.507859670352967,0.9228820989869153,2.7481438833735163,-0.263585230909488,0.28490872440493953,0.7427884615384616,0.7427884615384616,416,0.6095238095238096
2007-2010,14,qbvar/-,420,420,3.2738625511573005,3.2738625511573005,0.8613198437047764,2.3956009763133994,0.312982581945927,0.36774011024040426,0.6802884615384616,0.6802884615384616,416,0.669047619047619
2007-2010,14,ar2,420,420,3.800983542972267,3.800983542972267,1.0,2.515755199162658,1.1619218221955565,0.1827563098566789,0.7115384615384616,0.7115384615384616,416,0.6547619047619048
2007-2010,14,mean,420,420,4.306903480213524,4.306903480213524,1.1331023750883282,2.908755089556668,2.4628894245234605,-0.2863411623729627,0.6802884615384616,0.6802884615384616,416,0.6428571428571429
2019-2021,10,bbvar/-,300,300,12.906422338357755,12.906422338357755,0.7197575053516432,7.816204690776546,-1.923951289690377,0.46160006870572456,0.6433333333333333,0.6433333333333333,300,0.69
2019-2021,10,cbvar/authors,300,300,13.398226657894062,13.398226657894062,0.7471841493022746,8.65115476044845,-1.815548838891842,0.39699189040072697,0.6366666666666667,0.6366666666666667,300,0.6233333333333333
2019-2021,10,lbvar/-,300,300,12.346121678082989,12.346121678082989,0.6885109991616436,7.737597686970696,-2.071524676192693,0.5339465640574198,0.68,0.68,300,0.68
2019-2021,10,qbvar/-,300,300,14.577755407017584,14.577755407017584,0.8129633906522611,9.471943556379548,-1.3170862267637202,0.17041802799051475,0.6066666666666667,0.6066666666666667,300,0.6266666666666667
2019-2021,10,ar2,300,300,17.931625918999234,17.931625918999238,1.0,11.193397508523892,-3.065069134145547,-0.35823954824367726,0.5966666666666667,0.5966666666666667,300,0.6433333333333333
2019-2021,10,mean,300,300,14.438463567022895,14.438463567022895,0.8051954481007101,8.413533761658975,-0.7199419209054194,-0.4052127308852223,0.77,0.77,300,0.8
2024-2025,6,bbvar/-,180,180,2.207504042468579,2.2075040424685795,1.298061727232921,1.8354934557182137,-0.8772450531214544,0.0012664123550807172,0.6888888888888889,0.6888888888888889,180,0.7666666666666667
2024-2025,6,cbvar/authors,180,180,2.08388278675925,2.08388278675925,1.225369665238186,1.817803034270286,-0.9416214676886426,0.07318773311802439,0.7055555555555556,0.7055555555555556,180,0.8333333333333334
2024-2025,6,lbvar/-,180,180,1.9823022253150826,1.9823022253150828,1.165638024206148,1.7066010214927063,-0.6598882504625155,0.17659677849143798,0.7277777777777777,0.7277777777777777,180,0.8333333333333334
2024-2025,6,qbvar/-,180,180,2.3224387999359504,2.3224387999359504,1.3656459340687805,2.052563973442284,-1.2589485196629797,-0.02756139215586471,0.6722222222222223,0.6722222222222223,180,0.7555555555555555
2024-2025,6,ar2,180,180,1.7006156149248133,1.7006156149248133,1.0,1.419835601386706,-0.05960561069558585,0.004269640176911738,0.7611111111111111,0.7611111111111111,180,0.8333333333333334
2024-2025,6,mean,180,180,1.7011589247847796,1.7011589247847796,1.0003194783437235,1.4480851311226388,-0.08856271902638928,-0.48339246557886095,0.7611111111111111,0.7611111111111111,180,0.8333333333333334
