window,metodo,fase,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,bbvar/-,forecast,678,678,2.786762378409133,2.786762378409133,0.9974352864851578,1.990005514801033,0.8055205360633187,0.13657645470163474,0.7062314540059347,0.7062314540059347,674,0.8126843657817109
2007-2019,bbvar/-,nowcast M1,208,208,2.3410881990486123,2.3410881990486123,0.937944205943864,1.6959304516981795,0.6726869462230022,0.34923900763654386,0.7107843137254902,0.7107843137254902,204,0.8557692307692307
2007-2019,bbvar/-,nowcast M2,260,260,2.0504874931307424,2.0504874931307424,0.8760075981813811,1.468516522667314,0.6882158541089454,0.5880274563775357,0.7192307692307692,0.7192307692307692,260,0.8884615384615384
2007-2019,bbvar/-,nowcast M3,208,208,1.8439325842376941,1.8439325842376941,0.7877633780931604,1.3208496477005665,0.4716732824625713,0.6657093825702545,0.7403846153846154,0.7403846153846154,208,0.9278846153846154
2007-2019,bbvar/-,backcast,205,205,1.7223230686345306,1.7223230686345306,0.733026804814341,1.2543254512091035,0.3909059758985243,0.7164678304172968,0.7711442786069652,0.7711442786069652,201,0.9219512195121952
2007-2019,cbvar/authors,forecast,678,678,2.7522968359542017,2.7522968359542017,0.9850994129715985,2.0547525861504368,0.24891131410956152,0.13185120268092862,0.6364985163204748,0.6364985163204748,674,0.7846607669616519
2007-2019,cbvar/authors,nowcast M1,208,208,2.4103837646663457,2.4103837646663457,0.9657070959943836,1.8194009293501976,0.1790065963551677,0.2383545067636465,0.6813725490196079,0.6813725490196079,204,0.8028846153846154
2007-2019,cbvar/authors,nowcast M2,260,260,2.065877966541784,2.065877966541784,0.8825827037076752,1.4896530662646756,0.09638696565526886,0.5066530855741823,0.6923076923076923,0.6923076923076923,260,0.8961538461538462
2007-2019,cbvar/authors,nowcast M3,208,208,1.6713457396669902,1.6713457396669902,0.7140309668023953,1.2570281751198737,0.045236985827392315,0.7140036084043085,0.7932692307692307,0.7932692307692307,208,0.9230769230769231
2007-2019,cbvar/authors,backcast,205,205,1.5464428026566714,1.5464428026566714,0.6581715399993263,1.1784088517180948,0.01325918083505433,0.7678840099817713,0.8009950248756219,0.8009950248756219,201,0.9121951219512195
2007-2019,lbvar/-,forecast,678,678,2.9777603263755936,2.9777603263755936,1.0657970866960385,2.1491105637458046,-0.034087726029558646,0.011927696432203936,0.6750741839762612,0.6750741839762612,674,0.7566371681415929
2007-2019,lbvar/-,nowcast M1,208,208,2.4029731452137355,2.4029731452137355,0.9627380717684466,1.7682623724437074,-0.049966126185996156,0.2728697284775173,0.7156862745098039,0.7156862745098039,204,0.8269230769230769
2007-2019,lbvar/-,nowcast M2,260,260,2.17744772833431,2.17744772833431,0.9302474465480783,1.4809062251801042,0.08727977919107793,0.4737843587707951,0.7461538461538462,0.7461538461538462,260,0.8730769230769231
2007-2019,lbvar/-,nowcast M3,208,208,1.84824428005915,1.84824428005915,0.7896054172732557,1.3458703087819521,0.08363679894631336,0.6409707567137952,0.7451923076923077,0.7451923076923077,208,0.9278846153846154
2007-2019,lbvar/-,backcast,205,205,1.8273079211069505,1.8273079211069505,0.7777087302691135,1.3921467241899819,0.06894721762284207,0.6743193296244245,0.7263681592039801,0.7263681592039801,201,0.926829268292683
2007-2019,qbvar/-,forecast,678,678,2.8230693521495445,2.8230693521495445,1.0104302432976757,2.109673211662387,0.3178961666178405,0.09994306510314124,0.6186943620178041,0.6186943620178041,674,0.7935103244837758
2007-2019,qbvar/-,nowcast M1,208,208,2.5054590900253215,2.5054590900253215,1.0037985060424626,1.8440569903785875,0.3188638788927761,0.1745670364408638,0.6568627450980392,0.6568627450980392,204,0.8076923076923077
2007-2019,qbvar/-,nowcast M2,260,260,2.419013005505272,2.419013005505272,1.0334487676814528,1.7441075741454313,0.30398460241469527,0.27316785544028654,0.6730769230769231,0.6730769230769231,260,0.8653846153846154
2007-2019,qbvar/-,nowcast M3,208,208,2.366084634297233,2.366084634297233,1.0108367520057002,1.7278780541170446,0.3653469540992065,0.3446080389699162,0.6634615384615384,0.6634615384615384,208,0.8701923076923077
2007-2019,qbvar/-,backcast,205,205,1.8429578339802748,1.8429578339802748,0.7843693886775563,1.3468959858272491,0.3151380404178106,0.6600377378794936,0.7412935323383084,0.7412935323383084,201,0.9219512195121952
2007-2019,ar2,forecast,678,678,2.7939280033187406,2.7939280033187406,1.0,1.831868970199315,0.6521178990655374,0.04075404271643858,0.7566765578635015,0.7566765578635015,674,0.8141592920353983
2007-2019,ar2,nowcast M1,208,208,2.495978102122555,2.495978102122555,1.0,1.6543381832912305,0.4608945890201022,0.15988912653489698,0.7647058823529411,0.7647058823529411,204,0.8461538461538461
2007-2019,ar2,nowcast M2,260,260,2.3407188446625553,2.3407188446625553,1.0,1.6429881263582637,0.38002048209064404,0.3194952642582483,0.6923076923076923,0.6923076923076923,260,0.8653846153846154
2007-2019,ar2,nowcast M3,208,208,2.3407188446625553,2.3407188446625553,1.0,1.6429881263582635,0.38002048209064415,0.3194952642582483,0.6923076923076923,0.6923076923076923,208,0.8653846153846154
2007-2019,ar2,backcast,205,205,2.3496044855696043,2.3496044855696043,1.0,1.6589503571438386,0.32462709135454393,0.3165018508914057,0.6915422885572139,0.6915422885572139,201,0.8682926829268293
2007-2019,mean,forecast,678,678,2.8341162578705346,2.8341162578705346,1.0143841410745218,1.823419118735576,1.0319764589292233,-0.3963606777283048,0.7952522255192879,0.7952522255192879,674,0.8259587020648967
2007-2019,mean,nowcast M1,208,208,2.6282544456377295,2.6282544456377295,1.05299579487604,1.7054235867594865,0.9156088295723198,-0.44770379865552723,0.7990196078431373,0.7990196078431373,204,0.8461538461538461
2007-2019,mean,nowcast M2,260,260,2.613834601578507,2.613834601578507,1.116680291415061,1.6974745068167454,0.9062407444239892,-0.3983963893100894,0.6923076923076923,0.6923076923076923,260,0.8461538461538461
2007-2019,mean,nowcast M3,208,208,2.613834601578507,2.613834601578507,1.116680291415061,1.6974745068167456,0.906240744423989,-0.3983963893100904,0.6923076923076923,0.6923076923076923,208,0.8461538461538461
2007-2019,mean,backcast,205,205,2.61974058630106,2.61974058630106,1.1149708822870108,1.7032498981889412,0.8914755686650981,-0.3412313200993381,0.6915422885572139,0.6915422885572139,201,0.848780487804878
2007-2021,bbvar/-,forecast,770,770,7.161018110986145,7.161018110986145,1.0827945513603876,3.411521877820887,0.12558597639975005,-0.2935627049411334,0.6919060052219321,0.6919060052219321,766,0.7623376623376623
2007-2021,bbvar/-,nowcast M1,236,236,6.519219525941277,6.519219525941277,0.9818688670353697,3.0875039597059106,0.253016091271716,-0.005844282094103151,0.7068965517241379,0.7068965517241379,232,0.809322033898305
2007-2021,bbvar/-,nowcast M2,295,295,3.130312154241492,3.130312154241492,0.6350016337949862,1.9518334925070977,0.5887967545681847,0.7596402845794883,0.6813559322033899,0.6813559322033899,295,0.8677966101694915
2007-2021,bbvar/-,nowcast M3,236,236,2.6302364593781307,2.6302364593781307,0.5335584333687517,1.7817702326809883,0.3664968689963198,0.8472018429244137,0.7033898305084746,0.7033898305084746,236,0.9067796610169492
2007-2021,bbvar/-,backcast,234,234,2.304307299771123,2.304307299771123,0.4682385932569434,1.5929619170486125,0.34983049478140293,0.8906991715250697,0.7565217391304347,0.7565217391304347,230,0.905982905982906
2007-2021,cbvar/authors,forecast,770,770,7.122103815047882,7.122103815047882,1.076910445642608,3.4623482682148867,-0.3518667066885843,-0.24133263576211386,0.6305483028720626,0.6305483028720626,766,0.7363636363636363
2007-2021,cbvar/authors,nowcast M1,236,236,7.384305935227935,7.384305935227935,1.112160753846981,3.522697375238003,-0.48453581304870985,-0.3613448775570447,0.6724137931034483,0.6724137931034483,232,0.7161016949152542
2007-2021,cbvar/authors,nowcast M2,295,295,3.767778324175209,3.767778324175209,0.7643152739214061,2.2903040603379967,-0.06995346688875512,0.6000638351218116,0.6610169491525424,0.6610169491525424,295,0.8406779661016949
2007-2021,cbvar/authors,nowcast M3,236,236,2.8610341093784397,2.8610341093784397,0.5803770500449381,1.838002211852542,-0.11124477821097553,0.802288660931369,0.7669491525423728,0.7669491525423728,236,0.8728813559322034
2007-2021,cbvar/authors,backcast,234,234,2.4581611474201717,2.4581611474201717,0.4995019187680478,1.6048337537696646,0.14484515880872117,0.8676365603309102,0.7956521739130434,0.7956521739130434,230,0.8931623931623932
2007-2021,lbvar/-,forecast,770,770,7.278191933432196,7.278191933432196,1.1005120287553973,3.6346483624947545,-0.7109915163939873,-0.22640875205780808,0.6657963446475196,0.6657963446475196,766,0.712987012987013
2007-2021,lbvar/-,nowcast M1,236,236,5.71878789863936,5.71878789863936,0.8613147283212365,3.1090329541795465,-0.4357681913577464,0.4463999354197957,0.7155172413793104,0.7155172413793104,232,0.7796610169491526
2007-2021,lbvar/-,nowcast M2,295,295,3.503437807928681,3.503437807928681,0.7106922959486458,2.1332974003417062,-0.28632151423110086,0.7318965687561406,0.7084745762711865,0.7084745762711865,295,0.8305084745762712
2007-2021,lbvar/-,nowcast M3,236,236,2.5077304820618056,2.5077304820618056,0.5087073987394696,1.7095604028589342,-0.12357903806552188,0.8483117699555023,0.7161016949152542,0.7161016949152542,236,0.8940677966101694
2007-2021,lbvar/-,backcast,234,234,2.136587518766003,2.136587518766003,0.4341576899299434,1.5841994627331668,0.02875724718600434,0.8914919783058886,0.7217391304347827,0.7217391304347827,230,0.9273504273504274
2007-2021,qbvar/-,forecast,770,770,6.524988883571552,6.524988883571552,0.9866226144546676,3.2736391254145296,0.0412497880642694,0.03230494953158124,0.6214099216710183,0.6214099216710183,766,0.7688311688311689
2007-2021,qbvar/-,nowcast M1,236,236,7.490646598329849,7.490646598329849,1.1281768714181393,3.3839111437531066,-0.15046253352633374,-0.3711312716660381,0.646551724137931,0.646551724137931,232,0.7457627118644068
2007-2021,qbvar/-,nowcast M2,295,295,5.683442013473667,5.683442013473667,1.1529185545424758,3.049064029084725,0.2796487605044794,-0.1159428956244509,0.6271186440677966,0.6271186440677966,295,0.7762711864406779
2007-2021,qbvar/-,nowcast M3,236,236,5.5152805544116,5.5152805544116,1.1188060456346745,2.9815976491654954,0.18043406362101075,-0.095883946070815,0.6186440677966102,0.6186440677966102,236,0.7754237288135594
2007-2021,qbvar/-,backcast,234,234,3.2509479128018244,3.2509479128018244,0.660597342026872,1.8862606118500822,0.3407861465964016,0.7280149834471303,0.7434782608695653,0.7434782608695653,230,0.8931623931623932
2007-2021,ar2,forecast,770,770,6.613459683546871,6.613459683546871,1.0,3.0256137470499587,0.4544080044517353,-0.07103543659324084,0.7454308093994778,0.7454308093994778,766,0.7961038961038961
2007-2021,ar2,nowcast M1,236,236,6.639603051704089,6.639603051704089,1.0,2.9537108021865683,0.41451545261282186,-0.05771989155138364,0.7413793103448276,0.7413793103448276,232,0.8305084745762712
2007-2021,ar2,nowcast M2,295,295,4.929612756322657,4.929612756322657,1.0,2.5826868522271367,0.44160971022936624,0.10319659681953246,0.6440677966101694,0.6440677966101694,295,0.8305084745762712
2007-2021,ar2,nowcast M3,236,236,4.929612756322657,4.929612756322657,1.0,2.5826868522271367,0.4416097102293663,0.10319659681953253,0.6440677966101694,0.6440677966101694,236,0.8305084745762712
2007-2021,ar2,backcast,234,234,4.921224634097273,4.921224634097273,1.0,2.5511131063248604,0.461896073530545,0.10123388072560204,0.6565217391304348,0.6565217391304348,230,0.8333333333333334
2007-2021,mean,forecast,770,770,6.442545401086736,6.442545401086736,0.9741566002306872,2.9421460695003696,0.7397592812913927,-0.20597712667424453,0.7859007832898173,0.7859007832898173,766,0.8116883116883117
2007-2021,mean,nowcast M1,236,236,6.442361244952926,6.442361244952926,0.9702931327045915,2.917186127591275,0.6977863937406938,-0.21781912138044326,0.7887931034482759,0.7887931034482759,232,0.8305084745762712
2007-2021,mean,nowcast M2,295,295,4.88175340052955,4.88175340052955,0.9902914573296405,2.3964158353115743,1.2013525492076311,-0.13876697267478963,0.6610169491525424,0.6610169491525424,295,0.8305084745762712
2007-2021,mean,nowcast M3,236,236,4.88175340052955,4.88175340052955,0.9902914573296405,2.3964158353115748,1.2013525492076313,-0.13876697267479005,0.6610169491525424,0.6610169491525424,236,0.8305084745762712
2007-2021,mean,backcast,234,234,4.870885171936403,4.870885171936403,0.9897709481066792,2.344989921993245,1.24227198909025,-0.10209530428923175,0.6739130434782609,0.6739130434782609,230,0.8333333333333334
2007-2025,bbvar/-,forecast,978,978,6.442420058159513,6.442420058159513,1.0905846181137508,3.0986340983700043,-0.19851746146035681,-0.2683038066839326,0.6837782340862423,0.6837782340862423,974,0.7586912065439673
2007-2025,bbvar/-,nowcast M1,300,300,5.902651272901392,5.902651272901392,0.9933242471814482,2.888259893439336,-0.09590118592335434,-0.0013767131183989507,0.6858108108108109,0.6858108108108109,296,0.7933333333333333
2007-2025,bbvar/-,nowcast M2,375,375,2.9774373058430097,2.9774373058430097,0.6705000876512662,1.9522275770419262,0.31118481401770826,0.7188775462129343,0.6853333333333333,0.6853333333333333,375,0.8533333333333334
2007-2025,bbvar/-,nowcast M3,300,300,2.4981680628784257,2.4981680628784257,0.5625716792895913,1.760119519755132,0.17333957419636675,0.8216980948715986,0.71,0.71,300,0.89
2007-2025,bbvar/-,backcast,294,294,2.220447870127336,2.220447870127336,0.496291983765014,1.5963489730162008,0.11935566649420884,0.8713826793222099,0.7655172413793103,0.7655172413793103,290,0.8979591836734694
2007-2025,cbvar/authors,forecast,978,978,6.460215183752526,6.460215183752526,1.093597009431601,3.2550304928383933,-0.7256786643568196,-0.221899124622053,0.6314168377823408,0.6314168377823408,974,0.7157464212678937
2007-2025,cbvar/authors,nowcast M1,300,300,6.67858831767023,6.67858831767023,1.1239023628823857,3.3218617850073042,-0.8101882432523598,-0.29335789590148376,0.6655405405405406,0.6655405405405406,296,0.7033333333333334
2007-2025,cbvar/authors,nowcast M2,375,375,3.4979800885901775,3.4979800885901775,0.7877230366528373,2.212742586666297,-0.2996895968913776,0.5747463878882914,0.6746666666666666,0.6746666666666666,375,0.84
2007-2025,cbvar/authors,nowcast M3,300,300,2.694889682669761,2.694889682669761,0.6068721463570729,1.7997352972011436,-0.20985773889217818,0.7812575673698393,0.77,0.77,300,0.8733333333333333
2007-2025,cbvar/authors,backcast,294,294,2.398601443979806,2.398601443979806,0.536111063407266,1.6485747419114878,-0.01666517314791932,0.8428967108186726,0.7931034482758621,0.7931034482758621,290,0.8877551020408163
2007-2025,lbvar/-,forecast,978,978,6.660867301342141,6.660867301342141,1.127563765877113,3.4835017244539754,-1.0303569870300147,-0.1985844860388738,0.660164271047228,0.660164271047228,974,0.6687116564417178
2007-2025,lbvar/-,nowcast M1,300,300,5.397211681202248,5.397211681202248,0.9082666385395158,3.1677048162449477,-0.9519984748127402,0.37996873948998244,0.706081081081081,0.706081081081081,296,0.74
2007-2025,lbvar/-,nowcast M2,375,375,3.4280496694237335,3.4280496694237335,0.7719751476583064,2.2486349980336557,-0.5660527691142481,0.6962752100594475,0.6986666666666667,0.6986666666666667,375,0.7893333333333333
2007-2025,lbvar/-,nowcast M3,300,300,2.4533700100152998,2.4533700100152998,0.5524834405507314,1.7461351685439237,-0.34960062450572615,0.8246403396276757,0.7133333333333334,0.7133333333333334,300,0.8733333333333333
2007-2025,lbvar/-,backcast,294,294,2.133409290183581,2.133409290183581,0.47683800329309295,1.6267240366871907,-0.213300432435863,0.8702692288045907,0.7310344827586207,0.7310344827586207,290,0.9115646258503401
2007-2025,qbvar/-,forecast,978,978,5.922138496092765,5.922138496092765,1.0025104063182089,3.065256088717144,-0.3663293326858282,0.016780862415704617,0.6273100616016427,0.6273100616016427,974,0.7413087934560327
2007-2025,qbvar/-,nowcast M1,300,300,6.7808983988396205,6.7808983988396205,1.1411195555739513,3.2264964926715023,-0.6055336005992968,-0.3023786546856389,0.6385135135135135,0.6385135135135135,296,0.72
2007-2025,qbvar/-,nowcast M2,375,375,5.166696658657493,5.166696658657493,1.1635074752704173,2.863995744519482,-0.1391484223249271,-0.10324710991392455,0.64,0.64,375,0.7706666666666667
2007-2025,qbvar/-,nowcast M3,300,300,5.053733833744089,5.053733833744089,1.1380689601227987,2.8563824388808774,-0.2233881086788093,-0.09486998249179657,0.6333333333333333,0.6333333333333333,300,0.7533333333333333
2007-2025,qbvar/-,backcast,294,294,3.0940483273832364,3.0940483273832364,0.6915502961903766,1.924552113012279,0.08660443907194432,0.6996053258202727,0.7344827586206897,0.7344827586206897,290,0.8775510204081632
2007-2025,ar2,forecast,978,978,5.907308750880944,5.907308750880944,1.0,2.632791129452596,0.38830235186805995,-0.06891944215148234,0.75564681724846,0.75564681724846,974,0.8261758691206544
2007-2025,ar2,nowcast M1,300,300,5.942320737312243,5.942320737312243,1.0,2.617642548666644,0.3985006318483117,-0.05626571558297879,0.7601351351351351,0.7601351351351351,296,0.84
2007-2025,ar2,nowcast M2,375,375,4.440621799577757,4.440621799577757,1.0,2.313851178228507,0.4210585976213844,0.11322166751141298,0.68,0.68,375,0.84
2007-2025,ar2,nowcast M3,300,300,4.440621799577757,4.440621799577757,1.0,2.3138511782285076,0.4210585976213844,0.11322166751141284,0.68,0.68,300,0.84
2007-2025,ar2,backcast,294,294,4.47407563040285,4.47407563040285,1.0,2.326717209475882,0.36064351274991197,0.11413438241361872,0.6793103448275862,0.6793103448275862,290,0.8435374149659864
