window,modello,metodo,n,settimana,RMSE,MAE,Bias,corr,RMSE_rel_fed,RMSE_rel_ar2
completo,tutti,bbvar/-,69,16.92753623188406,1.9876117608994976,1.4745991889061325,0.25027637939493325,0.9041026456281975,0.7892769080215237,0.435271951571057
completo,tutti,cbvar/authors,69,16.92753623188406,2.2975567883967787,1.542378477842361,0.16772917805611687,0.8692343027100893,0.912355498001788,0.5031475697639342
completo,tutti,lbvar/-,69,16.92753623188406,2.023965516682252,1.578929592953858,-0.02282334553111327,0.8873987693058479,0.8037129163626079,0.4432331492947695
completo,tutti,qbvar/-,69,16.92753623188406,2.2090259742444913,1.545290847482883,0.35376562211232476,0.8797005998091753,0.8772000774949564,0.4837599906560295
completo,tutti,nyfed,69,16.92753623188406,2.5182692420101755,1.668723041941266,0.31795073540580593,0.874897113007022,1.0,0.5514819287721858
completo,tutti,ar2,69,16.92753623188406,4.5663676552681,2.3379846252388945,0.41657525193837625,0.11182122220376386,1.813296044398754,1.0
completo,tutti,mean,69,16.92753623188406,4.523403899253171,2.1785581249899133,1.0709948151700466,-0.12426674541051426,1.7962352173441243,0.9905912621894641
completo,qbvar,qbvar/-,69,16.92753623188406,2.2090259742444913,1.545290847482883,0.35376562211232476,0.8797005998091753,0.8772000774949564,0.4837599906560295
completo,qbvar,nyfed,69,16.92753623188406,2.5182692420101755,1.668723041941266,0.31795073540580593,0.874897113007022,1.0,0.5514819287721858
completo,qbvar,ar2,69,16.92753623188406,4.5663676552681,2.3379846252388945,0.41657525193837625,0.11182122220376386,1.813296044398754,1.0
completo,qbvar,mean,69,16.92753623188406,4.523403899253171,2.1785581249899133,1.0709948151700466,-0.12426674541051426,1.7962352173441243,0.9905912621894641
completo,cbvar,cbvar/authors,69,16.92753623188406,2.2975567883967787,1.542378477842361,0.16772917805611687,0.8692343027100893,0.912355498001788,0.5031475697639342
completo,cbvar,nyfed,69,16.92753623188406,2.5182692420101755,1.668723041941266,0.31795073540580593,0.874897113007022,1.0,0.5514819287721858
completo,cbvar,ar2,69,16.92753623188406,4.5663676552681,2.3379846252388945,0.41657525193837625,0.11182122220376386,1.813296044398754,1.0
completo,cbvar,mean,69,16.92753623188406,4.523403899253171,2.1785581249899133,1.0709948151700466,-0.12426674541051426,1.7962352173441243,0.9905912621894641
completo,bbvar,bbvar/-,69,16.92753623188406,1.9876117608994976,1.4745991889061325,0.25027637939493325,0.9041026456281975,0.7892769080215237,0.435271951571057
completo,bbvar,nyfed,69,16.92753623188406,2.5182692420101755,1.668723041941266,0.31795073540580593,0.874897113007022,1.0,0.5514819287721858
completo,bbvar,ar2,69,16.92753623188406,4.5663676552681,2.3379846252388945,0.41657525193837625,0.11182122220376386,1.813296044398754,1.0
completo,bbvar,mean,69,16.92753623188406,4.523403899253171,2.1785581249899133,1.0709948151700466,-0.12426674541051426,1.7962352173441243,0.9905912621894641
completo,lbvar,lbvar/-,69,16.92753623188406,2.023965516682252,1.578929592953858,-0.02282334553111327,0.8873987693058479,0.8037129163626079,0.4432331492947695
completo,lbvar,nyfed,69,16.92753623188406,2.5182692420101755,1.668723041941266,0.31795073540580593,0.874897113007022,1.0,0.5514819287721858
completo,lbvar,ar2,69,16.92753623188406,4.5663676552681,2.3379846252388945,0.41657525193837625,0.11182122220376386,1.813296044398754,1.0
completo,lbvar,mean,69,16.92753623188406,4.523403899253171,2.1785581249899133,1.0709948151700466,-0.12426674541051426,1.7962352173441243,0.9905912621894641
2007-2019,tutti,bbvar/-,52,16.942307692307693,1.7098626172681965,1.2630783709689621,0.40614562010437294,0.7224129432109044,0.943283946599312,0.7287368284644316
2007-2019,tutti,cbvar/authors,52,16.942307692307693,1.6003730741101476,1.2335008000480525,0.04044425477999154,0.7547061338742765,0.8828815918496143,0.6820728090132706
2007-2019,tutti,lbvar/-,52,16.942307692307693,1.8394642520133917,1.424739696125427,0.12019693492921518,0.6862762449273553,1.0147815863941907,0.7839725434945153
2007-2019,tutti,qbvar/-,52,16.942307692307693,1.7428066773304665,1.3114353830933125,0.2879935267956873,0.7134316693917276,0.96145827398603,0.7427774593338733
2007-2019,tutti,nyfed,52,16.942307692307693,1.8126701121465303,1.3606309482420806,0.31298275438380424,0.665965783582342,1.0,0.7725529848055225
2007-2019,tutti,ar2,52,16.942307692307693,2.3463375946995275,1.6559122285638077,0.3408340098772428,0.3133513273777543,1.2944095999470295,1.0
2007-2019,tutti,mean,52,16.942307692307693,2.614159645405601,1.701890648582838,0.9018246026578964,-0.3396424307750315,1.4421596229166935,1.1141447212502984
2007-2021,tutti,bbvar/-,58,16.948275862068964,2.051122175693561,1.483348818018409,0.41762761779266067,0.9154850717659248,0.7773180783438933,0.41552297654216724
2007-2021,tutti,cbvar/authors,58,16.948275862068964,2.4171007224928363,1.579923962559343,0.3151701079504482,0.8778199176111007,0.9160137367909137,0.4896640964221619
2007-2021,tutti,lbvar/-,58,16.948275862068964,2.0180632564136216,1.550040368901595,0.14923382140423533,0.9047677400894101,0.7647896702796009,0.4088257935546045
2007-2021,tutti,qbvar/-,58,16.948275862068964,2.304778816651741,1.5883462274966618,0.5067641262149812,0.8909167231344528,0.8734468682547666,0.4669095607835429
2007-2021,tutti,nyfed,58,16.948275862068964,2.6387166757571845,1.6856989203546067,0.491579735856694,0.8896662624038892,1.0,0.534559774330034
2007-2021,tutti,ar2,58,16.948275862068964,4.936242497977517,2.549728907344032,0.5267106992927565,0.09958603828120896,1.8706981857235785,1.0
2007-2021,tutti,mean,58,16.948275862068964,4.888764328648074,2.354696817818104,1.3051020560893645,-0.0941220348694384,1.8527052841871454,0.9903817186151419
