window,modello,trimestre,n_metodi,completo,allineato,spread_gg,tenuto,motivo
completo,tutti,2006Q4,7,True,True,0,True,
completo,tutti,2007Q1,7,True,True,0,True,
completo,tutti,2007Q2,7,True,True,0,True,
completo,tutti,2007Q3,7,True,True,0,True,
completo,tutti,2007Q4,7,True,True,0,True,
completo,tutti,2008Q1,7,True,True,0,True,
completo,tutti,2008Q2,7,True,True,0,True,
completo,tutti,2008Q3,7,True,True,0,True,
completo,tutti,2008Q4,7,True,True,0,True,
completo,tutti,2009Q1,7,True,True,0,True,
completo,tutti,2009Q2,7,True,True,0,True,
completo,tutti,2009Q3,7,True,True,0,True,
completo,tutti,2009Q4,7,True,True,0,True,
completo,tutti,2010Q1,7,True,True,0,True,
completo,tutti,2010Q2,7,True,True,0,True,
completo,tutti,2010Q3,7,True,True,0,True,
completo,tutti,2010Q4,7,True,True,0,True,
completo,tutti,2011Q1,7,True,True,0,True,
completo,tutti,2011Q2,7,True,True,0,True,
completo,tutti,2011Q3,7,True,True,0,True,
completo,tutti,2011Q4,7,True,True,0,True,
completo,tutti,2012Q1,7,True,True,0,True,
completo,tutti,2012Q2,7,True,True,0,True,
completo,tutti,2012Q3,7,True,True,0,True,
completo,tutti,2012Q4,7,True,True,0,True,
completo,tutti,2013Q1,7,True,True,0,True,
completo,tutti,2013Q2,7,True,True,0,True,
completo,tutti,2013Q3,7,True,True,0,True,
completo,tutti,2013Q4,7,True,True,0,True,
completo,tutti,2014Q1,7,True,True,0,True,
completo,tutti,2014Q2,7,True,True,0,True,
completo,tutti,2014Q3,7,True,True,0,True,
completo,tutti,2014Q4,7,True,True,0,True,
completo,tutti,2015Q1,7,True,True,0,True,
completo,tutti,2015Q2,7,True,True,0,True,
completo,tutti,2015Q3,7,True,True,0,True,
completo,tutti,2015Q4,7,True,True,0,True,
completo,tutti,2016Q1,7,True,True,0,True,
completo,tutti,2016Q2,7,True,True,0,True,
completo,tutti,2016Q3,7,True,True,0,True,
completo,tutti,2016Q4,7,True,True,0,True,
completo,tutti,2017Q1,7,True,True,0,True,
completo,tutti,2017Q2,7,True,True,0,True,
completo,tutti,2017Q3,7,True,True,0,True,
completo,tutti,2017Q4,7,True,True,0,True,
completo,tutti,2018Q1,7,True,True,0,True,
completo,tutti,2018Q2,7,True,True,0,True,
completo,tutti,2018Q3,7,True,True,0,True,
completo,tutti,2018Q4,7,True,True,0,True,
completo,tutti,2019Q1,7,True,True,0,True,
completo,tutti,2019Q2,7,True,True,0,True,
completo,tutti,2019Q3,7,True,True,0,True,
completo,tutti,2019Q4,7,True,True,0,True,
completo,tutti,2020Q1,7,True,True,0,True,
completo,tutti,2020Q2,7,True,True,0,True,
completo,tutti,2020Q3,7,True,True,0,True,
completo,tutti,2020Q4,7,True,True,0,True,
completo,tutti,2021Q1,7,True,True,0,True,
completo,tutti,2021Q2,7,True,True,0,True,
completo,tutti,2021Q3,7,True,False,56,False,stime finali fuori dalla settimana di rilascio
completo,tutti,2021Q4,6,False,False,0,False,metodi mancanti
completo,tutti,2022Q1,6,False,False,0,False,metodi mancanti
