window,modello,metodo,n,diff_media,diff_sd,corr_fed,RMSE,RMSE_fed,quota_meglio
completo,tutti,bbvar/-,70,0.08505225772620992,2.00922872273415,0.9173087785174237,2.3131458608993167,3.551653931588357,0.5428571428571428
completo,tutti,cbvar/authors,70,-0.08683290988389362,1.6912607680933602,0.9119108563489001,2.8002662893809855,3.551653931588357,0.6142857142857143
completo,tutti,lbvar/-,70,-0.3516135363892147,2.233399051364331,0.8937296215519536,2.724906213195491,3.551653931588357,0.5142857142857142
completo,tutti,qbvar/-,70,0.17684535667050777,1.6997707683534884,0.9279108116747204,2.6641312589330237,3.551653931588357,0.5142857142857142
completo,tutti,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
completo,tutti,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
completo,qbvar,qbvar/-,70,0.17684535667050777,1.6997707683534884,0.9279108116747204,2.6641312589330237,3.551653931588357,0.5142857142857142
completo,qbvar,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
completo,qbvar,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
completo,cbvar,cbvar/authors,70,-0.08683290988389362,1.6912607680933602,0.9119108563489001,2.8002662893809855,3.551653931588357,0.6142857142857143
completo,cbvar,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
completo,cbvar,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
completo,bbvar,bbvar/-,70,0.08505225772620992,2.00922872273415,0.9173087785174237,2.3131458608993167,3.551653931588357,0.5428571428571428
completo,bbvar,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
completo,bbvar,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
completo,lbvar,lbvar/-,70,-0.3516135363892147,2.233399051364331,0.8937296215519536,2.724906213195491,3.551653931588357,0.5142857142857142
completo,lbvar,ar2,70,-0.37565393164848515,4.890717746404762,-0.31976212906384227,7.907541504523411,3.551653931588357,0.5
completo,lbvar,mean,70,0.5796454444149427,2.9063673520238846,-0.20641607862414568,5.9370664140848595,3.551653931588357,0.42857142857142855
2007-2019,tutti,bbvar/-,52,0.07164347118372366,1.2084951507808446,0.7718315561943548,1.7010216693520919,1.8126701121465303,0.5384615384615384
2007-2019,tutti,cbvar/authors,52,-0.2564526430509634,1.2410980767287925,0.8038315395133495,1.6234576392265483,1.8126701121465303,0.5961538461538461
2007-2019,tutti,lbvar/-,52,-0.25249057867708613,1.7153976422073591,0.6501316633727741,1.7719370454249985,1.8126701121465303,0.5192307692307693
2007-2019,tutti,qbvar/-,52,0.010549203760147221,1.1903488594925307,0.8234927746609494,1.7412771106597789,1.8126701121465303,0.4807692307692308
2007-2019,tutti,ar2,52,0.027851255493438528,1.6224234738067986,0.36461058232062327,2.3463375946995275,1.8126701121465303,0.5192307692307693
