metodo,fase,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
bbvar/-,forecast,991,6.400819430723124,3.0849401600426924,-0.20698879734299344,-0.25841530923661454,0.690982776089159,987,0.7709384460141272,1.0302686079429448,1.1177793523841848
bbvar/-,nowcast M1,304,5.950707235396374,2.9125907795946056,-0.1391594143106342,-0.04983937246561706,0.6966666666666667,300,0.7796052631578947,0.947526222374443,1.0372111371592647
bbvar/-,nowcast M2,380,3.662075111870926,2.1345793003224083,0.11131724287754476,0.773256384212679,0.6815789473684211,380,0.8552631578947368,0.480352418207151,0.6372846933259039
bbvar/-,nowcast M3,304,3.2037382623727626,1.952885597823068,-0.07011009357196903,0.8645209184464895,0.7203947368421053,304,0.8980263157894737,0.4202326207469045,0.557523615344308
bbvar/-,backcast,298,2.7282179358846217,1.7464455844673399,-0.07643126884070811,0.9134221604738123,0.7687074829931972,294,0.9026845637583892,0.3546173321061301,0.4711518479829169
cbvar/authors,forecast,991,6.4930833927495115,3.3029495478345097,-0.6516199412334869,-0.18115584500890106,0.6382978723404256,987,0.7194752774974773,1.045119310223963,1.1338914694089581
cbvar/authors,nowcast M1,304,6.784588906184582,3.4179389789366468,-0.7312954105859976,-0.2418822018511591,0.66,300,0.7006578947368421,1.080304515470324,1.1825571139987545
cbvar/authors,nowcast M2,380,4.096284438936696,2.3897716421077386,-0.5153991024873094,0.7044730259258661,0.6842105263157895,380,0.8289473684210527,0.5373074215570369,0.7128470314498165
cbvar/authors,nowcast M3,304,2.881126592200265,1.8850585997605283,-0.32887738747455864,0.8792532275750589,0.7730263157894737,304,0.8651315789473685,0.37791582188964795,0.5013818178637532
cbvar/authors,backcast,298,2.7442537658773176,1.7766173273973642,-0.1946101226581412,0.9112431024023891,0.8129251700680272,294,0.8825503355704698,0.35670169024164444,0.47392116887756486
lbvar/-,forecast,991,6.572518410374309,3.440244575974378,-0.9320158911349414,-0.13555126190557662,0.6727456940222898,987,0.6851664984863775,1.0579050802204428,1.1477632593443354
lbvar/-,nowcast M1,304,5.091615044253777,3.0197557857838446,-0.7739024761807232,0.4664055300414343,0.7166666666666667,300,0.7171052631578947,0.810733678842345,0.8874709544799022
lbvar/-,nowcast M2,380,3.748192541087327,2.378469164550289,-0.7722443432833542,0.7637092799139696,0.7,380,0.8105263157894737,0.4916483949717421,0.6522710925098766
lbvar/-,nowcast M3,304,3.0477366718316663,1.914970591801754,-0.5644114532816034,0.8576176563876053,0.7401315789473685,304,0.8717105263157895,0.39976997621575683,0.5303757762778548
lbvar/-,backcast,298,2.7999634775733755,1.8009119449854885,-0.5017023540160825,0.8918133783530153,0.7755102040816326,294,0.889261744966443,0.3639429113604595,0.4835420035150596
qbvar/-,forecast,991,5.901587568307312,3.06145191545311,-0.3320043679776555,0.03349050523580342,0.6332320162107397,987,0.7477295660948536,0.9499128157668489,1.0305981603664536
qbvar/-,nowcast M1,304,6.880625292846535,3.308487735216171,-0.4879828733680984,-0.24687183560067474,0.6366666666666667,300,0.7236842105263158,1.0955963103889208,1.1992963024477852
qbvar/-,nowcast M2,380,6.410910295015596,3.2557093465123454,-0.5566773870364022,-0.05064649163424328,0.6368421052631579,380,0.7684210526315789,0.8409156472889958,1.1156447851261044
qbvar/-,nowcast M3,304,5.862617533376253,3.15763342461053,-0.561205422866393,0.14959196338249336,0.6282894736842105,304,0.7598684210526315,0.7689963813282329,1.0202293242794735
qbvar/-,backcast,298,3.578380102763763,2.0764330657957712,-0.07945079807571409,0.7826070955324584,0.7482993197278912,294,0.8791946308724832,0.4651225214133371,0.6179713050144494
ar2,forecast,991,6.212767603880633,2.831131661360861,0.15033092666295414,-0.08418173107190854,0.7588652482269503,987,0.8153380423814329,1.0,1.0849397368478166
ar2,nowcast M1,304,6.280255991738429,2.829088719961607,0.14736836607288942,-0.07340449372775597,0.7633333333333333,300,0.8289473684210527,1.0,1.0946516441097291
ar2,nowcast M2,380,7.623725775211281,2.996640936815209,-0.2977168159107106,-0.4924665272710856,0.6842105263157895,380,0.8289473684210527,1.0,1.326702373445898
ar2,nowcast M3,304,7.623725775211281,2.9966409368152087,-0.29771681591071053,-0.4924665272710854,0.6842105263157895,304,0.8289473684210527,1.0,1.326702373445898
ar2,backcast,298,7.693413967335694,3.0230817144603384,-0.3717929482375746,-0.4918880729226075,0.6836734693877551,294,0.8322147651006712,1.0,1.3286204743142964
mean,forecast,991,5.7263711456741415,2.5655505085631605,0.5712027117880184,-0.21223601962008737,0.790273556231003,987,0.8405650857719476,0.9217101798717406,1.0
mean,nowcast M1,304,5.737218799727019,2.5839373639169976,0.5856281273523464,-0.2156314868889437,0.8,300,0.8421052631578947,0.9135326342229098,1.0
mean,nowcast M2,380,5.746372304595995,2.5779918135150703,0.5785670045455598,-0.2952523503860512,0.6973684210526315,380,0.8421052631578947,0.7537485573366838,1.0
mean,nowcast M3,304,5.746372304595995,2.5779918135150703,0.5785670045455596,-0.2952523503860509,0.6973684210526315,304,0.8421052631578947,0.7537485573366838,1.0
mean,backcast,298,5.7905279318432,2.5752470512690437,0.5293392976411059,-0.2745380766947104,0.6972789115646258,294,0.8456375838926175,0.7526603867188649,1.0
