metodo,horizon_week,n_trimestri,RMSE,sett_al_rilascio,pieno
ar2,-12,14,4.330519547782231,29.571428571428573,True
ar2,-11,14,4.330519547782231,28.571428571428573,True
ar2,-10,14,4.330519547782231,27.571428571428573,True
ar2,-9,14,4.330519547782231,26.571428571428573,True
ar2,-8,14,3.9245029144599193,25.571428571428573,True
ar2,-7,14,3.9245029144599193,24.571428571428573,True
ar2,-6,14,3.9245029144599193,23.571428571428573,True
ar2,-5,14,3.9245029144599193,22.571428571428573,True
ar2,-4,14,3.9245029144599193,21.571428571428573,True
ar2,-3,14,3.9245029144599193,20.571428571428573,True
ar2,-2,14,3.9245029144599193,19.571428571428573,True
ar2,-1,14,3.9245029144599193,18.571428571428573,True
ar2,0,14,3.9245029144599193,17.571428571428573,True
ar2,1,14,3.9245029144599193,16.571428571428573,True
ar2,2,14,3.9245029144599193,15.571428571428571,True
ar2,3,14,3.9245029144599193,14.571428571428571,True
ar2,4,14,3.9245029144599193,13.571428571428571,True
ar2,5,14,3.4883132133831696,12.571428571428571,True
ar2,6,14,3.4883132133831696,11.571428571428571,True
ar2,7,14,3.4883132133831696,10.571428571428571,True
ar2,8,14,3.4883132133831696,9.571428571428571,True
ar2,9,14,3.4883132133831696,8.571428571428571,True
ar2,10,14,3.4883132133831696,7.571428571428571,True
ar2,11,14,3.4883132133831696,6.571428571428571,True
ar2,12,14,3.4883132133831696,5.571428571428571,True
ar2,13,14,3.4883132133831696,4.571428571428571,True
ar2,14,14,3.4883132133831696,3.5714285714285716,True
ar2,15,14,3.4883132133831696,2.5714285714285716,True
ar2,16,14,3.4883132133831696,1.5714285714285714,True
ar2,17,14,3.4883132133831696,0.5714285714285714,True
bvar/bbvar,-12,14,3.427037727441298,29.571428571428573,True
bvar/bbvar,-11,14,3.401709691851748,28.571428571428573,True
bvar/bbvar,-10,14,3.3720702758155006,27.571428571428573,True
bvar/bbvar,-9,14,3.414534203200481,26.571428571428573,True
bvar/bbvar,-8,14,3.2574727458920645,25.571428571428573,True
bvar/bbvar,-7,14,3.290881840835176,24.571428571428573,True
bvar/bbvar,-6,14,3.3773430830637086,23.571428571428573,True
bvar/bbvar,-5,14,3.363260700952674,22.571428571428573,True
bvar/bbvar,-4,14,3.3073891947274725,21.571428571428573,True
bvar/bbvar,-3,14,3.36575814298731,20.571428571428573,True
bvar/bbvar,-2,14,3.3478748449461877,19.571428571428573,True
bvar/bbvar,-1,14,3.417600343824955,18.571428571428573,True
bvar/bbvar,0,14,3.4447238704856185,17.571428571428573,True
bvar/bbvar,1,14,3.4092208490165854,16.571428571428573,True
bvar/bbvar,2,14,3.297604338545388,15.571428571428571,True
bvar/bbvar,3,14,3.174737994463626,14.571428571428571,True
bvar/bbvar,4,14,3.0959563865517232,13.571428571428571,True
bvar/bbvar,5,14,3.1317144477735703,12.571428571428571,True
bvar/bbvar,6,14,2.878955409911032,11.571428571428571,True
bvar/bbvar,7,14,3.2572986683386067,10.571428571428571,True
bvar/bbvar,8,14,2.5809818541375376,9.571428571428571,True
bvar/bbvar,9,14,2.4552051172132905,8.571428571428571,True
bvar/bbvar,10,14,2.5103970217693843,7.571428571428571,True
bvar/bbvar,11,14,2.423169438143441,6.571428571428571,True
bvar/bbvar,12,14,2.5459826598459245,5.571428571428571,True
bvar/bbvar,13,14,2.5162899586539567,4.571428571428571,True
bvar/bbvar,14,14,2.5184961696270705,3.5714285714285716,True
bvar/bbvar,15,14,2.4141346755250828,2.5714285714285716,True
bvar/bbvar,16,14,2.1552805791060807,1.5714285714285714,True
bvar/bbvar,17,14,2.1484121692637563,0.5714285714285714,True
bvar/cbvar,-12,14,3.513716875466508,29.571428571428573,True
bvar/cbvar,-11,14,3.440884603994748,28.571428571428573,True
bvar/cbvar,-10,14,3.49443212003617,27.571428571428573,True
bvar/cbvar,-9,14,3.465116672605718,26.571428571428573,True
bvar/cbvar,-8,14,3.404599551774595,25.571428571428573,True
bvar/cbvar,-7,14,3.3970941696390593,24.571428571428573,True
bvar/cbvar,-6,14,3.4388789728750413,23.571428571428573,True
bvar/cbvar,-5,14,3.468287899872019,22.571428571428573,True
bvar/cbvar,-4,14,3.4329294167369855,21.571428571428573,True
bvar/cbvar,-3,14,3.4116247092285215,20.571428571428573,True
bvar/cbvar,-2,14,3.4015862441064266,19.571428571428573,True
bvar/cbvar,-1,14,3.432924476769752,18.571428571428573,True
bvar/cbvar,0,14,3.4399101011501827,17.571428571428573,True
bvar/cbvar,1,14,3.4297096628885146,16.571428571428573,True
bvar/cbvar,2,14,3.429703329445469,15.571428571428571,True
bvar/cbvar,3,14,3.348819506984218,14.571428571428571,True
bvar/cbvar,4,14,3.174954185743303,13.571428571428571,True
bvar/cbvar,5,14,3.0601803129395435,12.571428571428571,True
bvar/cbvar,6,14,2.9955344754311697,11.571428571428571,True
bvar/cbvar,7,14,3.191096373520617,10.571428571428571,True
bvar/cbvar,8,14,2.470138826789584,9.571428571428571,True
bvar/cbvar,9,14,2.3967000738355067,8.571428571428571,True
bvar/cbvar,10,14,2.2785873191248447,7.571428571428571,True
bvar/cbvar,11,14,2.1550603164958195,6.571428571428571,True
bvar/cbvar,12,14,2.055281991484401,5.571428571428571,True
bvar/cbvar,13,14,2.015606883602089,4.571428571428571,True
bvar/cbvar,14,14,1.9807946675967725,3.5714285714285716,True
bvar/cbvar,15,14,1.8945893315014717,2.5714285714285716,True
bvar/cbvar,16,14,1.86845436250695,1.5714285714285714,True
bvar/cbvar,17,14,2.0813409297135093,0.5714285714285714,True
bvar/lbvar,-12,14,4.090376361859722,29.571428571428573,True
bvar/lbvar,-11,14,4.185977054518306,28.571428571428573,True
bvar/lbvar,-10,14,4.123303182530429,27.571428571428573,True
bvar/lbvar,-9,14,4.203465864843474,26.571428571428573,True
bvar/lbvar,-8,14,4.0896987597533,25.571428571428573,True
bvar/lbvar,-7,14,4.168693337225004,24.571428571428573,True
bvar/lbvar,-6,14,4.2388198326997895,23.571428571428573,True
bvar/lbvar,-5,14,4.0798382666198245,22.571428571428573,True
bvar/lbvar,-4,14,3.91481330050607,21.571428571428573,True
bvar/lbvar,-3,14,3.8904424442119514,20.571428571428573,True
bvar/lbvar,-2,14,3.9830620423113565,19.571428571428573,True
bvar/lbvar,-1,14,3.923023926915579,18.571428571428573,True
bvar/lbvar,0,14,3.891592649301653,17.571428571428573,True
bvar/lbvar,1,14,3.8071832479176164,16.571428571428573,True
bvar/lbvar,2,14,3.776700258815729,15.571428571428571,True
bvar/lbvar,3,14,3.614493476592405,14.571428571428571,True
bvar/lbvar,4,14,3.4193352018259286,13.571428571428571,True
bvar/lbvar,5,14,3.4852861955418977,12.571428571428571,True
bvar/lbvar,6,14,3.3559388832553947,11.571428571428571,True
bvar/lbvar,7,14,3.1294128537871804,10.571428571428571,True
bvar/lbvar,8,14,2.960426294650756,9.571428571428571,True
bvar/lbvar,9,14,2.9665441929471887,8.571428571428571,True
bvar/lbvar,10,14,2.741302660984538,7.571428571428571,True
bvar/lbvar,11,14,2.6133754693083544,6.571428571428571,True
bvar/lbvar,12,14,2.409117308082762,5.571428571428571,True
bvar/lbvar,13,14,2.4839969034858336,4.571428571428571,True
bvar/lbvar,14,14,2.587516976295778,3.5714285714285716,True
bvar/lbvar,15,14,2.5467500365788154,2.5714285714285716,True
bvar/lbvar,16,14,2.345406562296839,1.5714285714285714,True
bvar/lbvar,17,14,2.3170152420298247,0.5714285714285714,True
bvar/qbvar,-12,14,3.5501930001640924,29.571428571428573,True
bvar/qbvar,-11,14,3.4380198390003236,28.571428571428573,True
bvar/qbvar,-10,14,3.5389242151579747,27.571428571428573,True
bvar/qbvar,-9,14,3.508050792871798,26.571428571428573,True
bvar/qbvar,-8,14,3.3745504795829593,25.571428571428573,True
bvar/qbvar,-7,14,3.398307798211558,24.571428571428573,True
bvar/qbvar,-6,14,3.4669846722235413,23.571428571428573,True
bvar/qbvar,-5,14,3.4366809885306213,22.571428571428573,True
bvar/qbvar,-4,14,3.4295886675198686,21.571428571428573,True
bvar/qbvar,-3,14,3.4731611143032355,20.571428571428573,True
bvar/qbvar,-2,14,3.4577526883689402,19.571428571428573,True
bvar/qbvar,-1,14,3.437303621372966,18.571428571428573,True
bvar/qbvar,0,14,3.4493867579674933,17.571428571428573,True
bvar/qbvar,1,14,3.4485059219962753,16.571428571428573,True
bvar/qbvar,2,14,3.375126651920811,15.571428571428571,True
bvar/qbvar,3,14,3.31384722844226,14.571428571428571,True
bvar/qbvar,4,14,3.3118463359914254,13.571428571428571,True
bvar/qbvar,5,14,3.2390957073611846,12.571428571428571,True
