metodo,2007-2010,2007-2019,2007-2021,2007-2025,2019-2021,2024-2025
bbvar/-,2.2263748343684275,1.7223230686345306,2.2640815994707375,2.220447870127336,3.893849598406567,1.6337282876297081
cbvar/authors,1.8383075289565816,1.5464428026566714,2.358610225878012,2.398601443979806,4.683066979437884,1.5099800939446697
diag3/gaussian,2.8728590215463576,2.2649278554434424,4.2864511339054,3.9735330944693543,8.50671353540626,2.0824558637484407
diag3/gaussian_ar1,2.52362634192643,2.021224046368703,3.08386218699563,2.929768263132827,5.63097596111811,2.1906766454298023
diag3/student_t,2.9810419274105024,2.264749252333727,4.436763239857902,4.039688364059648,8.861834145184455,1.7787254134861037
diag3/student_t_ar1,2.648538241705921,2.0850249219840613,4.2636245641177375,3.9609620123121116,8.657069347373312,1.8988350379931613
diag3/student_t_ar1_shared,2.6607628084552344,2.0663122666907996,4.134157750312832,3.84049608635776,8.33150319340625,1.9084382810055642
diag4/gaussian,2.290422112787836,1.930958798352939,2.7176030008199783,2.6082519040573335,4.729378724548002,2.1778733708069775
diag4/gaussian_ar1,2.3386447993948014,1.940161026626334,2.998627898196491,2.851321214031984,5.5240565770018275,2.1575632568145044
diag4/student_t,2.233532283518354,1.8946223286530115,2.8939136685590894,2.726700966674675,5.287788788193761,1.9312065435243426
diag4/student_t_ar1,2.330407531922836,1.9504711604739002,2.7318644318297305,2.6358016658866195,4.7376328608415035,2.2215759797246197
diag4/student_t_ar1_shared,2.2807167856105557,1.8996531323171955,2.7346086325957186,2.6500573060997197,4.836231850698711,2.0664651241655574
fed_overlap/gaussian,2.2962838942627792,1.9248905041823943,2.7042496531988447,2.578242694694619,4.719086699225381,2.13788893010543
fed_overlap/gaussian_ar1,2.7067420459322844,2.1088535783576554,3.1186844826489195,2.944368655626881,5.581711561563484,2.1319512250751185
fed_overlap/student_t,2.2329220459682797,1.862520460990907,2.8232378184258513,2.6641926953560167,5.148829323029057,2.0135972009006853
fed_overlap/student_t_ar1,2.444298458575524,1.9912743475424834,2.7950011905354364,2.680422934506259,4.832228922108999,2.219273945776374
fed_overlap/student_t_ar1_shared,2.3161512474004025,1.9279111277583558,2.6713275404926513,2.5739494759605144,4.583444301357832,2.086050973422239
lbvar/-,2.3305774568956643,1.8273079211069505,2.1383422824502474,2.133409290183581,3.183361905478539,1.7323813647809003
nyfed,,1.794961807894202,2.631630691993587,,,
qbvar/-,2.288938388259787,1.8429578339802748,3.1160666897150455,3.0940483273832364,6.382641694412053,2.248870237682124
ar2,3.27400159353218,2.3496044855696043,4.962591374372012,4.47407563040285,10.080200652986962,1.626468190290371
mean,4.008710095762291,2.61974058630106,4.914238488195659,4.429968299122487,9.640672082833659,1.6296430640864468
