metodo,2007-2019,2007-2021,2007-2025,2007-2010,2019-2021,2024-2025
bbvar/-,0.7220426632191338,0.702103467879477,0.698434004474273,0.7297872340425532,0.572289156626506,0.7666666666666667
cbvar/authors,0.6942469295410472,0.6810687890847072,0.6827740492170022,0.7127659574468085,0.572289156626506,0.775
diag3/gaussian,0.7297996121525533,0.7254121660034111,0.72751677852349,0.6978723404255319,0.75,0.8041666666666667
diag3/gaussian_ar1,0.7201034259857789,0.7168845935190449,0.7230425055928411,0.7319148936170212,0.6686746987951807,0.8333333333333334
diag3/student_t,0.7427278603749192,0.7282546901648664,0.7315436241610739,0.7191489361702128,0.7078313253012049,0.8208333333333333
diag3/student_t_ar1,0.7213962508080155,0.7202956225127913,0.7252796420581655,0.7361702127659574,0.6746987951807228,0.8208333333333333
diag3/student_t_ar1_shared,0.7213962508080155,0.7163160886867538,0.7217002237136465,0.725531914893617,0.6746987951807228,0.8208333333333333
diag4/gaussian,0.7601809954751131,0.7549744172825469,0.7498881431767338,0.7808510638297872,0.7289156626506024,0.8
diag4/gaussian_ar1,0.7679379444085327,0.7538374076179648,0.7498881431767338,0.8553191489361702,0.6897590361445783,0.8083333333333333
diag4/student_t,0.7608274078862314,0.7532689027856737,0.7512304250559284,0.7808510638297872,0.7198795180722891,0.8208333333333333
diag4/student_t_ar1,0.7724628312863607,0.7578169414440022,0.7516778523489933,0.825531914893617,0.6867469879518072,0.8041666666666667
diag4/student_t_ar1_shared,0.7588881706528765,0.7527003979533826,0.7449664429530202,0.8212765957446808,0.7259036144578314,0.8166666666666667
fed_overlap/gaussian,0.7776341305753071,0.7646389994314952,0.7610738255033557,0.8276595744680851,0.713855421686747,0.825
fed_overlap/gaussian_ar1,0.7588881706528765,0.7504263786242183,0.7467561521252797,0.8170212765957446,0.7078313253012049,0.8083333333333333
fed_overlap/student_t,0.7905623787976729,0.7686185332575327,0.7615212527964206,0.8531914893617021,0.677710843373494,0.7875
fed_overlap/student_t_ar1,0.7582417582417582,0.748152359295054,0.7436241610738255,0.8170212765957446,0.7108433734939759,0.8083333333333333
fed_overlap/student_t_ar1_shared,0.7601809954751131,0.7521318931210915,0.7485458612975392,0.8468085106382979,0.7198795180722891,0.8166666666666667
lbvar/-,0.7084680025856497,0.6935758953951109,0.6890380313199105,0.7468085106382979,0.5873493975903614,0.7958333333333333
qbvar/-,0.6548157724628313,0.641273450824332,0.6456375838926175,0.6510638297872341,0.5481927710843374,0.7541666666666667
ar2,0.7297996121525533,0.7026719727117681,0.723489932885906,0.723404255319149,0.5542168674698795,0.8208333333333333
mean,0.751131221719457,0.7339397384877772,0.7480984340044743,0.7170212765957447,0.6987951807228916,0.8208333333333333
