window,fase,metodo,n,RMSE,MAE,Bias,corr,MDA,n_dir,SignAcc,RMSE_rel_ar2,RMSE_rel_mean
2007-2019,forecast,bbvar/-,232,2.541130777109357,1.9145466292950288,0.6075313594401769,0.24663860828426254,0.7112068965517241,232,0.8577586206896551,0.982277490461962,0.9348723507364392
2007-2019,forecast,cbvar/authors,232,2.5426021989449548,1.9752670472509286,0.016983317051334712,0.22831504069535855,0.6508620689655172,232,0.7931034482758621,0.9828462705346374,0.9354136812349564
2007-2019,forecast,diag3/gaussian,232,2.573994390473123,1.8163973565649152,0.9875060202195142,0.34341776248301203,0.7801724137931034,232,0.8663793103448276,0.9949809640309979,0.9469627491353859
2007-2019,forecast,diag3/gaussian_ar1,232,2.732089850251408,1.9421314098519522,0.5782933843626402,0.329798997754874,0.7413793103448276,232,0.8706896551724138,1.0560929748268755,1.0051254676601724
2007-2019,forecast,diag3/student_t,232,2.5320955153038427,1.735462192234599,0.9894496221797308,0.3565368817592234,0.8060344827586207,232,0.8663793103448276,0.9787848979626168,0.9315483122730394
2007-2019,forecast,diag3/student_t_ar1,232,2.671044138896708,1.9134456998191582,0.6468999074509368,0.33505414133227623,0.7413793103448276,232,0.8706896551724138,1.032495673698922,0.9826669825673799
2007-2019,forecast,diag3/student_t_ar1_shared,232,2.527185634221173,1.789605246168688,0.6946378315639022,0.32815623532028587,0.7672413793103449,232,0.8706896551724138,0.9768869768828377,0.9297419856916057
2007-2019,forecast,diag4/gaussian,232,2.4598223064421636,1.7250005420548613,0.8237014836729957,0.38723131342683914,0.7887931034482759,232,0.8836206896551724,0.9508475927015942,0.9049592735378338
2007-2019,forecast,diag4/gaussian_ar1,232,2.4588624978397347,1.7706685931690183,0.6971018580278131,0.37640948233402255,0.8103448275862069,232,0.8706896551724138,0.950476577406431,0.9046061636024882
2007-2019,forecast,diag4/student_t,232,2.447000527743331,1.6817596250212172,0.8845334867795053,0.40239937764293365,0.8017241379310345,232,0.8836206896551724,0.9458913170478577,0.9002421899068861
2007-2019,forecast,diag4/student_t_ar1,232,2.4188814363456927,1.7117213277601906,0.7577658321900836,0.39850763897681457,0.8146551724137931,232,0.8879310344827587,0.9350218447715971,0.8898972830991435
2007-2019,forecast,diag4/student_t_ar1_shared,232,2.473351989261958,1.7254519966690895,0.8920569706884186,0.38478157973917,0.8017241379310345,232,0.8836206896551724,0.9560775096372712,0.9099367924032139
2007-2019,forecast,fed_overlap/gaussian,232,2.313354109464342,1.7057945246655497,0.8300683799800569,0.499176237582571,0.7543103448275862,232,0.875,0.8942301158460647,0.8510741807869024
2007-2019,forecast,fed_overlap/gaussian_ar1,232,2.483935997117365,1.767242259925524,0.7889247969560047,0.363655790437269,0.7887931034482759,232,0.875,0.9601687719874384,0.9138306086495595
2007-2019,forecast,fed_overlap/student_t,232,2.2890725495164057,1.6353512932752985,0.8785666241289444,0.5410966222991732,0.7543103448275862,232,0.875,0.884844046468993,0.8421410872080284
2007-2019,forecast,fed_overlap/student_t_ar1,232,2.4520902826283835,1.7085366854745003,0.8241886351077375,0.3774644058893991,0.7758620689655172,232,0.8663793103448276,0.9478587685858076,0.9021146913762808
2007-2019,forecast,fed_overlap/student_t_ar1_shared,232,2.438380061154013,1.703994487379928,0.9601062556262,0.4375933756735988,0.7758620689655172,232,0.8836206896551724,0.942559064192458,0.8970707530263458
