metodo,2007-2019,2007-2021,2007-2025,2007-2010,2019-2021,2024-2025
bbvar/-,2.225867476720481,5.90760002638162,5.509423902949439,3.0413945135178007,12.906422338357755,2.2075040424685795
cbvar/authors,2.2143808039252204,6.098124208644502,5.720904727688508,3.0146866545066455,13.398226657894062,2.08388278675925
diag3/gaussian,2.448226147665979,6.5450321849230395,5.9839415366746636,3.490987734364153,14.297857932260003,2.106590225755535
diag3/gaussian_ar1,2.4677584434008124,6.271599721453425,5.752037009899159,3.6207771764477212,13.614324857874509,2.2855804427096005
diag3/student_t,2.4328690044611063,6.502370966354145,5.934020620559997,3.528191624236937,14.204810377809501,1.8271773604785733
diag3/student_t_ar1,2.4539442644778227,6.431146146646016,5.8716966071154015,3.60614488690053,14.023249532221316,1.9218381724279208
diag3/student_t_ar1_shared,2.3491882629472425,6.240559392980303,5.69424130319139,3.4201852542273343,13.629690174434874,1.8443085372655088
diag4/gaussian,2.2206071616117775,5.497402056074538,5.053016131540031,3.115860855462172,11.890801951122231,2.0869740709994566
diag4/gaussian_ar1,2.2165267671135958,5.639587150038778,5.176633105340497,3.1145422073787836,12.245388546815974,2.1266227347630484
diag4/student_t,2.203527878174117,5.549263301513781,5.08326193168787,3.0930834916377434,12.034359019278096,1.8853274722612732
diag4/student_t_ar1,2.1928065964593464,5.5766201440244005,5.114622066497349,3.064380149615311,12.113824239563083,2.095637812169728
diag4/student_t_ar1_shared,2.2161659986033633,5.5842322126194235,5.111980901291465,3.1027648421632086,12.105741830169888,2.0103788188998557
fed_overlap/gaussian,2.1150241019604925,5.4205565219919025,4.993061462766766,2.8429986613020755,11.785734108830631,2.1052489033770247
fed_overlap/gaussian_ar1,2.245291419559196,5.62391835688215,5.1623077699143325,3.1375045609004135,12.18073718149775,2.097373092464861
fed_overlap/student_t,2.0850357981852725,5.446805850089843,5.007891141893874,2.792932309166655,11.87247894729102,2.068942425828678
fed_overlap/student_t_ar1,2.2063979324608036,5.425377351198428,4.993175697237983,3.1192927431172834,11.720536379220473,2.1149522898731847
fed_overlap/student_t_ar1_shared,2.193612435602504,5.415767200067802,4.977027961844382,3.0564766124115166,11.704347698692445,2.0462709582757768
lbvar/-,2.3701194750904824,5.7301231780766,5.438398715769355,3.507859670352967,12.346121678082989,1.9823022253150828
qbvar/-,2.4237681991013242,6.642592074109986,6.214862818710962,3.2738625511573005,14.577755407017584,2.3224387999359504
ar2,2.5330695362974787,8.051296316216602,7.328800181168785,3.800983542972267,17.931625918999238,1.7006156149248133
mean,2.71495695626803,6.689299811998115,6.105985755803087,4.306903480213524,14.438463567022895,1.7011589247847796
