metodo,2007-2019,2007-2021,2007-2025,2007-2010,2019-2021,2024-2025
bbvar/-,0.8787234005324517,0.7337452000720388,0.7517497771471243,0.8001598741833835,0.7197575053516431,1.2980617272329211
cbvar/authors,0.8741887153883359,0.7574089897004413,0.7806059090529259,0.7931333088985809,0.7471841493022745,1.225369665238186
diag3/gaussian,0.9665057009230339,0.8129165699367312,0.8164967510030209,0.918443264722555,0.7973542386421791,1.2387221470083176
diag3/gaussian_ar1,0.9742166206016871,0.7789552731802228,0.7848538461560066,0.952589543078203,0.7592353821886065,1.3439723960259236
diag3/student_t,0.9604430394031611,0.8076178929419511,0.8096851427068992,0.9282312286671953,0.7921652192598422,1.0744211357599203
diag3/student_t_ar1,0.9687630873587026,0.7987715138110936,0.8011811568014388,0.9487399369481672,0.7820400445317761,1.1300838093932755
diag3/student_t_ar1_shared,0.9274077277724437,0.7750999525891024,0.7769677385696279,0.8998158543861627,0.7600922658103022,1.0844946506898023
diag4/gaussian,0.8766467441148815,0.6827971347920568,0.6894738574703757,0.8197512091898331,0.6631190057630789,1.227187409479199
diag4/gaussian_ar1,0.8750358943376797,0.7004570355558453,0.7063411441673303,0.819404286329347,0.682893375209301,1.2505017101451639
diag4/student_t,0.8699042196034446,0.6892384882589248,0.6936008358843262,0.8137587170974793,0.6711248089626516,1.1086147014736345
diag4/student_t_ar1,0.8656716939814113,0.6926363066270699,0.6978798630148594,0.8062071605864013,0.67555637700026,1.2322818829711728
diag4/student_t_ar1_shared,0.8748934708846071,0.6935817529621763,0.6975194813506588,0.8163057816706383,0.6751056421126539,1.1821476889054305
fed_overlap/gaussian,0.8349648802187909,0.6732526426923366,0.6812931638655321,0.7479639491095841,0.6572596462846796,1.2379334194635752
fed_overlap/gaussian_ar1,0.8863915448768452,0.6985109150131112,0.704386481047578,0.8254454473241337,0.6792879372188887,1.2333022665780877
fed_overlap/student_t,0.823126159115598,0.6765129037816063,0.6833166436658428,0.7347920025411783,0.6620971796378865,1.2165843990090313
fed_overlap/student_t_ar1,0.871037253752551,0.6738514070424718,0.6813087509286792,0.820654103826527,0.6536237389829842,1.2436392276491532
fed_overlap/student_t_ar1_shared,0.8659898215067755,0.6726577916601552,0.6791054250097801,0.80412782056442,0.652720938500688,1.2032530692517753
lbvar/-,0.9356709088037212,0.7117019363124437,0.7420585336387283,0.9228820989869151,0.6885109991616435,1.165638024206148
qbvar/-,0.9568502421153754,0.8250338595451692,0.8480054940889146,0.8613198437047764,0.8129633906522609,1.3656459340687805
ar2,1.0,1.0,1.0,1.0,1.0,1.0
mean,1.0718051428767374,0.8308351288133307,0.8331494384977643,1.1331023750883282,0.8051954481007099,1.0003194783437235
