as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,diag4,gaussian_ar1,1.9786495984925434,1.9593287724342598,-0.5789181741214733,0.8054938381120736,3.4823729200428755,3.423110226166918,-1.503723321550332,2007-01-28,,22,True,True
2007-01-05,2007Q1,1,diag4,gaussian_ar1,3.0082963069326007,2.9639345667084074,-0.08032844900468553,0.9269432599705026,1.2087836914185912,1.2015362468522506,1.7995126155140095,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,diag4,gaussian_ar1,3.096998478434121,3.0500091889740895,-0.03760928244245636,0.958850802874557,2.4695947150627617,2.439593165871891,0.6274037633713592,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,diag4,gaussian_ar1,1.978200473786651,1.9588883609396335,-0.5791367520425797,0.805485057566461,3.4823729200428755,3.423110226166918,-1.5041724462562245,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,diag4,gaussian_ar1,3.0039645521641845,2.959729229850319,-0.08241557388496022,0.9269115018824623,1.2087836914185912,1.2015362468522506,1.7951808607455932,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,diag4,gaussian_ar1,3.0945972700314073,3.047680084924912,-0.0387652257530231,0.9588422683878036,2.4695947150627617,2.439593165871891,0.6250025549686455,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,diag4,gaussian_ar1,2.3307755870870084,2.304027835564092,-0.40784270142017065,0.8003162175017069,3.4823729200428755,3.423110226166918,-1.151597332955867,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,diag4,gaussian_ar1,3.564608512637979,3.5025468799644393,0.1869869166257443,0.9059976820564535,1.2087836914185912,1.2015362468522506,2.3558248212193877,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,diag4,gaussian_ar1,3.060781591479156,3.0148740732241373,-0.05504697571832716,0.957016209196404,2.4695947150627617,2.439593165871891,0.5911868764163941,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,diag4,gaussian_ar1,2.344348930781792,2.317291141250763,-0.40126007172188666,0.8002973052932006,3.4823729200428755,3.423110226166918,-1.1380239892610833,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag4,gaussian_ar1,3.6253284368211514,3.5611596937096652,0.21607668184521395,0.9047185158455188,1.2087836914185912,1.2015362468522506,2.41654474540256,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag4,gaussian_ar1,3.103587268461161,3.0563998498011715,-0.03443757285920465,0.9563177119992902,2.4695947150627617,2.439593165871891,0.6339925533983992,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,diag4,gaussian_ar1,3.755852127378123,3.6870377578973192,0.2784438373281782,0.886190047555695,1.2087836914185912,1.2015362468522506,2.547068435959532,2007-04-28,10.0,11,False,True
2007-02-02,2007Q2,-8,diag4,gaussian_ar1,3.0617927366712427,3.015855183803992,-0.05655582565350759,0.9532378050717731,2.4695947150627617,2.439593165871891,0.592198021608481,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,diag4,gaussian_ar1,3.9308191381500768,3.8555291214490577,0.36254099983482657,0.881265689193472,1.2087836914185912,1.2015362468522506,2.7220354467314856,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,diag4,gaussian_ar1,3.109926987208733,3.0625485435688526,-0.033250304341603226,0.9528772187281814,2.4695947150627617,2.439593165871891,0.6403322721459714,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,diag4,gaussian_ar1,4.14238003014642,4.058881562557535,0.46403797229402327,0.877387796355935,1.2087836914185912,1.2015362468522506,2.9335963387278285,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,diag4,gaussian_ar1,3.3291941798335056,3.2749765696523006,0.0727764607929823,0.95072117729127,2.4695947150627617,2.439593165871891,0.8595994647707439,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,diag4,gaussian_ar1,3.425908925683818,3.368531457973591,0.11947143957764259,0.8319672068203249,1.2087836914185912,1.2015362468522506,2.217125234265227,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,diag4,gaussian_ar1,3.2401843201235403,3.188797421643833,0.02976285070650945,0.9495955604843996,2.4695947150627617,2.439593165871891,0.7705896050607786,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,diag4,gaussian_ar1,3.4751838614412778,3.4161628513367406,0.14324515084474182,0.8243579690289268,1.2087836914185912,1.2015362468522506,2.2664001700226866,2007-04-28,11.0,22,False,True
2007-03-02,2007Q2,-4,diag4,gaussian_ar1,3.3669915264408212,3.3115494235726235,0.09103065005607103,0.9369728564759114,2.4695947150627617,2.439593165871891,0.8973968113780595,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,diag4,gaussian_ar1,3.3269905529255572,3.272843919317263,0.07171201548246398,0.8220858213972775,1.2087836914185912,1.2015362468522506,2.118206861506966,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,diag4,gaussian_ar1,3.2368912769517255,3.1856076794774797,0.02817079126996905,0.9355043021237267,2.4695947150627617,2.439593165871891,0.7672965618889638,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,diag4,gaussian_ar1,3.2749958010348523,3.2225106636637295,0.046589754667688624,0.8215227795965118,1.2087836914185912,1.2015362468522506,2.066212109616261,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,diag4,gaussian_ar1,3.1958925063152455,3.1458864971883513,0.008345212964293653,0.9353272173962296,2.4695947150627617,2.439593165871891,0.7262977912524837,2007-07-28,7.0,0,True,False
