as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,fed_overlap,gaussian_ar1,1.6881495032797122,1.6740586218754139,-0.7204988486127312,0.7854545772600372,3.4823729200428755,3.423110226166918,-1.7942234167631632,2007-01-28,,64,False,True
2007-01-05,2007Q1,1,fed_overlap,gaussian_ar1,2.7580681501897075,2.7207186448516008,-0.20103744781175312,0.9040303546203323,1.2087836914185912,1.2015362468522506,1.5492844587711163,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,fed_overlap,gaussian_ar1,2.878043587759116,2.8374057871716256,-0.14312516963696867,0.9589233209693645,2.4695947150627617,2.439593165871891,0.4084488726963542,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,fed_overlap,gaussian_ar1,1.676888107760388,1.6629835662383974,-0.725995441382936,0.7854282185194927,3.4823729200428755,3.423110226166918,-1.8054848122824874,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,fed_overlap,gaussian_ar1,2.717071489257439,2.680814390207259,-0.22084208309009906,0.903744719131121,1.2087836914185912,1.2015362468522506,1.5082877978388476,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,fed_overlap,gaussian_ar1,2.841493944234741,2.8018723183067515,-0.1607605670981034,0.9587147461386961,2.4695947150627617,2.439593165871891,0.37189922917197915,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,fed_overlap,gaussian_ar1,2.066104726990914,2.0450502938159563,-0.5363742528879974,0.7795672127846988,3.4823729200428755,3.423110226166918,-1.4162681930519616,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,fed_overlap,gaussian_ar1,3.1990971637018806,3.1489918607361846,0.011516198802499107,0.887896475194561,1.2087836914185912,1.2015362468522506,1.9903134722832894,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,fed_overlap,gaussian_ar1,2.6832483301453935,2.647880498529286,-0.23718730038063934,0.9565849469387144,2.4695947150627617,2.439593165871891,0.2136536150826318,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,fed_overlap,gaussian_ar1,2.080543221063391,2.0591955117185528,-0.5293539267601072,0.7795296199520255,3.4823729200428755,3.423110226166918,-1.4018296989794843,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,fed_overlap,gaussian_ar1,3.29334487214612,3.240276281666694,0.05682100850855138,0.8848799382062714,1.2087836914185912,1.2015362468522506,2.084561180727529,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,fed_overlap,gaussian_ar1,2.7755405886403794,2.7377206705543387,-0.19259927696914775,0.953146604172352,2.4695947150627617,2.439593165871891,0.3059458735776177,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,fed_overlap,gaussian_ar1,3.220229071007963,3.169466598024967,0.0201144783448964,0.8681298364361244,1.2087836914185912,1.2015362468522506,2.0114453795893716,2007-04-28,10.0,11,False,True
2007-02-02,2007Q2,-8,fed_overlap,gaussian_ar1,2.4790517675038926,2.4488218703402014,-0.3395726622666488,0.9416600492722933,2.4695947150627617,2.439593165871891,0.00945705244113082,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,fed_overlap,gaussian_ar1,3.5111943495284015,3.450957883513931,0.16061199632421785,0.8572055160619025,1.2087836914185912,1.2015362468522506,2.3024106581098103,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,fed_overlap,gaussian_ar1,2.6242411257789255,2.5903987124068353,-0.2689090362891678,0.9402516299953114,2.4695947150627617,2.439593165871891,0.1546464107161638,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,fed_overlap,gaussian_ar1,3.6900275760548995,3.6235758529160953,0.2467688242967318,0.8542128859849448,1.2087836914185912,1.2015362468522506,2.4812438846363083,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,fed_overlap,gaussian_ar1,2.936305839627762,2.8940221053117607,-0.11736497328379723,0.9375759535211486,2.4695947150627617,2.439593165871891,0.4667111245650002,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,fed_overlap,gaussian_ar1,3.0700986462422364,3.0239140140216367,-0.05253351412287179,0.8091377923456896,1.2087836914185912,1.2015362468522506,1.8613149548236452,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,fed_overlap,gaussian_ar1,2.9364969669574137,2.89420778047336,-0.11727229936918637,0.9341032575520806,2.4695947150627617,2.439593165871891,0.46690225189465195,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,fed_overlap,gaussian_ar1,2.9506360095889583,2.9079425315958574,-0.11041703051273619,0.8001295666210921,1.2087836914185912,1.2015362468522506,1.7418523181703671,2007-04-28,11.0,11,False,True
2007-03-02,2007Q2,-4,fed_overlap,gaussian_ar1,2.9982156505996116,2.954147831089979,-0.08735510912806954,0.9176095355161806,2.4695947150627617,2.439593165871891,0.5286209355368499,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,fed_overlap,gaussian_ar1,2.7525109531955083,2.7153104590348045,-0.20656326832975574,0.7956278818821113,1.2087836914185912,1.2015362468522506,1.543727261776917,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,fed_overlap,gaussian_ar1,2.798468015323752,2.7600264347257233,-0.1842446960596239,0.91290404174308,2.4695947150627617,2.439593165871891,0.32887330026099004,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,fed_overlap,gaussian_ar1,2.746507019728095,2.7094671868592513,-0.20947975377660302,0.7947935378989899,1.2087836914185912,1.2015362468522506,1.5377233283095038,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,fed_overlap,gaussian_ar1,2.789203295261311,2.751013520663654,-0.18874320852078963,0.9121125915207946,2.4695947150627617,2.439593165871891,0.3196085801985493,2007-07-28,7.0,0,True,False
2007-03-23,2007Q1,12,fed_overlap,gaussian_ar1,3.419517742209921,3.3623517869227104,0.11638705121702511,0.7735154314111563,1.2087836914185912,1.2015362468522506,2.21073405079133,2007-04-28,4.0,0,True,False
2007-03-23,2007Q2,-1,fed_overlap,gaussian_ar1,2.955131758644547,2.9123093340463315,-0.1082374784717844,0.9042447008783766,2.4695947150627617,2.439593165871891,0.4855370435817852,2007-07-28,4.0,0,True,False
2007-03-30,2007Q1,13,fed_overlap,gaussian_ar1,3.392567422794479,3.3362891711461633,0.10337871661692208,0.7733825386389225,1.2087836914185912,1.2015362468522506,2.183783731375888,2007-04-28,8.0,0,True,False
2007-03-30,2007Q2,0,fed_overlap,gaussian_ar1,2.8997849429815314,2.85853668884219,-0.1350764023597524,0.9031316289338205,2.4695947150627617,2.439593165871891,0.4301902279187697,2007-07-28,8.0,0,True,False
2007-04-06,2007Q1,14,fed_overlap,gaussian_ar1,3.353697500804076,3.298687599516575,0.0846110752780364,0.7710667362315563,1.2087836914185912,1.2015362468522506,2.1449138093854847,2007-04-28,10.0,11,False,True
2007-04-06,2007Q2,1,fed_overlap,gaussian_ar1,3.234495072895194,3.183286579107117,0.02701228705393142,0.8883499963305593,2.4695947150627617,2.439593165871891,0.764900357832432,2007-07-28,10.0,0,True,False
2007-04-06,2007Q3,-12,fed_overlap,gaussian_ar1,2.5423365659955843,2.5105566981218574,-0.3087596654765806,0.9489207174129639,2.3240880884577653,2.297492443722903,0.21824847753781906,2007-10-28,10.0,0,True,False
2007-04-13,2007Q1,15,fed_overlap,gaussian_ar1,3.3611560014046082,3.305903820777318,0.08821282506067295,0.7710200948826089,1.2087836914185912,1.2015362468522506,2.152372309986017,2007-04-28,6.0,0,True,False
2007-04-13,2007Q2,2,fed_overlap,gaussian_ar1,3.2033563430287293,3.1531189234286066,0.011955050952561387,0.8876815160873713,2.4695947150627617,2.439593165871891,0.7337616279659676,2007-07-28,6.0,0,True,False
