as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,fed_overlap,student_t,2.0457260499420205,2.025082144944789,-0.5462845220836471,0.7495661435835063,3.4823729200428755,3.423110226166918,-1.436646870100855,2007-01-28,,59,True,True
2007-01-05,2007Q1,1,fed_overlap,student_t,2.7148386490414733,2.6786405894432543,-0.22192094878205643,0.8322401234342743,1.2087836914185912,1.2015362468522506,1.506054957622882,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,fed_overlap,student_t,2.7689432426896143,2.7313012854849195,-0.19578524250450788,0.8799128600810635,2.4695947150627617,2.439593165871891,0.2993485276268526,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,fed_overlap,student_t,2.0397228496926934,2.0191991187090297,-0.5492042906639801,0.749538106736257,3.4823729200428755,3.423110226166918,-1.4426500703501821,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,fed_overlap,student_t,2.6873856977833954,2.651909670137148,-0.23518760699258395,0.8320056781801968,1.2087836914185912,1.2015362468522506,1.4786020063648042,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,fed_overlap,student_t,2.746701508914251,2.7096564769944846,-0.20652764432715387,0.8797278013356615,2.4695947150627617,2.439593165871891,0.2771067938514893,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,fed_overlap,student_t,2.416583681486184,2.3878463519341646,-0.36624324890372717,0.7446725767771121,3.4823729200428755,3.423110226166918,-1.0657892385566914,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,fed_overlap,student_t,3.182337659744028,3.13275057041953,0.0034555838621148686,0.8204115953673734,1.2087836914185912,1.2015362468522506,1.9735539683254366,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,fed_overlap,student_t,2.6347015156270803,2.6005910964487695,-0.26065721277677256,0.8781160117010149,2.4695947150627617,2.439593165871891,0.1651068005643186,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,fed_overlap,student_t,2.4208568059542968,2.3920185623060326,-0.36417256482615606,0.7446493840379067,3.4823729200428755,3.423110226166918,-1.0615161140885787,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,fed_overlap,student_t,3.2077926377202637,3.157417426405924,0.015697839496960887,0.8190513725556156,1.2087836914185912,1.2015362468522506,1.9990089463016725,2007-04-28,4.0,0,True,False
