as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,fed_overlap,student_t_ar1_shared,1.4474268784248734,1.4370516516287404,-0.8381263208208044,0.9688316220192172,3.4823729200428755,3.423110226166918,-2.034946041618002,2007-01-28,,43,True,True
2007-01-05,2007Q1,1,fed_overlap,student_t_ar1_shared,2.8030346059062516,2.764468610998777,-0.17932417110210624,0.8527409251387328,1.2087836914185912,1.2015362468522506,1.5942509144876604,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,fed_overlap,student_t_ar1_shared,2.830155616748753,2.790846659182915,-0.1662326441885576,0.9020961300645055,2.4695947150627617,2.439593165871891,0.3605609016859912,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,fed_overlap,student_t_ar1_shared,1.4357707865880975,1.4255612059104736,-0.8438290732882827,0.964731075142557,3.4823729200428755,3.423110226166918,-2.046602133454778,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,fed_overlap,student_t_ar1_shared,2.76673041718023,2.7291480578042373,-0.19685389769597117,0.8462638144234493,1.2087836914185912,1.2015362468522506,1.5579467257616386,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,fed_overlap,student_t_ar1_shared,2.8047106978825953,2.7660989892453833,-0.1785150080986226,0.901787100552179,2.4695947150627617,2.439593165871891,0.33511598281983357,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,fed_overlap,student_t_ar1_shared,1.771288925547787,1.7557844219047187,-0.6799380192766811,0.9654825530780141,3.4823729200428755,3.423110226166918,-1.7110839944950884,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,fed_overlap,student_t_ar1_shared,3.1850683257213186,3.135396982496484,0.004769008369035552,0.8483677927430178,1.2087836914185912,1.2015362468522506,1.9762846343027274,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,fed_overlap,student_t_ar1_shared,2.6649600242110605,2.6300685038406013,-0.24602746195071046,0.9001470323427034,2.4695947150627617,2.439593165871891,0.19536530914829875,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,fed_overlap,student_t_ar1_shared,1.7861541296013916,1.770389836334118,-0.6726892958400097,0.9644935981348327,3.4823729200428755,3.423110226166918,-1.6962187904414838,2007-01-28,4.0,0,True,False
