as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2022-10-28,2022Q4,4,bbvar,-,-1.2891662445984886,-1.297548107992005,,3.0795202153221446,2.789679230383024,2.751476540129348,-4.078845474981513,2023-01-28,6,1000,True,True
2022-10-28,2022Q4,4,benchmark,ar2,2.6013128369281047,2.5680542348274247,-0.0052491216903918,,2.789679230383024,2.751476540129348,-0.1883663934549195,2023-01-28,6,0,True,False
2022-10-28,2022Q4,4,benchmark,mean,2.624716195104404,2.590861632493428,0.0,,2.789679230383024,2.751476540129348,-0.1649630352786202,2023-01-28,6,0,True,False
2022-10-28,2022Q4,4,cbvar,authors,-0.6611943463852465,-0.663389919558922,,5.802039603042974,2.789679230383024,2.751476540129348,-3.450873576768271,2023-01-28,6,1000,True,True
2022-10-28,2022Q4,4,lbvar,-,-3.729788397951373,-3.801124419451744,,3.243413825875535,2.789679230383024,2.751476540129348,-6.519467628334397,2023-01-28,6,250,True,True
2022-10-28,2022Q4,4,qbvar,-,-0.979545603944415,-0.9843747133253156,,4.365379855484197,2.789679230383024,2.751476540129348,-3.76922483432744,2023-01-28,6,1000,True,True
2022-10-28,2023Q1,-9,bbvar,-,-0.6581516180607538,-0.660326985888303,,4.150668231879744,2.926993175212877,2.884974679698935,-3.585144793273632,2023-04-28,6,1000,True,True
2022-10-28,2023Q1,-9,benchmark,ar2,2.6243954138811088,2.590549055039836,-7.193968885022738e-05,,2.926993175212877,2.884974679698935,-0.3025977613317687,2023-04-28,6,0,True,False
2022-10-28,2023Q1,-9,benchmark,mean,2.624716195104404,2.590861632493428,0.0,,2.926993175212877,2.884974679698935,-0.3022769801084735,2023-04-28,6,0,True,False
2022-10-28,2023Q1,-9,cbvar,authors,-2.284022340342412,-2.310510234034717,,6.369225727338809,2.926993175212877,2.884974679698935,-5.21101551555529,2023-04-28,6,1000,True,True
2022-10-28,2023Q1,-9,lbvar,-,-4.88018413544623,-5.0032869430044125,,4.099864302159525,2.926993175212877,2.884974679698935,-7.807177310659108,2023-04-28,6,250,True,True
2022-10-28,2023Q1,-9,qbvar,-,-2.1736932499081707,-2.197665994258277,,4.734301629188044,2.926993175212877,2.884974679698935,-5.100686425121048,2023-04-28,6,1000,True,True
2022-11-04,2022Q4,5,bbvar,-,1.5623070608089096,1.5502286825202376,,3.117867951663738,2.789679230383024,2.751476540129348,-1.2273721695741149,2023-01-28,13,1000,True,False
