as_of,target_quarter,horizon_week,spec,variant,log_score,realizzato_bea,n_draws,reestimated
2008-10-31,2008Q4,5,qbvar,-,-8.583176383312791,-8.472768957225274,1000,True
2008-10-31,2009Q1,-8,qbvar,-,-3.4973605971910673,-4.462803810727223,1000,True
2008-10-31,2008Q4,5,cbvar,authors,-4.898878436338597,-8.472768957225274,1000,True
2008-10-31,2009Q1,-8,cbvar,authors,-3.0239811965740913,-4.462803810727223,1000,True
2008-10-31,2008Q4,5,bbvar,-,-11.360276992548417,-8.472768957225274,1000,True
2008-10-31,2009Q1,-8,bbvar,-,-3.7769381345059045,-4.462803810727223,1000,True
2008-10-31,2008Q4,5,lbvar,-,-4.963767685755711,-8.472768957225274,200,True
2008-10-31,2009Q1,-8,lbvar,-,-3.6229921090086976,-4.462803810727223,200,True
2008-11-07,2008Q4,6,qbvar,-,-9.669989163437513,-8.472768957225274,1000,False
2008-11-07,2009Q1,-7,qbvar,-,-3.635315234949735,-4.462803810727223,1000,False
2008-11-07,2008Q4,6,cbvar,authors,-5.05780249360161,-8.472768957225274,1000,False
2008-11-07,2009Q1,-7,cbvar,authors,-3.0479132276890093,-4.462803810727223,1000,False
2008-11-07,2008Q4,6,bbvar,-,-10.219976282560596,-8.472768957225274,1000,False
2008-11-07,2009Q1,-7,bbvar,-,-3.791101327774217,-4.462803810727223,1000,False
2008-11-07,2008Q4,6,lbvar,-,-5.909551400385052,-8.472768957225274,200,False
2008-11-07,2009Q1,-7,lbvar,-,-3.7715017652569527,-4.462803810727223,200,False
2008-11-14,2008Q4,7,qbvar,-,-6.815364413313921,-8.472768957225274,1000,False
2008-11-14,2009Q1,-6,qbvar,-,-3.4565699532028784,-4.462803810727223,1000,False
2008-11-14,2008Q4,7,cbvar,authors,-5.324787951101593,-8.472768957225274,1000,False
2008-11-14,2009Q1,-6,cbvar,authors,-3.1022755929096206,-4.462803810727223,1000,False
2008-11-14,2008Q4,7,bbvar,-,-6.656785153159534,-8.472768957225274,1000,False
2008-11-14,2009Q1,-6,bbvar,-,-3.931495803892377,-4.462803810727223,1000,False
2008-11-14,2008Q4,7,lbvar,-,-5.305323304880432,-8.472768957225274,200,False
2008-11-14,2009Q1,-6,lbvar,-,-4.110993799338205,-4.462803810727223,200,False
2008-11-21,2008Q4,8,qbvar,-,-10.549935833109263,-8.472768957225274,1000,False
2008-11-21,2009Q1,-5,qbvar,-,-3.5074432357471497,-4.462803810727223,1000,False
