as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,diag3,student_t_ar1,2.77927377633167,2.74135297437872,-0.1907965505906408,0.8670738090106761,3.4823729200428755,3.423110226166918,-0.7030991437112055,2007-01-28,,20,False,True
2007-01-05,2007Q1,1,diag3,student_t_ar1,3.21168130841063,3.161185162672739,0.017567781518289693,0.8910962489466374,1.2087836914185912,1.2015362468522506,2.0028976169920387,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,diag3,student_t_ar1,3.229757431770919,3.17869727023873,0.026259107954299178,0.9094191596558525,2.4695947150627617,2.439593165871891,0.760162716708157,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,diag3,student_t_ar1,2.8030721277055415,2.7645051097194546,-0.17930605664645233,0.8670392982553153,3.4823729200428755,3.423110226166918,-0.679300792337334,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,diag3,student_t_ar1,3.2385452767311307,3.1872098068850243,0.030483912679409284,0.8910381232618805,1.2087836914185912,1.2015362468522506,2.0297615853125395,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,diag3,student_t_ar1,3.250902270813727,3.1991784515243697,0.03642399711328746,0.9093780623416828,2.4695947150627617,2.439593165871891,0.7813075557509652,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,diag3,student_t_ar1,2.823370904249356,2.7842484620922865,-0.1695073548187703,0.8669560446455272,3.4823729200428755,3.423110226166918,-0.6590020157935195,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,diag3,student_t_ar1,3.170502838215561,3.1212800992470573,-0.002237255161350522,0.8902217641308443,1.2087836914185912,1.2015362468522506,1.9617191467969697,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,diag3,student_t_ar1,3.123068550423591,3.075292928334614,-0.02506086521299299,0.9082406144989128,2.4695947150627617,2.439593165871891,0.6534738353608294,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,diag3,student_t_ar1,2.84282613920106,2.803167696550264,-0.1601176658864677,0.866927494269642,3.4823729200428755,3.423110226166918,-0.6395467808418154,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag3,student_t_ar1,3.2452143589745575,3.193669474470994,0.03368987058288867,0.8895942444396264,1.2087836914185912,1.2015362468522506,2.0364306675559662,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag3,student_t_ar1,3.2054328946527155,3.1551310001737214,0.014563077351339831,0.9073761149320416,2.4695947150627617,2.439593165871891,0.7358381795899538,2007-07-28,4.0,0,True,False
