as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,diag4,student_t_ar1_shared,1.8631594948717023,1.8460153000981456,-0.6351560868889508,0.8515870109938881,3.4823729200428755,3.423110226166918,-1.6192134251711732,2007-01-28,,42,True,True
2007-01-05,2007Q1,1,diag4,student_t_ar1_shared,3.007202037094703,2.9628722487306915,-0.08085568150873311,0.8481054347549224,1.2087836914185912,1.2015362468522506,1.7984183456761116,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,diag4,student_t_ar1_shared,3.0899720381402096,3.0431935882801833,-0.04099189131834474,0.8832685088668922,2.4695947150627617,2.439593165871891,0.6203773230774479,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,diag4,student_t_ar1_shared,1.8632962565421796,1.8461495601970446,-0.6350894530847404,0.8478441784065942,3.4823729200428755,3.423110226166918,-1.619076663500696,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,diag4,student_t_ar1_shared,3.0016377428713215,2.957470253136057,-0.08353671272910071,0.8433673202175468,1.2087836914185912,1.2015362468522506,1.7928540514527302,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,diag4,student_t_ar1_shared,3.0885310807744037,3.0417958117476767,-0.04168561319521347,0.883181678913837,2.4695947150627617,2.439593165871891,0.618936365711642,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,diag4,student_t_ar1_shared,2.1941159819480527,2.1703916561939507,-0.4741668519651693,0.8444368721782765,3.4823729200428755,3.423110226166918,-1.2882569380948228,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,diag4,student_t_ar1_shared,3.5207803683876993,3.460218307058855,0.16597908285664897,0.8362371329426378,1.2087836914185912,1.2015362468522506,2.311996676969108,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,diag4,student_t_ar1_shared,3.025768121065764,2.9808946885441387,-0.07191107521267552,0.8817844241377529,2.4695947150627617,2.439593165871891,0.5561734060030021,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,diag4,student_t_ar1_shared,2.212277615627012,2.1881617791407972,-0.46534747150184924,0.8434266585684659,3.4823729200428755,3.423110226166918,-1.2700953044158636,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag4,student_t_ar1_shared,3.581682490174387,3.519031826416935,0.19516845904483163,0.8273037638054326,1.2087836914185912,1.2015362468522506,2.372898798755796,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag4,student_t_ar1_shared,3.0679974905120755,3.021875423611013,-0.05157217855437021,0.8810394074208346,2.4695947150627617,2.439593165871891,0.5984027754493138,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,diag4,student_t_ar1_shared,3.582671421272754,3.519986557363374,0.1950654868768802,0.8403264865033809,1.2087836914185912,1.2015362468522506,2.3738877298541627,2007-04-28,10.0,11,False,True
2007-02-02,2007Q2,-8,diag4,student_t_ar1_shared,2.9705306220131567,2.927265083824469,-0.10077278655530769,0.8770254915487352,2.4695947150627617,2.439593165871891,0.5009359069503949,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,diag4,student_t_ar1_shared,3.7492908648844248,3.680713806209874,0.275287435827635,0.8466154807160383,1.2087836914185912,1.2015362468522506,2.5405071734658335,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,diag4,student_t_ar1_shared,3.024917763729129,2.9800693019816236,-0.07441722255611696,0.8766849895676496,2.4695947150627617,2.439593165871891,0.5553230486663674,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,diag4,student_t_ar1_shared,3.8947807788268785,3.8208477735315687,0.34523089627648557,0.903645862636514,1.2087836914185912,1.2015362468522506,2.6859970874082872,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,diag4,student_t_ar1_shared,3.2453074712958996,3.193759660035468,0.03223959586199599,0.8772379932818468,2.4695947150627617,2.439593165871891,0.7757127562331378,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,diag4,student_t_ar1_shared,3.288636099707154,3.2357175370776194,0.05318154997565152,0.8467318958998505,1.2087836914185912,1.2015362468522506,2.0798524082885628,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,diag4,student_t_ar1_shared,3.170375110193069,3.1211562963207995,-0.003998088658652382,0.8759219815994322,2.4695947150627617,2.439593165871891,0.7007803951303071,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,diag4,student_t_ar1_shared,3.341211370926356,3.286605899042121,0.07858087463902955,0.911509595532259,1.2087836914185912,1.2015362468522506,2.1324276795077646,2007-04-28,11.0,13,False,True
2007-03-02,2007Q2,-4,diag4,student_t_ar1_shared,3.292857704251162,3.239804645237068,0.05522150141186781,0.8640880240769496,2.4695947150627617,2.439593165871891,0.8232629891884002,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,diag4,student_t_ar1_shared,3.2021076256592673,3.1519089580086455,0.011351134784961112,0.8799617661416786,1.2087836914185912,1.2015362468522506,1.993323934240676,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,diag4,student_t_ar1_shared,3.150107371284716,3.1015094452376766,-0.013804196185190082,0.8611642619124865,2.4695947150627617,2.439593165871891,0.6805126562219543,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,diag4,student_t_ar1_shared,3.157891545091207,3.1090556129588203,-0.010037764008667486,0.8628969116110545,1.2087836914185912,1.2015362468522506,1.9491078536726159,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,diag4,student_t_ar1_shared,3.116548969532884,3.068970592237146,-0.030044940819708297,0.8602360174857638,2.4695947150627617,2.439593165871891,0.6469542544701223,2007-07-28,7.0,0,True,False
2007-03-23,2007Q1,12,diag4,student_t_ar1_shared,3.727570060195151,3.6597757558925825,0.2648368668311715,0.8423060540766183,1.2087836914185912,1.2015362468522506,2.51878636877656,2007-04-28,4.0,0,True,False
2007-03-23,2007Q2,-1,diag4,student_t_ar1_shared,3.3142169462440307,3.2604808414468107,0.06554137416983362,0.849186288844825,2.4695947150627617,2.439593165871891,0.844622231181269,2007-07-28,4.0,0,True,False
2007-03-30,2007Q1,13,diag4,student_t_ar1_shared,3.7115284642255775,3.644309437232631,0.25711734052247637,0.8438544055563968,1.2087836914185912,1.2015362468522506,2.5027447728069863,2007-04-28,8.0,0,True,False
2007-03-30,2007Q2,0,diag4,student_t_ar1_shared,3.3128589202829017,3.2591663709637406,0.06488529758825261,0.8494431169314037,2.4695947150627617,2.439593165871891,0.84326420522014,2007-07-28,8.0,0,True,False
2007-04-06,2007Q1,14,diag4,student_t_ar1_shared,3.6796596462383313,3.613576387744433,0.24177790589121603,0.8405202724195029,1.2087836914185912,1.2015362468522506,2.47087595481974,2007-04-28,10.0,11,False,True
2007-04-06,2007Q2,1,diag4,student_t_ar1_shared,3.429849252744721,3.3723411919602717,0.1213729484231485,0.8389075600804238,2.4695947150627617,2.439593165871891,0.9602545376819593,2007-07-28,10.0,0,True,False
2007-04-06,2007Q3,-12,diag4,student_t_ar1_shared,3.0803061509144136,3.033816982381632,-0.047590759064610334,0.870466907923062,2.3240880884577653,2.297492443722903,0.7562180624566484,2007-10-28,10.0,0,True,False
2007-04-13,2007Q1,15,diag4,student_t_ar1_shared,3.6839799478503465,3.6177432721809586,0.2438576751459607,0.8350936480213861,1.2087836914185912,1.2015362468522506,2.4751962564317553,2007-04-28,6.0,0,True,False
2007-04-13,2007Q2,2,diag4,student_t_ar1_shared,3.431209045982553,3.373655884294389,0.12202913573469926,0.8372116509546583,2.4695947150627617,2.439593165871891,0.9616143309197911,2007-07-28,6.0,0,True,False
2007-04-13,2007Q3,-11,diag4,student_t_ar1_shared,3.053257663589659,3.0075733304702514,-0.06068945215508169,0.8703458140993421,2.3240880884577653,2.297492443722903,0.7291695751318938,2007-10-28,6.0,0,True,False
2007-04-20,2007Q1,16,diag4,student_t_ar1_shared,3.695214373473288,3.628577942139735,0.2492654597411001,0.8293030518328182,1.2087836914185912,1.2015362468522506,2.4864306820546966,2007-04-28,7.0,0,True,False
2007-04-20,2007Q2,3,diag4,student_t_ar1_shared,3.3111199441790085,3.257483143185926,0.0640451674060125,0.8082084083276797,2.4695947150627617,2.439593165871891,0.8415252291162467,2007-07-28,7.0,0,True,False
2007-04-20,2007Q3,-10,diag4,student_t_ar1_shared,2.9439988887288493,2.9014954273614944,-0.11363489973205694,0.8678925813004271,2.3240880884577653,2.297492443722903,0.619910800271084,2007-10-28,7.0,0,True,False
2007-04-27,2007Q1,17,diag4,student_t_ar1_shared,3.711717163933659,3.6444913837714665,0.25720815341235653,0.8270696463587662,1.2087836914185912,1.2015362468522506,2.5029334725150676,2007-04-28,4.0,0,True,False
2007-04-27,2007Q2,4,diag4,student_t_ar1_shared,3.3156096565089888,3.2618288658708376,0.06621419814526235,0.8060348101958071,2.4695947150627617,2.439593165871891,0.846014941446227,2007-07-28,4.0,0,True,False
2007-04-27,2007Q3,-9,diag4,student_t_ar1_shared,2.9422329250476276,2.8997799521053857,-0.11449112522841498,0.867806939085621,2.3240880884577653,2.297492443722903,0.6181448365898623,2007-10-28,4.0,0,True,False
2007-05-04,2007Q2,5,diag4,student_t_ar1_shared,3.73440358500281,3.666363493095741,0.2790696088122392,0.8195231775999059,2.4695947150627617,2.439593165871891,1.2648088699400484,2007-07-28,12.0,11,False,True
2007-05-04,2007Q3,-8,diag4,student_t_ar1_shared,3.1525436920953,3.1038713352067573,-0.001815915059619288,0.8572196780713576,2.3240880884577653,2.297492443722903,0.8284556036375346,2007-10-28,12.0,0,True,False
2007-05-11,2007Q2,6,diag4,student_t_ar1_shared,3.4713840169934285,3.412490556128146,0.1522958717975727,0.8007515626332192,2.4695947150627617,2.439593165871891,1.0017893019306667,2007-07-28,7.0,0,True,False
2007-05-11,2007Q3,-7,diag4,student_t_ar1_shared,3.059832590471867,3.0139532521688897,-0.04671731947107338,0.8562068976876495,2.3240880884577653,2.297492443722903,0.7357445020141018,2007-10-28,7.0,0,True,False
2007-05-18,2007Q2,7,diag4,student_t_ar1_shared,4.00647735635169,3.928299348643338,0.40986963682050725,0.7724953235623904,2.4695947150627617,2.439593165871891,1.536882641288928,2007-07-28,11.0,0,True,False
2007-05-18,2007Q3,-6,diag4,student_t_ar1_shared,3.0397080957849543,2.9944243442597798,-0.05646925547900297,0.8538124175599809,2.3240880884577653,2.297492443722903,0.715620007327189,2007-10-28,11.0,0,True,False
2007-05-25,2007Q2,8,diag4,student_t_ar1_shared,3.9871511991402153,3.909715935871227,0.4005898423227294,0.7673946401715368,2.4695947150627617,2.439593165871891,1.5175564840774536,2007-07-28,0.0,0,True,False
2007-05-25,2007Q3,-5,diag4,student_t_ar1_shared,3.008801027205288,2.964424545723956,-0.07144992500408484,0.8519175851845502,2.3240880884577653,2.297492443722903,0.6847129387475226,2007-10-28,0.0,0,True,False
2007-06-01,2007Q2,9,diag4,student_t_ar1_shared,4.374233460839627,4.281265306819626,0.5861263662358293,0.7216654981482132,2.4695947150627617,2.439593165871891,1.9046387457768654,2007-07-28,12.0,12,False,True
2007-06-01,2007Q3,-4,diag4,student_t_ar1_shared,2.853882650710027,2.8139180012922873,-0.1466067231672622,0.8371669252206475,2.3240880884577653,2.297492443722903,0.5297945622522615,2007-10-28,12.0,0,True,False
2007-06-08,2007Q2,10,diag4,student_t_ar1_shared,4.417260452801908,4.322480580262859,0.6067075841430649,0.7041470754258597,2.4695947150627617,2.439593165871891,1.947665737739146,2007-07-28,8.0,0,True,False
