as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,fed_overlap,gaussian_ar1,1.6881495032797122,1.6740586218754145,-0.7204988486127308,0.7854545772600376,3.4823729200428755,3.423110226166918,-1.7942234167631632,2007-01-28,,64,False,True
2007-01-05,2007Q1,1,fed_overlap,gaussian_ar1,2.7580681501897075,2.720718644851594,-0.20103744781175653,0.9040303546203322,1.2087836914185912,1.2015362468522506,1.5492844587711163,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,fed_overlap,gaussian_ar1,2.8780435877590937,2.8374057871716154,-0.14312516963697386,0.9589233209693647,2.4695947150627617,2.439593165871891,0.408448872696332,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,fed_overlap,gaussian_ar1,1.676888107760388,1.662983566238399,-0.7259954413829353,0.7854282185194933,3.4823729200428755,3.423110226166918,-1.8054848122824874,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,fed_overlap,gaussian_ar1,2.717071489257439,2.6808143902072525,-0.22084208309010236,0.903744719131121,1.2087836914185912,1.2015362468522506,1.5082877978388476,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,fed_overlap,gaussian_ar1,2.8414939442347187,2.801872318306742,-0.16076056709810818,0.9587147461386966,2.4695947150627617,2.439593165871891,0.37189922917195695,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,fed_overlap,gaussian_ar1,2.066104726990914,2.0450502938159563,-0.5363742528879974,0.7795672127846992,3.4823729200428755,3.423110226166918,-1.4162681930519616,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,fed_overlap,gaussian_ar1,3.1990971637018584,3.148991860736176,0.011516198802494885,0.887896475194561,1.2087836914185912,1.2015362468522506,1.9903134722832672,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,fed_overlap,gaussian_ar1,2.6832483301453713,2.6478804985292768,-0.237187300380644,0.9565849469387147,2.4695947150627617,2.439593165871891,0.2136536150826096,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,fed_overlap,gaussian_ar1,2.080543221063391,2.0591955117185536,-0.5293539267601066,0.779529619952026,3.4823729200428755,3.423110226166918,-1.4018296989794843,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,fed_overlap,gaussian_ar1,3.29334487214612,3.2402762816666906,0.056821008508549736,0.8848799382062714,1.2087836914185912,1.2015362468522506,2.084561180727529,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,fed_overlap,gaussian_ar1,2.7755405886403794,2.7377206705543324,-0.19259927696915077,0.9531466041723524,2.4695947150627617,2.439593165871891,0.3059458735776177,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,fed_overlap,gaussian_ar1,3.220229071007963,3.1694665980249614,0.02011447834489362,0.8681298364361251,1.2087836914185912,1.2015362468522506,2.0114453795893716,2007-04-28,10.0,11,False,True
2007-02-02,2007Q2,-8,fed_overlap,gaussian_ar1,2.4790517675038926,2.448821870340197,-0.33957266226665084,0.9416600492722937,2.4695947150627617,2.439593165871891,0.00945705244113082,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,fed_overlap,gaussian_ar1,3.5111943495284015,3.450957883513924,0.16061199632421422,0.8572055160619035,1.2087836914185912,1.2015362468522506,2.3024106581098103,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,fed_overlap,gaussian_ar1,2.6242411257789033,2.59039871240683,-0.26890903628917046,0.9402516299953118,2.4695947150627617,2.439593165871891,0.1546464107161416,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,fed_overlap,gaussian_ar1,3.6900275760548773,3.623575852916084,0.24676882429672647,0.8542128859849459,1.2087836914185912,1.2015362468522506,2.481243884636286,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,fed_overlap,gaussian_ar1,2.936305839627762,2.894022105311755,-0.11736497328380001,0.9375759535211491,2.4695947150627617,2.439593165871891,0.4667111245650002,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,fed_overlap,gaussian_ar1,3.0700986462422364,3.023914014021635,-0.05253351412287257,0.8091377923456909,1.2087836914185912,1.2015362468522506,1.8613149548236452,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,fed_overlap,gaussian_ar1,2.9364969669573915,2.8942077804733533,-0.11727229936918955,0.934103257552081,2.4695947150627617,2.439593165871891,0.46690225189462975,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,fed_overlap,gaussian_ar1,2.9506360095889805,2.9079425315958605,-0.11041703051273477,0.800129566621093,1.2087836914185912,1.2015362468522506,1.7418523181703893,2007-04-28,11.0,11,False,True
2007-03-02,2007Q2,-4,fed_overlap,gaussian_ar1,2.9982156505996116,2.954147831089972,-0.08735510912807298,0.9176095355161816,2.4695947150627617,2.439593165871891,0.5286209355368499,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,fed_overlap,gaussian_ar1,2.7525109531955083,2.715310459034808,-0.206563268329754,0.7956278818821125,1.2087836914185912,1.2015362468522506,1.543727261776917,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,fed_overlap,gaussian_ar1,2.798468015323752,2.7600264347257166,-0.1842446960596272,0.912904041743081,2.4695947150627617,2.439593165871891,0.32887330026099004,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,fed_overlap,gaussian_ar1,2.746507019728095,2.7094671868592526,-0.20947975377660236,0.7947935378989911,1.2087836914185912,1.2015362468522506,1.5377233283095038,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,fed_overlap,gaussian_ar1,2.789203295261311,2.751013520663647,-0.1887432085207933,0.9121125915207957,2.4695947150627617,2.439593165871891,0.3196085801985493,2007-07-28,7.0,0,True,False
2007-03-23,2007Q1,12,fed_overlap,gaussian_ar1,3.419517742209943,3.3623517869227184,0.11638705121702915,0.7735154314111574,1.2087836914185912,1.2015362468522506,2.210734050791352,2007-04-28,4.0,0,True,False
2007-03-23,2007Q2,-1,fed_overlap,gaussian_ar1,2.9551317586445247,2.9123093340463253,-0.10823747847178758,0.9042447008783776,2.4695947150627617,2.439593165871891,0.485537043581763,2007-07-28,4.0,0,True,False
2007-03-30,2007Q1,13,fed_overlap,gaussian_ar1,3.392567422794479,3.3362891711461713,0.10337871661692614,0.7733825386389237,1.2087836914185912,1.2015362468522506,2.183783731375888,2007-04-28,8.0,0,True,False
2007-03-30,2007Q2,0,fed_overlap,gaussian_ar1,2.8997849429815314,2.8585366888421833,-0.13507640235975565,0.9031316289338214,2.4695947150627617,2.439593165871891,0.4301902279187697,2007-07-28,8.0,0,True,False
2007-04-06,2007Q1,14,fed_overlap,gaussian_ar1,3.353697500804076,3.2986875995165694,0.0846110752780334,0.7710667362315566,1.2087836914185912,1.2015362468522506,2.1449138093854847,2007-04-28,10.0,11,False,True
2007-04-06,2007Q2,1,fed_overlap,gaussian_ar1,3.234495072895194,3.1832865791071128,0.027012287053929166,0.8883499963305594,2.4695947150627617,2.439593165871891,0.764900357832432,2007-07-28,10.0,0,True,False
