as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,fed_overlap,student_t,2.0457260499420205,2.0250821449447844,-0.5462845220836494,0.7495661435835063,3.4823729200428755,3.423110226166918,-1.436646870100855,2007-01-28,,59,True,True
2007-01-05,2007Q1,1,fed_overlap,student_t,2.7148386490414955,2.67864058944326,-0.22192094878205354,0.8322401234342756,1.2087836914185912,1.2015362468522506,1.5060549576229043,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,fed_overlap,student_t,2.7689432426896143,2.7313012854849257,-0.19578524250450471,0.8799128600810645,2.4695947150627617,2.439593165871891,0.2993485276268526,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,fed_overlap,student_t,2.0397228496926934,2.019199118709024,-0.5492042906639829,0.749538106736257,3.4823729200428755,3.423110226166918,-1.4426500703501821,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,fed_overlap,student_t,2.6873856977833954,2.6519096701371523,-0.23518760699258173,0.8320056781801979,1.2087836914185912,1.2015362468522506,1.4786020063648042,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,fed_overlap,student_t,2.7467015089142732,2.70965647699449,-0.2065276443271512,0.8797278013356624,2.4695947150627617,2.439593165871891,0.2771067938515115,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,fed_overlap,student_t,2.416583681486184,2.3878463519341593,-0.36624324890372983,0.744672576777112,3.4823729200428755,3.423110226166918,-1.0657892385566914,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,fed_overlap,student_t,3.18233765974405,3.132750570419537,0.0034555838621183658,0.8204115953673743,1.2087836914185912,1.2015362468522506,1.9735539683254588,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,fed_overlap,student_t,2.6347015156270803,2.600591096448777,-0.26065721277676884,0.8781160117010158,2.4695947150627617,2.439593165871891,0.1651068005643186,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,fed_overlap,student_t,2.4208568059542968,2.3920185623060273,-0.36417256482615884,0.7446493840379065,3.4823729200428755,3.423110226166918,-1.0615161140885787,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,fed_overlap,student_t,3.207792637720286,3.1574174264059307,0.015697839496964027,0.8190513725556163,1.2087836914185912,1.2015362468522506,1.9990089463016947,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,fed_overlap,student_t,2.659818388080848,2.625060208036228,-0.24851309844876604,0.8762237612037523,2.4695947150627617,2.439593165871891,0.19022367301808618,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,fed_overlap,student_t,3.0293911014116937,2.984411203597654,-0.07225009898316864,0.8157681554004904,1.2087836914185912,1.2015362468522506,1.8206074099931024,2007-04-28,10.0,3,True,True
2007-02-02,2007Q2,-8,fed_overlap,student_t,2.384578375673696,2.3565913475664733,-0.38560662565963655,0.870764401527812,2.4695947150627617,2.439593165871891,-0.08501633938906572,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,fed_overlap,student_t,3.271582897937808,3.2192059339326815,0.04494030280633462,0.8054292632753179,1.2087836914185912,1.2015362468522506,2.062799206519217,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,fed_overlap,student_t,2.51040783843135,2.479414732268115,-0.3243031978450781,0.8694663704645931,2.4695947150627617,2.439593165871891,0.04081312336858822,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,fed_overlap,student_t,3.3499924623397126,3.295102720634711,0.08282179578299431,0.8031332135423197,1.2087836914185912,1.2015362468522506,2.1412087709211214,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,fed_overlap,student_t,2.7614123551077174,2.7239730369998094,-0.20223961510805324,0.8679338465320307,2.4695947150627617,2.439593165871891,0.2918176400449557,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,fed_overlap,student_t,2.9242256419982793,2.8822858122434436,-0.12322277468433503,0.7713596239883957,1.2087836914185912,1.2015362468522506,1.715441950579688,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,fed_overlap,student_t,2.783054684905628,2.745031575027684,-0.19172890846201915,0.8658668182638131,2.4695947150627617,2.439593165871891,0.3134599698428664,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,fed_overlap,student_t,3.001697255184621,2.9575280311456096,-0.08566798862888692,0.7700053713086114,1.2087836914185912,1.2015362468522506,1.7929135637660298,2007-04-28,11.0,3,True,True
2007-03-02,2007Q2,-4,fed_overlap,student_t,2.919751299128781,2.877938497411413,-0.12539260009372225,0.8577306534000818,2.4695947150627617,2.439593165871891,0.4501565840660193,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,fed_overlap,student_t,2.807092380167542,2.768415667810907,-0.18005747433383967,0.7660957777963268,1.2087836914185912,1.2015362468522506,1.5983086887489506,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,fed_overlap,student_t,2.692465836278868,2.6568567362281463,-0.2357386048120949,0.8530998196400774,2.4695947150627617,2.439593165871891,0.22287112121610608,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,fed_overlap,student_t,2.812315409236543,2.7734959558306946,-0.17752180842091328,0.7648507935411984,1.2087836914185912,1.2015362468522506,1.603531717817952,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,fed_overlap,student_t,2.6892330267501485,2.653708637301244,-0.23730987933597533,0.8527849385570526,2.4695947150627617,2.439593165871891,0.2196383116873868,2007-07-28,7.0,0,True,False
2007-03-23,2007Q1,12,fed_overlap,student_t,3.4437156420335846,3.3857468577027143,0.12806396466687311,0.7492382912844453,1.2087836914185912,1.2015362468522506,2.2349319506149934,2007-04-28,4.0,0,True,False
2007-03-23,2007Q2,-1,fed_overlap,student_t,2.8704414569526326,2.8300160551808435,-0.1493115792450906,0.8468948735492797,2.4695947150627617,2.439593165871891,0.4008467418898709,2007-07-28,4.0,0,True,False
2007-03-30,2007Q1,13,fed_overlap,student_t,3.440021868230825,3.3821759885299043,0.1262816776772876,0.7491439161205533,1.2087836914185912,1.2015362468522506,2.2312381768122336,2007-04-28,8.0,0,True,False
2007-03-30,2007Q2,0,fed_overlap,student_t,2.843444865105904,2.803769317554736,-0.16241181247297573,0.8465869766008259,2.4695947150627617,2.439593165871891,0.37385015004314237,2007-07-28,8.0,0,True,False
2007-04-06,2007Q1,14,fed_overlap,student_t,3.495802699780981,3.4360872269707468,0.15318977601849437,0.7475810304147348,1.2087836914185912,1.2015362468522506,2.28701900836239,2007-04-28,10.0,3,True,True
2007-04-06,2007Q2,1,fed_overlap,student_t,3.0107883214156583,2.96635377412085,-0.08126289672634095,0.8326427690843984,2.4695947150627617,2.439593165871891,0.5411936063528966,2007-07-28,10.0,0,True,False
2007-04-06,2007Q3,-12,fed_overlap,student_t,2.650238439010244,2.615728030912893,-0.2562667039483027,0.8791228853968203,2.3240880884577653,2.297492443722903,0.32615035055247876,2007-10-28,10.0,0,True,False
2007-04-13,2007Q1,15,fed_overlap,student_t,3.5149807865647587,3.4546158142410888,0.16243773734924896,0.7475550879429267,1.2087836914185912,1.2015362468522506,2.3061970951461674,2007-04-28,6.0,0,True,False
2007-04-13,2007Q2,2,fed_overlap,student_t,3.0253721261606303,2.9805103228913583,-0.07419710084582301,0.8325128520141657,2.4695947150627617,2.439593165871891,0.5557774110978686,2007-07-28,6.0,0,True,False
2007-04-13,2007Q3,-11,fed_overlap,student_t,2.630509422297189,2.5965065335446895,-0.2658605095518674,0.8790150831879213,2.3240880884577653,2.297492443722903,0.30642133383942394,2007-10-28,6.0,0,True,False
2007-04-20,2007Q1,16,fed_overlap,student_t,3.541551840888979,3.4802813212723374,0.17524786761423222,0.742441671105178,1.2087836914185912,1.2015362468522506,2.332768149470388,2007-04-28,7.0,0,True,False
2007-04-20,2007Q2,3,fed_overlap,student_t,2.954482131618974,2.911678351341542,-0.10855241363489918,0.8200086769817914,2.4695947150627617,2.439593165871891,0.48488741655621226,2007-07-28,7.0,0,True,False
2007-04-20,2007Q3,-10,fed_overlap,student_t,2.514901481174614,2.483798232782182,-0.3221153114910911,0.8759992328132602,2.3240880884577653,2.297492443722903,0.19081339271684872,2007-10-28,7.0,0,True,False
2007-04-27,2007Q1,17,fed_overlap,student_t,3.5460969231369432,3.484670846457269,0.17743876099311393,0.7424328562737774,1.2087836914185912,1.2015362468522506,2.337313231718352,2007-04-28,4.0,0,True,False
2007-04-27,2007Q2,4,fed_overlap,student_t,2.971208438891537,2.927923344633075,-0.10044423638498344,0.8198770612137216,2.4695947150627617,2.439593165871891,0.5016137238287754,2007-07-28,4.0,0,True,False
2007-04-27,2007Q3,-9,fed_overlap,student_t,2.5293741165766326,2.497914828218813,-0.3150694570600396,0.875812338023129,2.3240880884577653,2.297492443722903,0.20528602811886731,2007-10-28,4.0,0,True,False
2007-05-04,2007Q2,5,fed_overlap,student_t,3.237548183073513,3.1862439869289143,0.039317610283250835,0.8201809294615661,2.4695947150627617,2.439593165871891,0.7679534680107514,2007-07-28,12.0,5,True,True
2007-05-04,2007Q3,-8,fed_overlap,student_t,2.7489895191456393,2.7118832976348757,-0.1975586711863816,0.8743633450113782,2.3240880884577653,2.297492443722903,0.424901430687874,2007-10-28,12.0,0,True,False
2007-05-11,2007Q2,6,fed_overlap,student_t,2.8982836630538023,2.857077705346442,-0.1250545363262888,0.8102336810859576,2.4695947150627617,2.439593165871891,0.4286889479910405,2007-07-28,7.0,0,True,False
