as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,fed_overlap,student_t_ar1_shared,1.4474268784248734,1.4370516516287384,-0.8381263208208054,0.9688316220192188,3.4823729200428755,3.423110226166918,-2.034946041618002,2007-01-28,,43,True,True
2007-01-05,2007Q1,1,fed_overlap,student_t_ar1_shared,2.8030346059062516,2.764468610998774,-0.1793241711021076,0.8527409251387347,1.2087836914185912,1.2015362468522506,1.5942509144876604,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,fed_overlap,student_t_ar1_shared,2.830155616748753,2.7908466591829146,-0.1662326441885579,0.9020961300645076,2.4695947150627617,2.439593165871891,0.3605609016859912,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,fed_overlap,student_t_ar1_shared,1.4357707865880975,1.4255612059104719,-0.8438290732882836,0.9647310751425583,3.4823729200428755,3.423110226166918,-2.046602133454778,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,fed_overlap,student_t_ar1_shared,2.76673041718023,2.7291480578042338,-0.19685389769597286,0.8462638144234511,1.2087836914185912,1.2015362468522506,1.5579467257616386,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,fed_overlap,student_t_ar1_shared,2.8047106978825953,2.7660989892453816,-0.17851500809862345,0.9017871005521809,2.4695947150627617,2.439593165871891,0.33511598281983357,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,fed_overlap,student_t_ar1_shared,1.7712889255477648,1.7557844219047143,-0.6799380192766833,0.9654825530780156,3.4823729200428755,3.423110226166918,-1.7110839944951106,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,fed_overlap,student_t_ar1_shared,3.1850683257213186,3.135396982496482,0.004769008369034673,0.8483677927430199,1.2087836914185912,1.2015362468522506,1.9762846343027274,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,fed_overlap,student_t_ar1_shared,2.6649600242110383,2.6300685038406,-0.24602746195071104,0.9001470323427057,2.4695947150627617,2.439593165871891,0.19536530914827654,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,fed_overlap,student_t_ar1_shared,1.7861541296013916,1.7703898363341162,-0.6726892958400106,0.9644935981348337,3.4823729200428755,3.423110226166918,-1.6962187904414838,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,fed_overlap,student_t_ar1_shared,3.2652376605606603,3.2130615211718285,0.04331421805244204,0.8423215455957005,1.2087836914185912,1.2015362468522506,2.056453969142069,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,fed_overlap,student_t_ar1_shared,2.747136304851505,2.7100796487468557,-0.2063176225565305,0.897942731800173,2.4695947150627617,2.439593165871891,0.27754158978874344,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,fed_overlap,student_t_ar1_shared,3.2503451322106303,3.1986388532312686,0.03467489162101328,0.8328219132270244,1.2087836914185912,1.2015362468522506,2.041561440792039,2007-04-28,10.0,11,False,True
2007-02-02,2007Q2,-8,fed_overlap,student_t_ar1_shared,2.483096803265483,2.452768975491401,-0.3376025889267809,0.8911012019992492,2.4695947150627617,2.439593165871891,0.013502088202721474,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,fed_overlap,student_t_ar1_shared,3.5301300508066458,3.4692495954568234,0.16974172878859933,0.8452552807016722,1.2087836914185912,1.2015362468522506,2.3213463593880546,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,fed_overlap,student_t_ar1_shared,2.607459603476525,2.574044979255306,-0.27707148761868183,0.8907181852538082,2.4695947150627617,2.439593165871891,0.13786488841376343,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,fed_overlap,student_t_ar1_shared,3.6452708765556174,3.5804025963326724,0.22522025172718022,0.9177881613386873,1.2087836914185912,1.2015362468522506,2.4364871851370262,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,fed_overlap,student_t_ar1_shared,2.9102681367522365,2.8687239402644447,-0.1299917563559804,0.8913695236334169,2.4695947150627617,2.439593165871891,0.44067342168947476,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,fed_overlap,student_t_ar1_shared,3.062019438543251,3.0160751505022656,-0.056446036197355075,0.8618620088677366,1.2087836914185912,1.2015362468522506,1.8532357471246597,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,fed_overlap,student_t_ar1_shared,2.886816609316245,2.845933017286656,-0.14136712843996885,0.8885454249459032,2.4695947150627617,2.439593165871891,0.4172218942534833,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,fed_overlap,student_t_ar1_shared,3.0932444111550383,3.0463678262918403,-0.04132640024132694,0.8516816775640441,1.2087836914185912,1.2015362468522506,1.8844607197364471,2007-04-28,11.0,14,True,True
2007-03-02,2007Q2,-4,fed_overlap,student_t_ar1_shared,3.051176524769428,3.005553831153301,-0.06169742169523845,0.8774104257963294,2.4695947150627617,2.439593165871891,0.5815818097066661,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,fed_overlap,student_t_ar1_shared,2.879288227442278,2.838615600374581,-0.14501938684782906,0.8323509800346803,1.2087836914185912,1.2015362468522506,1.670504536023687,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,fed_overlap,student_t_ar1_shared,2.815178065528512,2.7762802686127657,-0.17613210630463072,0.871980281830744,2.4695947150627617,2.439593165871891,0.34558335046575017,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,fed_overlap,student_t_ar1_shared,2.834853469766019,2.7954151106068696,-0.16658155200442126,0.8227392618523715,1.2087836914185912,1.2015362468522506,1.6260697783474276,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,fed_overlap,student_t_ar1_shared,2.7881049259336654,2.749944950073692,-0.18927655190800896,0.8710579348752621,2.4695947150627617,2.439593165871891,0.3185102108709037,2007-07-28,7.0,0,True,False
2007-03-23,2007Q1,12,fed_overlap,student_t_ar1_shared,3.4658622810757045,3.407153927736872,0.13874863009722302,0.7992285093972255,1.2087836914185912,1.2015362468522506,2.2570785896571133,2007-04-28,4.0,0,True,False
2007-03-23,2007Q2,-1,fed_overlap,student_t_ar1_shared,2.943488582016651,2.900999713203779,-0.11388231985614808,0.8584621113915828,2.4695947150627617,2.439593165871891,0.47389386695388946,2007-07-28,4.0,0,True,False
