as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,diag3,student_t_ar1_shared,2.70850717791582,2.6724762743775363,-0.22498032209213212,0.9604307171841441,3.4823729200428755,3.423110226166918,-0.7738657421270556,2007-01-28,,42,True,True
2007-01-05,2007Q1,1,diag3,student_t_ar1_shared,3.182474131334745,3.1328828328818443,0.003521226231593925,0.8489613824311305,1.2087836914185912,1.2015362468522506,1.9736904399161537,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,diag3,student_t_ar1_shared,3.2095036747465056,3.159075269093382,0.016520633208223084,0.8673701875431109,2.4695947150627617,2.439593165871891,0.7399089596837438,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,diag3,student_t_ar1_shared,2.7341775034337212,2.6974665296317437,-0.2125775621550402,0.9577514902234219,3.4823729200428755,3.423110226166918,-0.7481954166091542,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,diag3,student_t_ar1_shared,3.2077066238868523,3.1573340859264403,0.015656477295992382,0.8435678968522942,1.2087836914185912,1.2015362468522506,1.9989229324682611,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,diag3,student_t_ar1_shared,3.229248828483766,3.178204578448373,0.026014583121054397,0.86721889202585,2.4695947150627617,2.439593165871891,0.7596541134210044,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,diag3,student_t_ar1_shared,2.7573247717969984,2.7199952164191665,-0.201396488129184,0.964326729509685,3.4823729200428755,3.423110226166918,-0.725048148245877,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,diag3,student_t_ar1_shared,3.161160262821361,3.1122242177985373,-0.006731724004594653,0.8681679545005109,1.2087836914185912,1.2015362468522506,1.9523765714027697,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,diag3,student_t_ar1_shared,3.1370618006046014,3.0888614742078975,-0.018326743634406107,0.8663803430337598,2.4695947150627617,2.439593165871891,0.6674670855418396,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,diag3,student_t_ar1_shared,2.7741513986677235,2.7363689876992003,-0.1932701223764005,0.9646783115624713,3.4823729200428755,3.423110226166918,-0.7082215213751519,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag3,student_t_ar1_shared,3.219626981625945,3.168883290718391,0.02138839211806107,0.8628273341284006,1.2087836914185912,1.2015362468522506,2.0108432902073536,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag3,student_t_ar1_shared,3.201471812574974,3.151292870743065,0.012658198931664524,0.8655734336879627,2.4695947150627617,2.439593165871891,0.7318770975122124,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,diag3,student_t_ar1_shared,3.3157995691878828,3.2620126836937,0.0663059450276841,0.8694694575112418,1.2087836914185912,1.2015362468522506,2.1070158777692916,2007-04-28,10.0,10,True,True
2007-02-02,2007Q2,-8,diag3,student_t_ar1_shared,3.237918871856449,3.1866030501999387,0.028667599246570787,0.8615717407294751,2.4695947150627617,2.439593165871891,0.7683241567936872,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,diag3,student_t_ar1_shared,3.3347400814455863,3.280343642173434,0.07545526616603121,0.8816801698644917,1.2087836914185912,1.2015362468522506,2.125956390026995,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,diag3,student_t_ar1_shared,3.275366834352589,3.222869930346195,0.04676907132785242,0.8609948652786333,2.4695947150627617,2.439593165871891,0.8057721192898271,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,diag3,student_t_ar1_shared,3.3934161086124126,3.3371100061016548,0.10378841055724027,0.9364927220254611,1.2087836914185912,1.2015362468522506,2.1846324171938214,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,diag3,student_t_ar1_shared,3.420003697525553,3.3628216732502842,0.11662158019237834,0.8615318682296788,2.4695947150627617,2.439593165871891,0.9504089824627915,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,diag3,student_t_ar1_shared,3.3378120485470397,3.2833164289029932,0.0769390391228366,0.9227023299898066,1.2087836914185912,1.2015362468522506,2.1290283571284485,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,diag3,student_t_ar1_shared,3.3335440229548485,3.2791861752733467,0.07487755298275095,0.8605065661067437,2.4695947150627617,2.439593165871891,0.8639493078920868,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,diag3,student_t_ar1_shared,3.3711669334643313,3.3155887427338198,0.09304674911749866,1.0024052459481123,1.2087836914185912,1.2015362468522506,2.16238324204574,2007-04-28,11.0,4,True,True
2007-03-02,2007Q2,-4,diag3,student_t_ar1_shared,3.43087191851843,3.3733299401072694,0.12186645094958906,0.8562306436588195,2.4695947150627617,2.439593165871891,0.9612772034556682,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,diag3,student_t_ar1_shared,3.3374612142112348,3.2829769259423687,0.0767695869025609,0.9691333696360558,1.2087836914185912,1.2015362468522506,2.1286775227926436,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,diag3,student_t_ar1_shared,3.3547231123493004,3.29967992633344,0.0851063639849377,0.8540085713011768,2.4695947150627617,2.439593165871891,0.8851283972865387,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,diag3,student_t_ar1_shared,3.3298329822797568,3.275594788420693,0.07308502523886379,0.9515343318028406,1.2087836914185912,1.2015362468522506,2.1210492908611656,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,diag3,student_t_ar1_shared,3.334829725465882,3.2804303932325114,0.07549856522753241,0.8528847434495478,2.4695947150627617,2.439593165871891,0.8652350104031203,2007-07-28,7.0,0,True,False
2007-03-23,2007Q1,12,diag3,student_t_ar1_shared,3.343631066449615,3.2889473339483697,0.07974952819882489,0.9530215116196742,1.2087836914185912,1.2015362468522506,2.1348473750310237,2007-04-28,4.0,0,True,False
2007-03-23,2007Q2,-1,diag3,student_t_ar1_shared,3.287502800616493,3.2346203153977933,0.05263390629843834,0.8473098593078818,2.4695947150627617,2.439593165871891,0.8179080855537313,2007-07-28,4.0,0,True,False
2007-03-30,2007Q1,13,diag3,student_t_ar1_shared,3.3524088094957882,3.2974407168469653,0.08398873302688166,0.950421496963787,1.2087836914185912,1.2015362468522506,2.143625118077197,2007-04-28,8.0,0,True,False
2007-03-30,2007Q2,0,diag3,student_t_ar1_shared,3.3023308799624562,3.2489754064564935,0.059798798314939394,0.8469027663361429,2.4695947150627617,2.439593165871891,0.8327361648996945,2007-07-28,8.0,0,True,False
2007-04-06,2007Q1,14,diag3,student_t_ar1_shared,3.3051214867588774,3.2516767676751863,0.0611470977684471,0.9511734596395447,1.2087836914185912,1.2015362468522506,2.096337795340286,2007-04-28,10.0,2,True,True
2007-04-06,2007Q2,1,diag3,student_t_ar1_shared,3.286311207152326,3.233466642101982,0.052058086573366094,0.8552022247620036,2.4695947150627617,2.439593165871891,0.8167164920895642,2007-07-28,10.0,0,True,False
2007-04-06,2007Q3,-12,diag3,student_t_ar1_shared,3.2655326731810375,3.213347205111215,0.042016102661025914,0.8645876382510448,2.3240880884577653,2.297492443722903,0.9414445847232722,2007-10-28,10.0,0,True,False
2007-04-13,2007Q1,15,diag3,student_t_ar1_shared,3.3167018878921706,3.262886039722343,0.06674185320908152,0.9456018870390355,1.2087836914185912,1.2015362468522506,2.1079181964735794,2007-04-28,6.0,0,True,False
2007-04-13,2007Q2,2,diag3,student_t_ar1_shared,3.287503247037127,3.2346207476094615,0.05263412202329285,0.8513209879822898,2.4695947150627617,2.439593165871891,0.8179085319743651,2007-07-28,6.0,0,True,False
2007-04-13,2007Q3,-11,diag3,student_t_ar1_shared,3.25137423043651,3.1996355502360894,0.0351723615697241,0.8644040449328745,2.3240880884577653,2.297492443722903,0.9272861419787448,2007-10-28,6.0,0,True,False
2007-04-20,2007Q1,16,diag3,student_t_ar1_shared,3.2964130074597975,3.2432465502273433,0.056939419987621684,0.9418164209098001,1.2087836914185912,1.2015362468522506,2.0876293160412063,2007-04-28,7.0,0,True,False
2007-04-20,2007Q2,3,diag3,student_t_ar1_shared,3.1717492580340068,3.122488208401433,-0.0033333066524506346,0.8396160444598996,2.4695947150627617,2.439593165871891,0.702154542971245,2007-07-28,7.0,0,True,False
2007-04-20,2007Q3,-10,diag3,student_t_ar1_shared,3.11429128855083,3.0667811224378565,-0.031137745777973853,0.8624518498401975,2.3240880884577653,2.297492443722903,0.7902032000930648,2007-10-28,7.0,0,True,False
2007-04-27,2007Q1,17,diag3,student_t_ar1_shared,3.300484985257812,3.247188504669159,0.05890692251296849,0.9400402165966149,1.2087836914185912,1.2015362468522506,2.091701293839221,2007-04-28,4.0,0,True,False
2007-04-27,2007Q2,4,diag3,student_t_ar1_shared,3.1779540722483457,3.128502090773031,-0.0003316664945272989,0.8365094167282398,2.4695947150627617,2.439593165871891,0.708359357185584,2007-07-28,4.0,0,True,False
2007-04-27,2007Q3,-9,diag3,student_t_ar1_shared,3.1194519647495644,3.0717858089827406,-0.028639813962431912,0.8623132656323508,2.3240880884577653,2.297492443722903,0.7953638762917992,2007-10-28,4.0,0,True,False
2007-05-04,2007Q2,5,diag3,student_t_ar1_shared,3.1684904965434413,3.1193295792414464,0.005903298289270942,0.8571166315527597,2.4695947150627617,2.439593165871891,0.6988957814806795,2007-07-28,12.0,3,True,True
2007-05-04,2007Q3,-8,diag3,student_t_ar1_shared,3.3367361553913177,3.2822752816837673,0.08727170201057657,0.8586800393771158,2.3240880884577653,2.297492443722903,1.0126480669335525,2007-10-28,12.0,0,True,False
2007-05-11,2007Q2,6,diag3,student_t_ar1_shared,3.1650963567926516,3.1160396255282867,0.0042604302789805565,0.8450328468615345,2.4695947150627617,2.439593165871891,0.6955016417298898,2007-07-28,7.0,0,True,False
2007-05-11,2007Q3,-7,diag3,student_t_ar1_shared,3.3029727516599827,3.2495967571055298,0.07095338651624895,0.8579084603280159,2.3240880884577653,2.297492443722903,0.9788846632022175,2007-10-28,7.0,0,True,False
2007-05-18,2007Q2,7,diag3,student_t_ar1_shared,3.1668515445610668,3.11774094981307,0.005110001879766318,0.841011267463939,2.4695947150627617,2.439593165871891,0.697256829498305,2007-07-28,11.0,0,True,False
2007-05-18,2007Q3,-6,diag3,student_t_ar1_shared,3.2984137182526796,3.2451833952342146,0.06874953452671566,0.855720535420597,2.3240880884577653,2.297492443722903,0.9743256297949143,2007-10-28,11.0,0,True,False
2007-05-25,2007Q2,8,diag3,student_t_ar1_shared,3.1575781387000568,3.108751800169957,0.0006211890647676577,0.8351583313096228,2.4695947150627617,2.439593165871891,0.687983423637295,2007-07-28,0.0,0,True,False
2007-05-25,2007Q3,-5,diag3,student_t_ar1_shared,3.277670528779253,3.2251005384807163,0.05872097917543703,0.8541315644637801,2.3240880884577653,2.297492443722903,0.9535824403214876,2007-10-28,0.0,0,True,False
2007-06-01,2007Q2,9,diag3,student_t_ar1_shared,3.1925834025491984,3.1426798222499723,0.01756345238741827,0.7886899453880906,2.4695947150627617,2.439593165871891,0.7229886874864366,2007-07-28,12.0,3,True,True
2007-06-01,2007Q3,-4,diag3,student_t_ar1_shared,3.346128879811805,3.291364302609964,0.09181038645005093,0.8475515078484723,2.3240880884577653,2.297492443722903,1.0220407913540397,2007-10-28,12.0,0,True,False
2007-06-08,2007Q2,10,diag3,student_t_ar1_shared,3.1873990068344016,3.137655695728249,0.015054609570215219,0.7703632105528472,2.4695947150627617,2.439593165871891,0.7178042917716398,2007-07-28,8.0,0,True,False
2007-06-08,2007Q3,-3,diag3,student_t_ar1_shared,3.345390783967006,3.290650102195737,0.09145374404235489,0.8459492656163461,2.3240880884577653,2.297492443722903,1.0213026955092408,2007-10-28,8.0,0,True,False
2007-06-15,2007Q2,11,diag3,student_t_ar1_shared,3.2188085468601857,3.1680903814293186,0.030252443917103217,0.7622367925836683,2.4695947150627617,2.439593165871891,0.749213831797424,2007-07-28,5.0,0,True,False
2007-06-15,2007Q3,-2,diag3,student_t_ar1_shared,3.369622156813823,3.3140943335682675,0.10316083207636448,0.8451032891918475,2.3240880884577653,2.297492443722903,1.0455340683560577,2007-10-28,5.0,0,True,False
2007-06-22,2007Q2,12,diag3,student_t_ar1_shared,3.2518152492863495,3.2000626805394603,0.046218099364894225,0.7591106451657096,2.4695947150627617,2.439593165871891,0.7822205342235877,2007-07-28,6.0,0,True,False
2007-06-22,2007Q3,-1,diag3,student_t_ar1_shared,3.5321941381104116,3.4712432824415766,0.18163457470746297,0.8446168039593221,2.3240880884577653,2.297492443722903,1.2081060496526463,2007-10-28,6.0,0,True,False
2007-06-29,2007Q2,13,diag3,student_t_ar1_shared,3.259782392545585,3.207778608704418,0.05007111757034893,0.7539646315147519,2.4695947150627617,2.439593165871891,0.7901876774828231,2007-07-28,4.0,0,True,False
2007-06-29,2007Q3,0,diag3,student_t_ar1_shared,3.542556157653909,3.4812512815214642,0.18663215916270812,0.8437734984096832,2.3240880884577653,2.297492443722903,1.2184680691961436,2007-10-28,4.0,0,True,False
