as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,fed_overlap,gaussian_ar1,1.686041209364486,1.671985306763092,-0.7215278428887196,0.7927016371152523,3.4823729200428755,3.423110226166918,-1.7963317106783894,2007-01-28,,64,False,True
2007-01-05,2007Q1,1,fed_overlap,gaussian_ar1,2.749113271779513,2.712003739266409,-0.20536268902069818,0.9101661669863984,1.2087836914185912,1.2015362468522506,1.5403295803609218,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,fed_overlap,gaussian_ar1,2.854092296565325,2.8141218299045194,-0.15468108731095095,0.9641019143968137,2.4695947150627617,2.439593165871891,0.3844975815025631,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,fed_overlap,gaussian_ar1,1.6762156158100838,1.6623221630554619,-0.7263236983301393,0.7926805522614035,3.4823729200428755,3.423110226166918,-1.8061573042327916,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,fed_overlap,gaussian_ar1,2.7108668991787876,2.674773741472519,-0.22384008032378758,0.909908674352131,1.2087836914185912,1.2015362468522506,1.5020832077601964,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,fed_overlap,gaussian_ar1,2.8197909163221846,2.780766714490417,-0.17123535956415062,0.963911414120173,2.4695947150627617,2.439593165871891,0.35019620125942286,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,fed_overlap,gaussian_ar1,2.0613725423806573,2.0404137944339062,-0.5386753653896137,0.7869458140050559,3.4823729200428755,3.423110226166918,-1.4210003776622182,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,fed_overlap,gaussian_ar1,3.1883591932050814,3.1385862181685305,0.0063518383169827745,0.894487514005294,1.2087836914185912,1.2015362468522506,1.9795755017864902,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,fed_overlap,gaussian_ar1,2.664291717060996,2.629417542378076,-0.24635053663185602,0.9617840814842618,2.4695947150627617,2.439593165871891,0.19469700199823414,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,fed_overlap,gaussian_ar1,2.0754953319059855,2.054250383282265,-0.5318082130500814,0.7869142686329117,3.4823729200428755,3.423110226166918,-1.40687758813689,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,fed_overlap,gaussian_ar1,3.289819931146254,3.2368636696045625,0.05512731599783107,0.8915004131230533,1.2087836914185912,1.2015362468522506,2.0810362397276627,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,fed_overlap,gaussian_ar1,2.7618072251548,2.7243572953312047,-0.19923157156381385,0.9584513090962885,2.4695947150627617,2.439593165871891,0.2922125100920381,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,fed_overlap,gaussian_ar1,3.262573612549402,3.2104816768448194,0.040585864391202375,0.8771706790267634,1.2087836914185912,1.2015362468522506,2.053789921130811,2007-04-28,10.0,11,False,True
