as_of,target_quarter,horizon_week,spec,variant,nowcast_bea,nowcast_livello,nowcast_z,sd_z,realizzato_bea,realizzato_livello,errore_bea,gdp_release_date,n_releases,n_iter,converged,reestimated
2007-01-05,2006Q4,14,diag4,student_t_ar1_shared,1.8631594948717023,1.8460153000981456,-0.6351560868889508,0.8515870109938881,3.4823729200428755,3.423110226166918,-1.6192134251711732,2007-01-28,,42,True,True
2007-01-05,2007Q1,1,diag4,student_t_ar1_shared,3.007202037094703,2.9628722487306915,-0.08085568150873311,0.8481054347549224,1.2087836914185912,1.2015362468522506,1.7984183456761116,2007-04-28,,0,True,False
2007-01-05,2007Q2,-12,diag4,student_t_ar1_shared,3.0899720381402096,3.0431935882801833,-0.04099189131834474,0.8832685088668922,2.4695947150627617,2.439593165871891,0.6203773230774479,2007-07-28,,0,True,False
2007-01-12,2006Q4,15,diag4,student_t_ar1_shared,1.8632962565421796,1.8461495601970446,-0.6350894530847404,0.8478441784065942,3.4823729200428755,3.423110226166918,-1.619076663500696,2007-01-28,4.0,0,True,False
2007-01-12,2007Q1,2,diag4,student_t_ar1_shared,3.0016377428713215,2.957470253136057,-0.08353671272910071,0.8433673202175468,1.2087836914185912,1.2015362468522506,1.7928540514527302,2007-04-28,4.0,0,True,False
2007-01-12,2007Q2,-11,diag4,student_t_ar1_shared,3.0885310807744037,3.0417958117476767,-0.04168561319521347,0.883181678913837,2.4695947150627617,2.439593165871891,0.618936365711642,2007-07-28,4.0,0,True,False
2007-01-19,2006Q4,16,diag4,student_t_ar1_shared,2.1941159819480527,2.1703916561939507,-0.4741668519651693,0.8444368721782765,3.4823729200428755,3.423110226166918,-1.2882569380948228,2007-01-28,10.0,0,True,False
2007-01-19,2007Q1,3,diag4,student_t_ar1_shared,3.5207803683876993,3.460218307058855,0.16597908285664897,0.8362371329426378,1.2087836914185912,1.2015362468522506,2.311996676969108,2007-04-28,10.0,0,True,False
2007-01-19,2007Q2,-10,diag4,student_t_ar1_shared,3.025768121065764,2.9808946885441387,-0.07191107521267552,0.8817844241377529,2.4695947150627617,2.439593165871891,0.5561734060030021,2007-07-28,10.0,0,True,False
2007-01-26,2006Q4,17,diag4,student_t_ar1_shared,2.212277615627012,2.1881617791407972,-0.46534747150184924,0.8434266585684659,3.4823729200428755,3.423110226166918,-1.2700953044158636,2007-01-28,4.0,0,True,False
2007-01-26,2007Q1,4,diag4,student_t_ar1_shared,3.581682490174387,3.519031826416935,0.19516845904483163,0.8273037638054326,1.2087836914185912,1.2015362468522506,2.372898798755796,2007-04-28,4.0,0,True,False
2007-01-26,2007Q2,-9,diag4,student_t_ar1_shared,3.0679974905120755,3.021875423611013,-0.05157217855437021,0.8810394074208346,2.4695947150627617,2.439593165871891,0.5984027754493138,2007-07-28,4.0,0,True,False
2007-02-02,2007Q1,5,diag4,student_t_ar1_shared,3.612600741978622,3.5488765224687895,0.2094850039314471,0.8420744799637238,1.2087836914185912,1.2015362468522506,2.403817050560031,2007-04-28,10.0,11,False,True
2007-02-02,2007Q2,-8,diag4,student_t_ar1_shared,2.975039585846284,2.9316438755890215,-0.0985872504254794,0.8778470534113146,2.4695947150627617,2.439593165871891,0.5054448707835224,2007-07-28,10.0,0,True,False
2007-02-09,2007Q1,6,diag4,student_t_ar1_shared,3.7750765286479915,3.7055645398563786,0.28769089759461025,0.8483541303071023,1.2087836914185912,1.2015362468522506,2.5662928372294003,2007-04-28,8.0,0,True,False
2007-02-09,2007Q2,-7,diag4,student_t_ar1_shared,3.0266550562932037,2.98175557162795,-0.07357557412092235,0.8775323238842825,2.4695947150627617,2.439593165871891,0.557060341230442,2007-07-28,8.0,0,True,False
2007-02-16,2007Q1,7,diag4,student_t_ar1_shared,3.933525613692712,3.858133200129339,0.36384074377029807,0.9050568891005097,1.2087836914185912,1.2015362468522506,2.724741922274121,2007-04-28,7.0,0,True,False
2007-02-16,2007Q2,-6,diag4,student_t_ar1_shared,3.246719311222823,3.195127112279451,0.03292211662245616,0.8781285837106357,2.4695947150627617,2.439593165871891,0.7771245961600615,2007-07-28,7.0,0,True,False
2007-02-23,2007Q1,8,diag4,student_t_ar1_shared,3.3077291576225853,3.254200977428576,0.06240697764215047,0.8482922197658873,1.2087836914185912,1.2015362468522506,2.098945466203994,2007-04-28,4.0,0,True,False
2007-02-23,2007Q2,-5,diag4,student_t_ar1_shared,3.166260602148774,3.11716814556836,-0.005988648618872215,0.8768961235667625,2.4695947150627617,2.439593165871891,0.6966658870860121,2007-07-28,4.0,0,True,False
2007-03-02,2007Q1,9,diag4,student_t_ar1_shared,3.400753047120264,3.3442058913878707,0.10733009842458431,0.9146453042357028,1.2087836914185912,1.2015362468522506,2.191969355701673,2007-04-28,11.0,12,False,True
2007-03-02,2007Q2,-4,diag4,student_t_ar1_shared,3.3004038193926055,3.2471099320495775,0.05886770546220558,0.8699620431945242,2.4695947150627617,2.439593165871891,0.8308091043298438,2007-07-28,11.0,0,True,False
2007-03-09,2007Q1,10,diag4,student_t_ar1_shared,3.2634253084150577,3.2113064600392973,0.04099752897077864,0.8833297882316479,1.2087836914185912,1.2015362468522506,2.0546416169964665,2007-04-28,8.0,0,True,False
2007-03-09,2007Q2,-3,diag4,student_t_ar1_shared,3.162610566663604,3.1136300701988207,-0.007754567613417913,0.8672389063618854,2.4695947150627617,2.439593165871891,0.6930158516008422,2007-07-28,8.0,0,True,False
2007-03-16,2007Q1,11,diag4,student_t_ar1_shared,3.2202840543727795,3.1695198660235597,0.02014106539030706,0.8662886555661831,1.2087836914185912,1.2015362468522506,2.0115003629541883,2007-04-28,7.0,0,True,False
2007-03-16,2007Q2,-2,diag4,student_t_ar1_shared,3.130841068232537,3.0828297724380795,-0.023127567103939612,0.8662961085029083,2.4695947150627617,2.439593165871891,0.6612463531697754,2007-07-28,7.0,0,True,False
2007-03-23,2007Q1,12,diag4,student_t_ar1_shared,3.78096517229094,3.7112388084503034,0.2905230302214149,0.8457681549193458,1.2087836914185912,1.2015362468522506,2.5721814808723487,2007-04-28,4.0,0,True,False
2007-03-23,2007Q2,-1,diag4,student_t_ar1_shared,3.3226868043292113,3.268678658909406,0.06963305681052881,0.8539258038920863,2.4695947150627617,2.439593165871891,0.8530920892664495,2007-07-28,4.0,0,True,False
2007-03-30,2007Q1,13,diag4,student_t_ar1_shared,3.765071012949961,3.6959225348522295,0.28287839418416183,0.8473138681576267,1.2087836914185912,1.2015362468522506,2.5562873215313697,2007-04-28,8.0,0,True,False
2007-03-30,2007Q2,0,diag4,student_t_ar1_shared,3.320723845676765,3.266778807715195,0.06868480586608831,0.8542130446695864,2.4695947150627617,2.439593165871891,0.8511291306140034,2007-07-28,8.0,0,True,False
2007-04-06,2007Q1,14,diag4,student_t_ar1_shared,3.788813708465266,3.718801119515419,0.2942975198401279,0.8509145678506502,1.2087836914185912,1.2015362468522506,2.580030017046675,2007-04-28,10.0,11,False,True
2007-04-06,2007Q2,1,diag4,student_t_ar1_shared,3.422049522304227,3.36479982493356,0.11760891236219674,0.8554663381948866,2.4695947150627617,2.439593165871891,0.9524548072414651,2007-07-28,10.0,0,True,False
2007-04-06,2007Q3,-12,diag4,student_t_ar1_shared,3.0924018483584836,3.0455505406933083,-0.04173432263180007,0.8830797911721348,2.3240880884577653,2.297492443722903,0.7683137599007184,2007-10-28,10.0,0,True,False
2007-04-13,2007Q1,15,diag4,student_t_ar1_shared,3.7924331820749835,3.722288403327715,0.29603808782704083,0.8457599879317361,1.2087836914185912,1.2015362468522506,2.5836494906563923,2007-04-28,6.0,0,True,False
2007-04-13,2007Q2,2,diag4,student_t_ar1_shared,3.4244294366466033,3.367100965716273,0.11875745437809103,0.8521107879991686,2.4695947150627617,2.439593165871891,0.9548347215838415,2007-07-28,6.0,0,True,False
2007-04-13,2007Q3,-11,diag4,student_t_ar1_shared,3.0651878269790878,3.0191493574234407,-0.05491164254310863,0.8829959175549874,2.3240880884577653,2.297492443722903,0.7410997385213225,2007-10-28,6.0,0,True,False
2007-04-20,2007Q1,16,diag4,student_t_ar1_shared,3.797350850418302,3.727026274574282,0.29840284718181787,0.8406040093055838,1.2087836914185912,1.2015362468522506,2.5885671589997106,2007-04-28,7.0,0,True,False
2007-04-20,2007Q2,3,diag4,student_t_ar1_shared,3.2860381647788373,3.2332022869021593,0.051926141993357024,0.8226697764781996,2.4695947150627617,2.439593165871891,0.8164434497160755,2007-07-28,7.0,0,True,False
2007-04-20,2007Q3,-10,diag4,student_t_ar1_shared,2.9494075283807986,2.906749252384191,-0.11101261828450068,0.8806978509070672,2.3240880884577653,2.297492443722903,0.6253194399230333,2007-10-28,7.0,0,True,False
2007-04-27,2007Q1,17,diag4,student_t_ar1_shared,3.81291263052399,3.7420176144761736,0.3058853027887171,0.8389073898785958,1.2087836914185912,1.2015362468522506,2.604128939105399,2007-04-28,4.0,0,True,False
2007-04-27,2007Q2,4,diag4,student_t_ar1_shared,3.2900869725162485,3.23712220527145,0.053882645906471946,0.8186565600869677,2.4695947150627617,2.439593165871891,0.8204922574534868,2007-07-28,4.0,0,True,False
2007-04-27,2007Q3,-9,diag4,student_t_ar1_shared,2.9471377328690984,2.9045444601581503,-0.11211307094995597,0.8806526916500506,2.3240880884577653,2.297492443722903,0.6230496444113331,2007-10-28,4.0,0,True,False
2007-05-04,2007Q2,5,diag4,student_t_ar1_shared,3.421086794573447,3.363868947798418,0.12801623387614355,0.839047856102712,2.4695947150627617,2.439593165871891,0.9514920795106852,2007-07-28,12.0,11,False,True
2007-05-04,2007Q3,-8,diag4,student_t_ar1_shared,3.239022041856532,3.1876716150432727,0.0400305092369015,0.8775269485357701,2.3240880884577653,2.297492443722903,0.9149339533987666,2007-10-28,12.0,0,True,False
2007-05-11,2007Q2,6,diag4,student_t_ar1_shared,3.162419535162675,3.113444894894756,0.0029647281734775104,0.8244938063030318,2.4695947150627617,2.439593165871891,0.6928248200999132,2007-07-28,7.0,0,True,False
2007-05-11,2007Q3,-7,diag4,student_t_ar1_shared,3.1667282294590926,3.117621419970076,0.005050313576388533,0.8769550816570356,2.3240880884577653,2.297492443722903,0.8426401410013273,2007-10-28,7.0,0,True,False
2007-05-18,2007Q2,7,diag4,student_t_ar1_shared,3.719056177780944,3.6515674928097863,0.27168109284229947,0.793831075457089,2.4695947150627617,2.439593165871891,1.2494614627181821,2007-07-28,11.0,0,True,False
2007-05-18,2007Q3,-6,diag4,student_t_ar1_shared,3.1536441369796275,3.104938142650504,-0.0012831951567644434,0.8742400879935133,2.3240880884577653,2.297492443722903,0.8295560485218623,2007-10-28,11.0,0,True,False
2007-05-25,2007Q2,8,diag4,student_t_ar1_shared,3.6989422460024013,3.6321729060386945,0.26199623130410277,0.7882917870650132,2.4695947150627617,2.439593165871891,1.2293475309396396,2007-07-28,0.0,0,True,False
2007-05-25,2007Q3,-5,diag4,student_t_ar1_shared,3.121474761978993,3.073747395619877,-0.016858575536345496,0.8724895092773259,2.3240880884577653,2.297492443722903,0.7973866735212276,2007-10-28,0.0,0,True,False
2007-06-01,2007Q2,9,diag4,student_t_ar1_shared,3.728784615672298,3.660946658060464,0.27636466346274047,0.73974304987495,2.4695947150627617,2.439593165871891,1.2591899006095364,2007-07-28,12.0,11,False,True
2007-06-01,2007Q3,-4,diag4,student_t_ar1_shared,3.1680897726125368,3.1189411615111795,0.0057093383982448126,0.8653319817407142,2.3240880884577653,2.297492443722903,0.8440016841547715,2007-10-28,12.0,0,True,False
2007-06-08,2007Q2,10,diag4,student_t_ar1_shared,3.7755502134430463,3.7060209921470655,0.29887293805025755,0.7218896198297639,2.4695947150627617,2.439593165871891,1.3059554983802846,2007-07-28,8.0,0,True,False
