window,trimestre,realizzato,fed,err_fed,mio_migliore,err_migliore,mio_peggiore,err_peggiore
2007-2019,2006Q4,3.4823729200428755,1.78,-1.7023729200428754,diag3/gaussian,-0.19183877947959127,diag3/student_t_ar1_shared,-0.7082215213751519
2007-2019,2007Q1,1.2087836914185912,2.4,1.1912163085814087,diag3/gaussian_ar1,1.8421824803881437,diag3/student_t_ar1,2.221877231767655
2007-2019,2007Q2,2.4695947150627617,3.25,0.7804052849372383,diag3/student_t_ar1,0.3533394535045975,diag3/student_t_ar1_shared,1.2699285801143434
2007-2019,2007Q3,2.3240880884577653,1.99,-0.3340880884577653,diag3/gaussian_ar1,0.5305648737522928,diag3/student_t,0.9297406035571054
2007-2019,2007Q4,2.5367271478347497,1.49,-1.0467271478347497,diag3/student_t_ar1,0.36761430643372783,diag3/student_t,0.5858982896339571
2007-2019,2008Q1,-1.6961606735480972,1.43,3.126160673548097,diag3/gaussian,4.403895359162036,diag3/gaussian_ar1,4.47208086840607
2007-2019,2008Q2,2.403069701864058,1.99,-0.4130697018640579,diag3/gaussian,0.015512198416645084,diag3/student_t_ar1,-0.8652428953200397
2007-2019,2008Q3,-2.0845363314131338,-0.52,1.5645363314131338,diag3/gaussian_ar1,3.164257005712112,diag3/student_t,4.4032846685050036
2007-2019,2008Q4,-8.472768957225274,-3.47,5.002768957225273,diag3/gaussian_ar1,6.306605912065443,diag3/student_t,9.037639466476566
2007-2019,2009Q1,-4.462803810727223,-3.57,0.8928038107272234,diag3/student_t_ar1_shared,-0.015319582648742447,diag3/student_t,3.3407250997267495
2007-2019,2009Q2,-0.7126911125331037,0.04,0.7526911125331037,diag3/student_t,0.07108205120626154,diag3/gaussian_ar1,-3.2314709192783226
2007-2019,2009Q3,1.412187087697636,5.2,3.787812912302364,diag3/gaussian,-0.1109679329964528,diag3/student_t_ar1_shared,-0.5588945573157031
2007-2019,2009Q4,4.394263592305325,4.32,-0.07426359230532498,diag3/student_t_ar1,-0.6911309277698003,diag3/student_t_ar1_shared,-1.4848000565849122
2007-2019,2010Q1,1.952133820572155,3.98,2.027866179427845,diag3/student_t_ar1_shared,1.744916084977377,diag3/student_t_ar1,2.384938036354889
2007-2019,2010Q2,3.926881074055233,4.96,1.033118925944767,diag3/student_t,0.23564558809974212,diag3/student_t_ar1,1.096005743893369
2007-2019,2010Q3,3.1201978026194954,2.27,-0.8501978026194954,diag3/student_t_ar1_shared,0.22494662180698732,diag3/gaussian,1.1361002181120128
2007-2019,2010Q4,2.117043484228409,2.9,0.7829565157715908,diag3/student_t,2.0015409536951134,diag3/gaussian,2.2635393517586033
