window,metodo,fase,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,diag4/gaussian,forecast,678,261,2.7124104378187526,2.611603442334883,0.9708233120527235,1.8613812648981762,1.062428266644493,0.29213436428559497,0.7700296735905044,0.7816091954022989,674,0.8377581120943953
2007-2019,diag4/gaussian,nowcast M1,208,208,2.098268665273003,2.098268665273003,0.8406598853926868,1.4957145273650134,0.8137948392901174,0.5856789841546334,0.8186274509803921,0.8186274509803921,204,0.8894230769230769
2007-2019,diag4/gaussian,nowcast M2,260,260,1.9053377871205424,1.9053377871205424,0.8139968588987975,1.440815651841996,0.6733800038637116,0.6720787881023672,0.7461538461538462,0.7461538461538462,260,0.9038461538461539
2007-2019,diag4/gaussian,nowcast M3,208,208,1.9177946463715225,1.9177946463715225,0.8193186681709299,1.4945701551900608,0.5207044822758202,0.655850199967916,0.7259615384615384,0.7259615384615384,208,0.9038461538461539
2007-2019,diag4/gaussian,backcast,205,205,1.930958798352939,1.930958798352939,0.8218229111376697,1.5084425626888787,0.43595645889496415,0.65143360635006,0.7213930348258707,0.7213930348258707,201,0.926829268292683
2007-2019,diag4/gaussian_ar1,forecast,678,261,2.6950755364252226,2.608261615498221,0.964618820966003,1.8760059551309574,0.9341964577012637,0.2920568382993812,0.7700296735905044,0.7969348659003831,674,0.8407079646017699
2007-2019,diag4/gaussian_ar1,nowcast M1,208,208,2.0615779512087773,2.0615779512087773,0.8259599511132056,1.4947154956512632,0.6968919066578572,0.5841968724372623,0.8235294117647058,0.8235294117647058,204,0.8894230769230769
2007-2019,diag4/gaussian_ar1,nowcast M2,260,260,1.8851385389696937,1.8851385389696937,0.8053673525414201,1.446004262343518,0.5894983332782952,0.67450097014994,0.7461538461538462,0.7461538461538462,260,0.9038461538461539
2007-2019,diag4/gaussian_ar1,nowcast M3,208,208,1.9099259544685445,1.9099259544685445,0.8159570120194786,1.5067714772436742,0.4522132796051373,0.658512234772751,0.7692307692307693,0.7692307692307693,208,0.9134615384615384
2007-2019,diag4/gaussian_ar1,backcast,205,205,1.940161026626334,1.940161026626334,0.8257394121189675,1.5195170689544462,0.37147551473632956,0.6499213578593472,0.7313432835820896,0.7313432835820896,201,0.926829268292683
2007-2019,diag4/student_t,forecast,678,261,2.6815972342546557,2.59252960281341,0.9597946801311079,1.8168686602149908,1.1019614602974521,0.31694114667204903,0.7744807121661721,0.7931034482758621,674,0.8377581120943953
2007-2019,diag4/student_t,nowcast M1,208,208,2.1064475974201744,2.1064475974201744,0.8439367299051511,1.4919636027231045,0.8720396395722688,0.6019468373495517,0.8088235294117647,0.8088235294117647,204,0.8942307692307693
