window,metodo,horizon_week,n_trimestri,RMSE,sett_al_rilascio,pieno
2007-2019,ar2,-13,2,1.848898255731422,30.142857142857142,False
2007-2019,ar2,-12,46,2.753283125987368,29.496894409937887,True
2007-2019,ar2,-11,46,2.753283125987368,28.496894409937887,True
2007-2019,ar2,-10,46,2.753283125987368,27.496894409937887,True
2007-2019,ar2,-9,46,2.75304519414216,26.496894409937887,True
2007-2019,ar2,-8,46,2.5815534514737015,25.496894409937887,True
2007-2019,ar2,-7,46,2.5815534514737015,24.496894409937887,True
2007-2019,ar2,-6,46,2.5815534514737015,23.496894409937887,True
2007-2019,ar2,-5,46,2.5815534514737015,22.496894409937887,True
2007-2019,ar2,-4,46,2.5815534514737015,21.496894409937887,True
2007-2019,ar2,-3,46,2.5815534514737015,20.496894409937887,True
2007-2019,ar2,-2,46,2.5815534514737015,19.496894409937887,True
2007-2019,ar2,-1,46,2.5815534514737015,18.496894409937887,True
2007-2019,ar2,0,46,2.5815534514737015,17.496894409937887,True
2007-2019,ar2,1,46,2.5815534514737015,16.496894409937887,True
2007-2019,ar2,2,46,2.5815534514737015,15.49689440993789,True
2007-2019,ar2,3,46,2.5815534514737015,14.49689440993789,True
2007-2019,ar2,4,46,2.5944931909295903,13.49689440993789,True
2007-2019,ar2,5,46,2.41148233167279,12.49689440993789,True
2007-2019,ar2,6,46,2.41148233167279,11.49689440993789,True
2007-2019,ar2,7,46,2.41148233167279,10.49689440993789,True
2007-2019,ar2,8,46,2.41148233167279,9.49689440993789,True
2007-2019,ar2,9,46,2.41148233167279,8.49689440993789,True
2007-2019,ar2,10,46,2.41148233167279,7.496894409937888,True
2007-2019,ar2,11,46,2.41148233167279,6.496894409937888,True
2007-2019,ar2,12,46,2.41148233167279,5.496894409937888,True
2007-2019,ar2,13,46,2.41148233167279,4.496894409937888,True
2007-2019,ar2,14,46,2.41148233167279,3.4968944099378882,True
2007-2019,ar2,15,46,2.41148233167279,2.4968944099378882,True
2007-2019,ar2,16,46,2.41148233167279,1.496894409937888,True
2007-2019,ar2,17,46,2.41148233167279,0.4968944099378882,True
2007-2019,diag4/gaussian,-13,2,0.8740671684677069,30.142857142857142,False
2007-2019,diag4/gaussian,-12,46,2.712542639909596,29.496894409937887,True
2007-2019,diag4/gaussian,-11,46,2.707752542596179,28.496894409937887,True
2007-2019,diag4/gaussian,-10,46,2.6428156442554154,27.496894409937887,True
2007-2019,diag4/gaussian,-9,46,2.6049504516215185,26.496894409937887,True
2007-2019,diag4/gaussian,-8,46,2.6560979562472884,25.496894409937887,True
2007-2019,diag4/gaussian,-7,46,2.6213134382998247,24.496894409937887,True
2007-2019,diag4/gaussian,-6,46,2.630268623945064,23.496894409937887,True
2007-2019,diag4/gaussian,-5,46,2.537331814984484,22.496894409937887,True
2007-2019,diag4/gaussian,-4,46,2.5407530506668614,21.496894409937887,True
2007-2019,diag4/gaussian,-3,46,2.536467829451143,20.496894409937887,True
2007-2019,diag4/gaussian,-2,46,2.523555665527925,19.496894409937887,True
2007-2019,diag4/gaussian,-1,46,2.340686277905514,18.496894409937887,True
2007-2019,diag4/gaussian,0,46,2.3320483368995015,17.496894409937887,True
2007-2019,diag4/gaussian,1,46,2.273624117122573,16.496894409937887,True
2007-2019,diag4/gaussian,2,46,2.18059595424362,15.49689440993789,True
2007-2019,diag4/gaussian,3,46,1.9314651504111875,14.49689440993789,True
2007-2019,diag4/gaussian,4,46,1.8309817763351492,13.49689440993789,True
2007-2019,diag4/gaussian,5,46,1.811130110318372,12.49689440993789,True
2007-2019,diag4/gaussian,6,46,1.6986002381828227,11.49689440993789,True
2007-2019,diag4/gaussian,7,46,1.6855159347270712,10.49689440993789,True
2007-2019,diag4/gaussian,8,46,1.9203280206807687,9.49689440993789,True
2007-2019,diag4/gaussian,9,46,1.9084617569865974,8.49689440993789,True
2007-2019,diag4/gaussian,10,46,1.8569326219591749,7.496894409937888,True
2007-2019,diag4/gaussian,11,46,1.8561279376485074,6.496894409937888,True
2007-2019,diag4/gaussian,12,46,1.894203948105532,5.496894409937888,True
2007-2019,diag4/gaussian,13,46,1.9155598712305029,4.496894409937888,True
2007-2019,diag4/gaussian,14,46,1.9072088226264925,3.4968944099378882,True
2007-2019,diag4/gaussian,15,46,1.9182655138486067,2.4968944099378882,True
2007-2019,diag4/gaussian,16,46,1.9198132093277975,1.496894409937888,True
2007-2019,diag4/gaussian,17,46,1.9233963019391618,0.4968944099378882,True
2007-2019,diag4/gaussian_ar1,-13,2,1.015745084524632,30.142857142857142,False
2007-2019,diag4/gaussian_ar1,-12,46,2.697622667772729,29.496894409937887,True
2007-2019,diag4/gaussian_ar1,-11,46,2.6967944751338746,28.496894409937887,True
2007-2019,diag4/gaussian_ar1,-10,46,2.6375368250879543,27.496894409937887,True
2007-2019,diag4/gaussian_ar1,-9,46,2.6020288329005403,26.496894409937887,True
2007-2019,diag4/gaussian_ar1,-8,46,2.616758210939535,25.496894409937887,True
2007-2019,diag4/gaussian_ar1,-7,46,2.572287263492451,24.496894409937887,True
2007-2019,diag4/gaussian_ar1,-6,46,2.582505621125302,23.496894409937887,True
2007-2019,diag4/gaussian_ar1,-5,46,2.5282804206358045,22.496894409937887,True
2007-2019,diag4/gaussian_ar1,-4,46,2.527388245781667,21.496894409937887,True
2007-2019,diag4/gaussian_ar1,-3,46,2.5246221684675425,20.496894409937887,True
2007-2019,diag4/gaussian_ar1,-2,46,2.5150753608760623,19.496894409937887,True
2007-2019,diag4/gaussian_ar1,-1,46,2.3451267692965434,18.496894409937887,True
2007-2019,diag4/gaussian_ar1,0,46,2.3399373650755217,17.496894409937887,True
2007-2019,diag4/gaussian_ar1,1,46,2.2270253532315545,16.496894409937887,True
2007-2019,diag4/gaussian_ar1,2,46,2.1742979569183802,15.49689440993789,True
2007-2019,diag4/gaussian_ar1,3,46,1.9363307482132432,14.49689440993789,True
2007-2019,diag4/gaussian_ar1,4,46,1.845321427107019,13.49689440993789,True
2007-2019,diag4/gaussian_ar1,5,46,1.8081093770783856,12.49689440993789,True
2007-2019,diag4/gaussian_ar1,6,46,1.6986245964473061,11.49689440993789,True
2007-2019,diag4/gaussian_ar1,7,46,1.6914804034807072,10.49689440993789,True
2007-2019,diag4/gaussian_ar1,8,46,1.9537071328329143,9.49689440993789,True
2007-2019,diag4/gaussian_ar1,9,46,1.944734513161872,8.49689440993789,True
2007-2019,diag4/gaussian_ar1,10,46,1.883034718038199,7.496894409937888,True
2007-2019,diag4/gaussian_ar1,11,46,1.8854359388854225,6.496894409937888,True
2007-2019,diag4/gaussian_ar1,12,46,1.9201377761983291,5.496894409937888,True
2007-2019,diag4/gaussian_ar1,13,46,1.9408519772985497,4.496894409937888,True
2007-2019,diag4/gaussian_ar1,14,46,1.9098395486455935,3.4968944099378882,True
2007-2019,diag4/gaussian_ar1,15,46,1.9236029677983364,2.4968944099378882,True
2007-2019,diag4/gaussian_ar1,16,46,1.915657050492364,1.496894409937888,True
2007-2019,diag4/gaussian_ar1,17,46,1.9145326506791112,0.4968944099378882,True
2007-2019,diag4/student_t,-13,2,0.9949129619502957,30.142857142857142,False
2007-2019,diag4/student_t,-12,46,2.6616971428569753,29.496894409937887,True
2007-2019,diag4/student_t,-11,46,2.648671559189934,28.496894409937887,True
2007-2019,diag4/student_t,-10,46,2.59977733831956,27.496894409937887,True
2007-2019,diag4/student_t,-9,46,2.5615085556367507,26.496894409937887,True
2007-2019,diag4/student_t,-8,46,2.607167919581367,25.496894409937887,True
2007-2019,diag4/student_t,-7,46,2.578990012898375,24.496894409937887,True
2007-2019,diag4/student_t,-6,46,2.5898316128873784,23.496894409937887,True
2007-2019,diag4/student_t,-5,46,2.50836651218935,22.496894409937887,True
2007-2019,diag4/student_t,-4,46,2.5138754454027623,21.496894409937887,True
2007-2019,diag4/student_t,-3,46,2.5015179005757417,20.496894409937887,True
2007-2019,diag4/student_t,-2,46,2.496645902698402,19.496894409937887,True
2007-2019,diag4/student_t,-1,46,2.3571225947365964,18.496894409937887,True
2007-2019,diag4/student_t,0,46,2.3484530300794835,17.496894409937887,True
2007-2019,diag4/student_t,1,46,2.283163980678722,16.496894409937887,True
2007-2019,diag4/student_t,2,46,2.188694497525482,15.49689440993789,True
2007-2019,diag4/student_t,3,46,1.954339193934299,14.49689440993789,True
2007-2019,diag4/student_t,4,46,1.8613352798328264,13.49689440993789,True
2007-2019,diag4/student_t,5,46,1.8433426568696434,12.49689440993789,True
2007-2019,diag4/student_t,6,46,1.741768038187959,11.49689440993789,True
2007-2019,diag4/student_t,7,46,1.7388975947769447,10.49689440993789,True
2007-2019,diag4/student_t,8,46,1.9084787393489653,9.49689440993789,True
2007-2019,diag4/student_t,9,46,1.8996860464835743,8.49689440993789,True
2007-2019,diag4/student_t,10,46,1.8441185608286004,7.496894409937888,True
2007-2019,diag4/student_t,11,46,1.8455063818497817,6.496894409937888,True
2007-2019,diag4/student_t,12,46,1.877218887354426,5.496894409937888,True
2007-2019,diag4/student_t,13,46,1.8941117229406743,4.496894409937888,True
2007-2019,diag4/student_t,14,46,1.8835036604283797,3.4968944099378882,True
2007-2019,diag4/student_t,15,46,1.8845268157415278,2.4968944099378882,True
2007-2019,diag4/student_t,16,46,1.8824351531179098,1.496894409937888,True
2007-2019,diag4/student_t,17,46,1.878810943169391,0.4968944099378882,True
2007-2019,diag4/student_t_ar1,-13,2,0.9843944785493355,30.142857142857142,False
2007-2019,diag4/student_t_ar1,-12,46,2.6431629369930936,29.496894409937887,True
2007-2019,diag4/student_t_ar1,-11,46,2.63242175662547,28.496894409937887,True
2007-2019,diag4/student_t_ar1,-10,46,2.5916631232508243,27.496894409937887,True
2007-2019,diag4/student_t_ar1,-9,46,2.5605281394194446,26.496894409937887,True
2007-2019,diag4/student_t_ar1,-8,46,2.5661641629404737,25.496894409937887,True
2007-2019,diag4/student_t_ar1,-7,46,2.5128922325167076,24.496894409937887,True
2007-2019,diag4/student_t_ar1,-6,46,2.5236414103368268,23.496894409937887,True
2007-2019,diag4/student_t_ar1,-5,46,2.4771355603505376,22.496894409937887,True
2007-2019,diag4/student_t_ar1,-4,46,2.4764844572971567,21.496894409937887,True
2007-2019,diag4/student_t_ar1,-3,46,2.4672992344197726,20.496894409937887,True
2007-2019,diag4/student_t_ar1,-2,46,2.466116941331992,19.496894409937887,True
2007-2019,diag4/student_t_ar1,-1,46,2.3270503518998646,18.496894409937887,True
2007-2019,diag4/student_t_ar1,0,46,2.3201203424824284,17.496894409937887,True
2007-2019,diag4/student_t_ar1,1,46,2.2113642276041774,16.496894409937887,True
2007-2019,diag4/student_t_ar1,2,46,2.1487133273330357,15.49689440993789,True
2007-2019,diag4/student_t_ar1,3,46,1.90745069729132,14.49689440993789,True
2007-2019,diag4/student_t_ar1,4,46,1.8287286650390588,13.49689440993789,True
2007-2019,diag4/student_t_ar1,5,46,1.8024845046124276,12.49689440993789,True
2007-2019,diag4/student_t_ar1,6,46,1.6996020548811395,11.49689440993789,True
2007-2019,diag4/student_t_ar1,7,46,1.6639199339391704,10.49689440993789,True
2007-2019,diag4/student_t_ar1,8,46,1.948900593898206,9.49689440993789,True
2007-2019,diag4/student_t_ar1,9,46,1.9439153226238552,8.49689440993789,True
2007-2019,diag4/student_t_ar1,10,46,1.8794488874899962,7.496894409937888,True
2007-2019,diag4/student_t_ar1,11,46,1.8810591198209008,6.496894409937888,True
2007-2019,diag4/student_t_ar1,12,46,1.9432647781445425,5.496894409937888,True
2007-2019,diag4/student_t_ar1,13,46,1.9607727661699328,4.496894409937888,True
2007-2019,diag4/student_t_ar1,14,46,1.9372625895436804,3.4968944099378882,True
2007-2019,diag4/student_t_ar1,15,46,1.9429778241609343,2.4968944099378882,True
2007-2019,diag4/student_t_ar1,16,46,1.9395288164740094,1.496894409937888,True
2007-2019,diag4/student_t_ar1,17,46,1.9417214891170522,0.4968944099378882,True
2007-2019,diag4/student_t_ar1_shared,-13,2,0.8173614229458468,30.142857142857142,False
2007-2019,diag4/student_t_ar1_shared,-12,46,2.683847358550201,29.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-11,46,2.6734982688966604,28.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-10,46,2.6289959693732152,27.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-9,46,2.5988020927586404,26.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-8,46,2.619197993617493,25.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-7,46,2.582240010605831,24.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-6,46,2.5935333837825265,23.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-5,46,2.5315676928319277,22.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-4,46,2.5304216598880362,21.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-3,46,2.5246137253834395,20.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-2,46,2.519770658738959,19.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,-1,46,2.388682145834029,18.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,0,46,2.3811002095036233,17.496894409937887,True
2007-2019,diag4/student_t_ar1_shared,1,46,2.27312688789765,16.496894409937887,True
