window,n_trimestri,metodo,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,46,fed_overlap/gaussian,1382,1014,2.1150241019604925,1.993249677646225,0.8349648802187908,1.549330199826841,0.6230963544254237,0.5883938983808716,0.785921625544267,0.7928994082840237,1378,0.8827785817655571
2007-2019,46,fed_overlap/gaussian_ar1,1382,1014,2.245291419559196,2.082141209249347,0.8863915448768451,1.615601514059312,0.6527994619692381,0.5267318859030758,0.7764876632801161,0.7751479289940828,1378,0.8798842257597684
2007-2019,46,fed_overlap/student_t,1382,1014,2.085035798185272,1.9783637386589594,0.8231261591155977,1.4863972516806783,0.6796443410357929,0.6145650786363809,0.7873730043541364,0.7909270216962525,1378,0.8892908827785818
2007-2019,46,fed_overlap/student_t_ar1,1382,1014,2.2063979324608036,2.053741072523143,0.8710372537525508,1.5639977636457703,0.648846921113726,0.5378681763680467,0.772133526850508,0.7840236686390533,1378,0.8813314037626628
2007-2019,46,fed_overlap/student_t_ar1_shared,1382,1014,2.193612435602504,2.0327774238984646,0.8659898215067754,1.5481994564458013,0.7842766425764667,0.5699894479037461,0.7685050798258345,0.7781065088757396,1378,0.886396526772793
2007-2019,46,nyfed,1014,1014,2.18794424496853,2.18794424496853,0.8637521448252818,1.5331949213528522,0.33725144506563387,0.5024089990926789,0.7337278106508875,0.7337278106508875,1014,0.8944773175542406
2007-2019,46,ar2,1382,1014,2.533069536297479,2.484568119577841,1.0,1.7308388867705846,0.3846796237794411,0.22360104963641328,0.7177068214804064,0.7149901380670611,1378,0.8516642547033285
2007-2019,46,mean,1382,1014,2.71495695626803,2.711742303458106,1.0718051428767372,1.7734965544584613,0.8830852102903382,-0.44852777492077717,0.7387518142235123,0.7327416173570019,1378,0.8480463096960926
2007-2021,54,fed_overlap/gaussian,1622,1173,5.4205565219919025,4.558512212833358,0.6732526426923366,2.4807886384685096,0.49547553741743405,0.6018901922387735,0.7935723114956736,0.7971014492753623,1618,0.8668310727496917
2007-2021,54,fed_overlap/gaussian_ar1,1622,1173,5.62391835688215,4.774608664792618,0.6985109150131112,2.5976673384789786,0.6227056345383962,0.549955523676864,0.7824474660074165,0.7851662404092071,1618,0.8662145499383477
