window,metodo,fase,n,n_com,RMSE,RMSE_com,RMSE_rel_ar2,MAE,Bias,corr,MDA,MDA_com,n_dir,SignAcc
2007-2019,fed_overlap/gaussian,forecast,678,261,2.5514531385954915,2.477377544904841,0.9132136316915727,1.8080635459083825,1.0696292030186227,0.4355175642929149,0.7685459940652819,0.7624521072796935,674,0.827433628318584
2007-2019,fed_overlap/gaussian,nowcast M1,208,208,2.077636022988131,2.077636022988131,0.8323935299036999,1.4879421499843377,0.8107662623245194,0.598554642111737,0.8480392156862745,0.8480392156862745,204,0.9038461538461539
2007-2019,fed_overlap/gaussian,nowcast M2,260,260,1.8013502743635905,1.8013502743635905,0.7695713983211334,1.3528683172079168,0.593169877902606,0.7025203521129014,0.7576923076923077,0.7576923076923077,260,0.8961538461538462
2007-2019,fed_overlap/gaussian,nowcast M3,208,208,1.8707178702387512,1.8707178702387512,0.7992065661813558,1.4590864974597517,0.36614735441411955,0.6565027005270407,0.7644230769230769,0.7644230769230769,208,0.8942307692307693
2007-2019,fed_overlap/gaussian,backcast,205,205,1.9248905041823943,1.9248905041823943,0.8192402236224671,1.5008271126326471,0.25303026803879397,0.6363893369737161,0.7761194029850746,0.7761194029850746,201,0.9073170731707317
2007-2019,fed_overlap/gaussian_ar1,forecast,678,261,2.7281521031452094,2.6441674989819233,0.976457553632234,1.8769945724865067,1.0404916555916448,0.2779518754582209,0.7744807121661721,0.7816091954022989,674,0.8348082595870207
2007-2019,fed_overlap/gaussian_ar1,nowcast M1,208,208,2.1533577470704413,2.1533577470704413,0.862731025259896,1.5537490216001761,0.8109288272033363,0.5491678729977053,0.8137254901960784,0.8137254901960784,204,0.8894230769230769
2007-2019,fed_overlap/gaussian_ar1,nowcast M2,260,260,1.9320182006334756,1.9320182006334756,0.8253952434479592,1.4935147521500731,0.6569059988570429,0.6643486513328527,0.7346153846153847,0.7346153846153847,260,0.9115384615384615
2007-2019,fed_overlap/gaussian_ar1,nowcast M3,208,208,1.9696492826226577,1.9696492826226577,0.8414719636721718,1.545104002262538,0.5168310419632435,0.6431845529557227,0.7259615384615384,0.7259615384615384,208,0.9134615384615384
2007-2019,fed_overlap/gaussian_ar1,backcast,205,205,2.1088535783576554,2.1088535783576554,0.8975355602653334,1.5929735770006501,0.45466538976521054,0.5816347324201475,0.7164179104477612,0.7164179104477612,201,0.9073170731707317
2007-2019,fed_overlap/student_t,forecast,678,261,2.5043559356880882,2.446907782709472,0.8963566465253625,1.721017752008864,1.0680358315039842,0.4957707093453508,0.7848664688427299,0.7662835249042146,674,0.8348082595870207
2007-2019,fed_overlap/student_t,nowcast M1,208,208,2.06269859033879,2.06269859033879,0.8264089290625954,1.431294535290762,0.8363775706789596,0.6295312305413961,0.8333333333333334,0.8333333333333334,204,0.8990384615384616
2007-2019,fed_overlap/student_t,nowcast M2,260,260,1.7936590424168546,1.7936590424168546,0.7662855564677754,1.3160531231790236,0.652765870137645,0.7192696905127997,0.7884615384615384,0.7884615384615384,260,0.9076923076923077
2007-2019,fed_overlap/student_t,nowcast M3,208,208,1.8107585461838045,1.8107585461838045,0.7735907925519558,1.375857205036752,0.42023884100449327,0.6751954856580219,0.7884615384615384,0.7884615384615384,208,0.9038461538461539
2007-2019,fed_overlap/student_t,backcast,205,205,1.862520460990907,1.862520460990907,0.7926953120960629,1.4123775280555386,0.2990699999516276,0.6495561179931861,0.7711442786069652,0.7711442786069652,201,0.9073170731707317
2007-2019,fed_overlap/student_t_ar1,forecast,678,261,2.663460573548384,2.5899178249510206,0.9533032241291178,1.8201211041105303,1.1405103219961907,0.35373112289644165,0.7596439169139466,0.7701149425287356,674,0.8377581120943953
2007-2019,fed_overlap/student_t_ar1,nowcast M1,208,208,2.0259854686249454,2.0259854686249454,0.8117000172806275,1.4477107276956005,0.8391818055918114,0.6458106266704038,0.7990196078431373,0.7990196078431373,204,0.8894230769230769
2007-2019,fed_overlap/student_t_ar1,nowcast M2,260,260,1.8505055985696688,1.8505055985696688,0.7905714959271167,1.4000110777226134,0.6828728403343922,0.694072120161357,0.75,0.75,260,0.9038461538461539
2007-2019,fed_overlap/student_t_ar1,nowcast M3,208,208,1.9340472015469117,1.9340472015469117,0.8262620715670487,1.4999909771559803,0.4684209274296026,0.6464003740746337,0.75,0.75,208,0.9134615384615384
2007-2019,fed_overlap/student_t_ar1,backcast,205,205,1.9912743475424834,1.9912743475424834,0.8474934227322721,1.5426393213299334,0.34169165264432105,0.6267475269545544,0.7313432835820896,0.7313432835820896,201,0.8975609756097561
