window,metodo,n,settimana,RMSE,MAE,Bias,corr,RMSE_rel_fed,RMSE_rel_ar2
2007-2019,fed_overlap/gaussian,52,16.942307692307693,1.9329904145291248,1.5057964512465403,0.24216630198950004,0.6352623783796623,1.0663773852596452,0.8238330319114475
2007-2019,fed_overlap/gaussian_ar1,52,16.942307692307693,2.114696745910262,1.6199813715941715,0.46513266318610874,0.5845373770550458,1.1666197460530077,0.9012755669463117
2007-2019,fed_overlap/student_t,52,16.942307692307693,1.861059934442314,1.411943061637249,0.2811502290476451,0.6493823881303626,1.026695327501418,0.7931765397471039
2007-2019,fed_overlap/student_t_ar1,52,16.942307692307693,2.01499476693454,1.5817805641467189,0.34293555235840734,0.6239533413096678,1.1116169199416106,0.8587829694612129
2007-2019,fed_overlap/student_t_ar1_shared,52,16.942307692307693,1.9443305534490187,1.5284845674706768,0.46306799878582894,0.6497529205294927,1.0726334264686357,0.8286661552205193
2007-2019,nyfed,52,16.942307692307693,1.8126701121465303,1.3606309482420806,0.31298275438380424,0.665965783582342,1.0,0.7725529848055225
2007-2019,ar2,52,16.942307692307693,2.3463375946995275,1.6559122285638077,0.3408340098772428,0.3133513273777543,1.2944095999470295,1.0
2007-2019,mean,52,16.942307692307693,2.614159645405601,1.701890648582838,0.9018246026578964,-0.33964243077503137,1.4421596229166935,1.1141447212502984
2007-2021,fed_overlap/gaussian,59,16.949152542372882,3.144617129372705,2.0119420898645877,0.2003479006347984,0.9156300682703168,0.8288427168945993,0.36616146537740296
2007-2021,fed_overlap/gaussian_ar1,59,16.949152542372882,3.6906066693226323,2.1876341762990776,0.565376164102591,0.8723108020464917,0.9727519545124722,0.42973687751944645
2007-2021,fed_overlap/student_t,59,16.949152542372882,3.7104350292922392,2.059286085375406,0.14450967435306838,0.9023301184045801,0.9779782161121002,0.43204570592169783
2007-2021,fed_overlap/student_t_ar1,59,16.949152542372882,3.193964690614719,2.040408473464072,0.37640735499007544,0.9084731025036875,0.8418495043823061,0.3719075306673231
2007-2021,fed_overlap/student_t_ar1_shared,59,16.949152542372882,3.5396978512285893,2.064818810413283,0.425454938381847,0.895989164134114,0.9329761504490469,0.4121649469160189
2007-2021,nyfed,59,16.949152542372882,3.793985354850616,2.0148397178854864,0.12553591025443614,0.9026257026711619,1.0,0.44177436552653726
2007-2021,ar2,59,16.949152542372882,8.588061351927204,3.425256770453757,-0.4009602079972537,-0.5112278240068321,2.2635989727654993,1.0
2007-2021,mean,59,16.949152542372882,6.433219378892685,2.865462403437512,0.7323059810816946,-0.2724678042787592,1.695636323600407,0.7490886610223201
2007-2025,fed_overlap/gaussian,70,16.928571428571427,2.986096174764901,1.9030670093734605,0.1064023022307359,0.9041178628021427,0.8407621441398347,0.37762636757034307
2007-2025,fed_overlap/gaussian_ar1,70,16.928571428571427,3.4774744394776125,2.071838137387106,0.3942629030903006,0.8571170740814846,0.9791140990818409,0.4397668273367097
2007-2025,fed_overlap/student_t,70,16.928571428571427,3.480615934113308,1.9402321218815177,0.059195746554111014,0.891886897065062,0.9799986150555834,0.4401641056353944
2007-2025,fed_overlap/student_t_ar1,70,16.928571428571427,3.041884910365192,1.945519775874413,0.23897915058108288,0.8944225865935641,0.8564699627153178,0.384681497861898
2007-2025,fed_overlap/student_t_ar1_shared,70,16.928571428571427,3.3397189545770836,1.9632096674131816,0.27725524398148177,0.8825034713667427,0.9403278075247347,0.42234605441737344
2007-2025,nyfed,70,16.928571428571427,3.551653931588357,1.9463842266946265,0.011908496690344179,0.8941104248374541,1.0,0.44914768130608956
2007-2025,ar2,70,16.928571428571427,7.907541504523411,3.078954456747165,-0.3637454349581412,-0.49859795890014197,2.2264391905398933,1.0
2007-2025,mean,70,16.928571428571427,5.9370664140848595,2.611576814195245,0.5915539411052869,-0.2744823018827262,1.6716342663007449,0.7508106547007859
2007-2010,fed_overlap/gaussian,16,17.0,2.2730719898890532,1.7291832411741805,0.827202723382988,0.7959891246547153,1.1262752939065384,0.6894778793549656
2007-2010,fed_overlap/gaussian_ar1,16,17.0,2.681693347366512,2.0109637756076553,0.756838990436578,0.7010697250841061,1.3287414461166478,0.8134226502491144
2007-2010,fed_overlap/student_t,16,17.0,2.194239934013833,1.5471923326792454,0.8846897461450163,0.802655984858001,1.0872151157445373,0.6655662043390362
2007-2010,fed_overlap/student_t_ar1,16,17.0,2.438988960489338,1.935885917651146,0.7657896103614699,0.7671988827787696,1.2084848260542813,0.7398045216906833
2007-2010,fed_overlap/student_t_ar1_shared,16,17.0,2.291835768018583,1.7688917135085893,0.8111387995941957,0.7906446640919266,1.1355724828304423,0.6951693884716947
2007-2010,nyfed,16,17.0,2.0182205915258935,1.536256234360295,0.9836663277197616,0.8556991447792873,1.0,0.612175267525828
2007-2010,ar2,16,17.0,3.2968019104769595,2.160375558523543,0.853661625905716,0.3625990320215649,1.6335191129847622,1.0
2007-2010,mean,16,17.0,4.039047436896633,2.671225416605905,2.241451392553942,-0.10404739971813586,2.0012913622305653,1.225141075070625
2019-2021,fed_overlap/gaussian,11,17.0,6.083227488769242,4.427688162414594,-0.542908867440842,0.9778581732763697,0.7651534325297329,0.3160761492128345
2019-2021,fed_overlap/gaussian_ar1,11,17.0,7.3062751354173505,4.798791725111204,0.42219299744796995,0.9602766196690299,0.9189893866688649,0.3796240259230257
2019-2021,fed_overlap/student_t,11,17.0,7.672977493378837,5.071335344146632,-0.9838523214821818,0.9824786411572451,0.9651135154194315,0.3986773770307586
2019-2021,fed_overlap/student_t_ar1,11,17.0,6.079267651848316,4.180496147480273,0.010730042936476926,0.9802194776438597,0.7646553609356822,0.31587040152251916
2019-2021,fed_overlap/student_t_ar1_shared,11,17.0,7.124559630247201,4.5668053759335425,-0.30119165725167674,0.9724685529558007,0.8961330587111306,0.37018233773489145
2019-2021,nyfed,11,17.0,7.950336795401954,5.086468874445398,-1.1538610629594295,0.963024720266062,1.0,0.4130885856027996
2019-2021,ar2,11,17.0,19.246082008778878,11.053216943068845,-3.9175509410547353,-0.641385106850335,2.4207882639525122,1.0
2019-2021,mean,11,17.0,13.803243192512587,7.784846439995016,-0.3880769859151138,-0.6789008643690847,1.7361834533218314,0.7171975670796995
2024-2025,fed_overlap/gaussian,8,17.0,2.1641864453372586,1.5337792749172423,-0.26656147831349164,-0.14975183002115383,1.207820139684014,1.330604839527104
2024-2025,fed_overlap/gaussian_ar1,8,17.0,2.1337202471561905,1.5322854604446812,-0.25735261672967946,-0.13716287948567876,1.1908171278492532,1.3118733338247828
2024-2025,fed_overlap/student_t,8,17.0,2.0113232675507615,1.5103542070172464,-0.26835408620299733,-0.20635910322268788,1.1225080700402839,1.2366201070256915
2024-2025,fed_overlap/student_t_ar1,8,17.0,2.229402574096502,1.558242661314789,-0.26789378967853755,-0.1555118943503503,1.2442168900274742,1.370701614335593
2024-2025,fed_overlap/student_t_ar1_shared,8,17.0,2.094771035885818,1.5299001513036967,-0.29160107396447743,-0.20046289005224247,1.169079794682548,1.287926224681862
2024-2025,nyfed,8,17.0,1.7918118552845508,1.5742788147322264,-0.22448774264566218,-0.3445615270924807,1.0,1.1016580994213363
2024-2025,ar2,8,17.0,1.6264681902903713,1.375025846047469,0.06591937373896645,0.05520710353235406,0.9077226414667728,1.0
2024-2025,mean,8,17.0,1.6296430640864468,1.4108316878093374,0.059889101135877865,-0.6021831769551755,0.9094945204655147,1.0019520048501587
