window,metodo,horizon_week,n_trimestri,RMSE,sett_al_rilascio,pieno
2007-2019,ar2,-13,2,1.848898255731422,30.142857142857142,False
2007-2019,ar2,-12,46,2.753283125987368,29.496894409937887,True
2007-2019,ar2,-11,46,2.753283125987368,28.496894409937887,True
2007-2019,ar2,-10,46,2.753283125987368,27.496894409937887,True
2007-2019,ar2,-9,46,2.75304519414216,26.496894409937887,True
2007-2019,ar2,-8,46,2.5815534514737015,25.496894409937887,True
2007-2019,ar2,-7,46,2.5815534514737015,24.496894409937887,True
2007-2019,ar2,-6,46,2.5815534514737015,23.496894409937887,True
2007-2019,ar2,-5,46,2.5815534514737015,22.496894409937887,True
2007-2019,ar2,-4,46,2.5815534514737015,21.496894409937887,True
2007-2019,ar2,-3,46,2.5815534514737015,20.496894409937887,True
2007-2019,ar2,-2,46,2.5815534514737015,19.496894409937887,True
2007-2019,ar2,-1,46,2.5815534514737015,18.496894409937887,True
2007-2019,ar2,0,46,2.5815534514737015,17.496894409937887,True
2007-2019,ar2,1,46,2.5815534514737015,16.496894409937887,True
2007-2019,ar2,2,46,2.5815534514737015,15.49689440993789,True
2007-2019,ar2,3,46,2.5815534514737015,14.49689440993789,True
2007-2019,ar2,4,46,2.5944931909295903,13.49689440993789,True
2007-2019,ar2,5,46,2.41148233167279,12.49689440993789,True
2007-2019,ar2,6,46,2.41148233167279,11.49689440993789,True
2007-2019,ar2,7,46,2.41148233167279,10.49689440993789,True
2007-2019,ar2,8,46,2.41148233167279,9.49689440993789,True
2007-2019,ar2,9,46,2.41148233167279,8.49689440993789,True
2007-2019,ar2,10,46,2.41148233167279,7.496894409937888,True
2007-2019,ar2,11,46,2.41148233167279,6.496894409937888,True
2007-2019,ar2,12,46,2.41148233167279,5.496894409937888,True
2007-2019,ar2,13,46,2.41148233167279,4.496894409937888,True
2007-2019,ar2,14,46,2.41148233167279,3.4968944099378882,True
2007-2019,ar2,15,46,2.41148233167279,2.4968944099378882,True
2007-2019,ar2,16,46,2.41148233167279,1.496894409937888,True
2007-2019,ar2,17,46,2.41148233167279,0.4968944099378882,True
2007-2019,fed_overlap/gaussian,-13,2,1.2312123501330832,30.142857142857142,False
2007-2019,fed_overlap/gaussian,-12,46,2.502170226185759,29.496894409937887,True
2007-2019,fed_overlap/gaussian,-11,46,2.4929172500057706,28.496894409937887,True
2007-2019,fed_overlap/gaussian,-10,46,2.437028899069834,27.496894409937887,True
2007-2019,fed_overlap/gaussian,-9,46,2.3912003777897266,26.496894409937887,True
2007-2019,fed_overlap/gaussian,-8,46,2.4131437860640754,25.496894409937887,True
2007-2019,fed_overlap/gaussian,-7,46,2.413370632946954,24.496894409937887,True
2007-2019,fed_overlap/gaussian,-6,46,2.4278702235935343,23.496894409937887,True
2007-2019,fed_overlap/gaussian,-5,46,2.336706800470614,22.496894409937887,True
2007-2019,fed_overlap/gaussian,-4,46,2.3427026392043344,21.496894409937887,True
2007-2019,fed_overlap/gaussian,-3,46,2.379912287845436,20.496894409937887,True
2007-2019,fed_overlap/gaussian,-2,46,2.3783012192913016,19.496894409937887,True
2007-2019,fed_overlap/gaussian,-1,46,2.2197721607650753,18.496894409937887,True
2007-2019,fed_overlap/gaussian,0,46,2.2064983002690983,17.496894409937887,True
2007-2019,fed_overlap/gaussian,1,46,2.3063783669343265,16.496894409937887,True
2007-2019,fed_overlap/gaussian,2,46,2.2071262219075205,15.49689440993789,True
2007-2019,fed_overlap/gaussian,3,46,1.9169679773265147,14.49689440993789,True
2007-2019,fed_overlap/gaussian,4,46,1.783313422858807,13.49689440993789,True
2007-2019,fed_overlap/gaussian,5,46,1.730840311721485,12.49689440993789,True
2007-2019,fed_overlap/gaussian,6,46,1.6325420610802484,11.49689440993789,True
2007-2019,fed_overlap/gaussian,7,46,1.5974871925795657,10.49689440993789,True
2007-2019,fed_overlap/gaussian,8,46,1.8419527833156453,9.49689440993789,True
2007-2019,fed_overlap/gaussian,9,46,1.8286144983489028,8.49689440993789,True
2007-2019,fed_overlap/gaussian,10,46,1.8039077279224536,7.496894409937888,True
2007-2019,fed_overlap/gaussian,11,46,1.803897173563645,6.496894409937888,True
2007-2019,fed_overlap/gaussian,12,46,1.890369835318487,5.496894409937888,True
2007-2019,fed_overlap/gaussian,13,46,1.9125245195948566,4.496894409937888,True
2007-2019,fed_overlap/gaussian,14,46,1.915920823240534,3.4968944099378882,True
2007-2019,fed_overlap/gaussian,15,46,1.9263329249728403,2.4968944099378882,True
2007-2019,fed_overlap/gaussian,16,46,1.9366679147096895,1.496894409937888,True
2007-2019,fed_overlap/gaussian,17,46,1.9292697948155069,0.4968944099378882,True
2007-2019,fed_overlap/gaussian_ar1,-13,2,0.7605115648710368,30.142857142857142,False
2007-2019,fed_overlap/gaussian_ar1,-12,46,2.741382311356427,29.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-11,46,2.7284129737305767,28.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-10,46,2.6862138632049066,27.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-9,46,2.642011920730776,26.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-8,46,2.643692692034194,25.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-7,46,2.60277364872754,24.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-6,46,2.620107186003018,23.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-5,46,2.54155630098594,22.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-4,46,2.5387476411010916,21.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-3,46,2.5218819444721072,20.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-2,46,2.510756631925324,19.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,-1,46,2.419322062655713,18.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,0,46,2.404391030747381,17.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,1,46,2.3059794602352794,16.496894409937887,True
2007-2019,fed_overlap/gaussian_ar1,2,46,2.2215049090999646,15.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,3,46,1.9856683646354467,14.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,4,46,1.8707093515808524,13.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,5,46,1.8449487834422817,12.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,6,46,1.7256020409579933,11.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,7,46,1.7144639020395915,10.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,8,46,1.9566868058107973,9.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,9,46,1.9409462353299236,8.49689440993789,True
2007-2019,fed_overlap/gaussian_ar1,10,46,1.8950380336142862,7.496894409937888,True
2007-2019,fed_overlap/gaussian_ar1,11,46,1.8923591785637432,6.496894409937888,True
2007-2019,fed_overlap/gaussian_ar1,12,46,1.9315809390581309,5.496894409937888,True
2007-2019,fed_overlap/gaussian_ar1,13,46,1.9461845428807802,4.496894409937888,True
2007-2019,fed_overlap/gaussian_ar1,14,46,1.9408794833232954,3.4968944099378882,True
2007-2019,fed_overlap/gaussian_ar1,15,46,1.95780137782093,2.4968944099378882,True
2007-2019,fed_overlap/gaussian_ar1,16,46,1.9462767632039992,1.496894409937888,True
2007-2019,fed_overlap/gaussian_ar1,17,46,1.9382222392641693,0.4968944099378882,True
2007-2019,fed_overlap/student_t,-13,2,1.4178592688082423,30.142857142857142,False
2007-2019,fed_overlap/student_t,-12,46,2.4210555477975495,29.496894409937887,True
2007-2019,fed_overlap/student_t,-11,46,2.400713400968893,28.496894409937887,True
2007-2019,fed_overlap/student_t,-10,46,2.3632545650370345,27.496894409937887,True
2007-2019,fed_overlap/student_t,-9,46,2.327430138873896,26.496894409937887,True
2007-2019,fed_overlap/student_t,-8,46,2.341388161768007,25.496894409937887,True
2007-2019,fed_overlap/student_t,-7,46,2.3627170197423912,24.496894409937887,True
2007-2019,fed_overlap/student_t,-6,46,2.37173245979184,23.496894409937887,True
2007-2019,fed_overlap/student_t,-5,46,2.2901014429459687,22.496894409937887,True
2007-2019,fed_overlap/student_t,-4,46,2.299675047651243,21.496894409937887,True
2007-2019,fed_overlap/student_t,-3,46,2.347650228287021,20.496894409937887,True
2007-2019,fed_overlap/student_t,-2,46,2.3457740487298087,19.496894409937887,True
2007-2019,fed_overlap/student_t,-1,46,2.22372748173656,18.496894409937887,True
2007-2019,fed_overlap/student_t,0,46,2.2056318389156373,17.496894409937887,True
2007-2019,fed_overlap/student_t,1,46,2.3161639066334723,16.496894409937887,True
2007-2019,fed_overlap/student_t,2,46,2.2222394405741173,15.49689440993789,True
2007-2019,fed_overlap/student_t,3,46,1.946052250915637,14.49689440993789,True
2007-2019,fed_overlap/student_t,4,46,1.8145008829875202,13.49689440993789,True
2007-2019,fed_overlap/student_t,5,46,1.7910610276264336,12.49689440993789,True
2007-2019,fed_overlap/student_t,6,46,1.7071600469568817,11.49689440993789,True
2007-2019,fed_overlap/student_t,7,46,1.6829101823562531,10.49689440993789,True
2007-2019,fed_overlap/student_t,8,46,1.8088728466596153,9.49689440993789,True
2007-2019,fed_overlap/student_t,9,46,1.8037688556222093,8.49689440993789,True
2007-2019,fed_overlap/student_t,10,46,1.7629662334570482,7.496894409937888,True
2007-2019,fed_overlap/student_t,11,46,1.7661497319404627,6.496894409937888,True
2007-2019,fed_overlap/student_t,12,46,1.838127328365108,5.496894409937888,True
2007-2019,fed_overlap/student_t,13,46,1.856003253070018,4.496894409937888,True
2007-2019,fed_overlap/student_t,14,46,1.8572825045561963,3.4968944099378882,True
2007-2019,fed_overlap/student_t,15,46,1.860948881396234,2.4968944099378882,True
2007-2019,fed_overlap/student_t,16,46,1.8859904257981746,1.496894409937888,True
2007-2019,fed_overlap/student_t,17,46,1.8618346163755477,0.4968944099378882,True
2007-2019,fed_overlap/student_t_ar1,-13,2,1.6686099152115728,30.142857142857142,False
2007-2019,fed_overlap/student_t_ar1,-12,46,2.6552265658880447,29.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-11,46,2.6377085442435058,28.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-10,46,2.623572856728302,27.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-9,46,2.5757123063431715,26.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-8,46,2.593653722778843,25.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-7,46,2.5537385748199637,24.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-6,46,2.5672159635606535,23.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-5,46,2.5039796493171433,22.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-4,46,2.4889321352651503,21.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-3,46,2.4924652326344,20.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-2,46,2.487227883972696,19.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,-1,46,2.3761035441114964,18.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,0,46,2.3689130494805384,17.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,1,46,2.248826461683232,16.496894409937887,True
2007-2019,fed_overlap/student_t_ar1,2,46,2.140649715217355,15.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,3,46,1.9099460211649486,14.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,4,46,1.8145168853349942,13.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,5,46,1.8040048993065712,12.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,6,46,1.6845985029145072,11.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,7,46,1.6660993538817972,10.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,8,46,1.9082616002524384,9.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,9,46,1.896820210068048,8.49689440993789,True
2007-2019,fed_overlap/student_t_ar1,10,46,1.8467088678065817,7.496894409937888,True
2007-2019,fed_overlap/student_t_ar1,11,46,1.8530089463850015,6.496894409937888,True
2007-2019,fed_overlap/student_t_ar1,12,46,1.9599314030951192,5.496894409937888,True
2007-2019,fed_overlap/student_t_ar1,13,46,1.9728994986097848,4.496894409937888,True
2007-2019,fed_overlap/student_t_ar1,14,46,1.9549579809298336,3.4968944099378882,True
2007-2019,fed_overlap/student_t_ar1,15,46,1.952670485857699,2.4968944099378882,True
2007-2019,fed_overlap/student_t_ar1,16,46,1.9652059069822203,1.496894409937888,True
2007-2019,fed_overlap/student_t_ar1,17,46,1.9720483213041928,0.4968944099378882,True
2007-2019,fed_overlap/student_t_ar1_shared,-13,2,1.7313379794259045,30.142857142857142,False
2007-2019,fed_overlap/student_t_ar1_shared,-12,46,2.659952812102807,29.496894409937887,True
2007-2019,fed_overlap/student_t_ar1_shared,-11,46,2.6366731836847825,28.496894409937887,True
2007-2019,fed_overlap/student_t_ar1_shared,-10,46,2.6210169736151663,27.496894409937887,True
2007-2019,fed_overlap/student_t_ar1_shared,-9,46,2.577932881480587,26.496894409937887,True
2007-2019,fed_overlap/student_t_ar1_shared,-8,46,2.612634979331935,25.496894409937887,True
