job,ok,returncode,minutes,detail,log
preflight_windows,True,0,0.03,,output/_logs/run_all/preflight_windows.log
preflight_common_sample,True,0,0.05,,output/_logs/run_all/preflight_common_sample.log
discover_dfm_cells,True,0,0.0,15 jobs,output/_logs/run_all/discover_dfm_cells.log
discover_bvar_blocks,True,0,0.0,77 jobs,output/_logs/run_all/discover_bvar_blocks.log
bvar_cbvar_2007-01-05,True,0,9.04,,output/_logs/run_all/bvar_cbvar_2007-01-05.log
dfm_diag3_gaussian,True,0,9.56,,output/_logs/run_all/dfm_diag3_gaussian.log
dfm_diag4_gaussian,True,0,10.32,,output/_logs/run_all/dfm_diag4_gaussian.log
dfm_fed_overlap_gaussian,True,0,14.57,,output/_logs/run_all/dfm_fed_overlap_gaussian.log
dfm_benchmark,True,0,15.0,,output/_logs/run_all/dfm_benchmark.log
bvar_cbvar_2018-08-03,True,0,16.87,,output/_logs/run_all/bvar_cbvar_2018-08-03.log
bvar_cbvar_2014-05-02,True,0,16.93,,output/_logs/run_all/bvar_cbvar_2014-05-02.log
bvar_cbvar_2018-11-02,True,0,17.02,,output/_logs/run_all/bvar_cbvar_2018-11-02.log
bvar_cbvar_2017-04-28,True,0,17.11,,output/_logs/run_all/bvar_cbvar_2017-04-28.log
bvar_cbvar_2011-04-29,True,0,17.23,,output/_logs/run_all/bvar_cbvar_2011-04-29.log
bvar_cbvar_2014-01-31,True,0,17.31,,output/_logs/run_all/bvar_cbvar_2014-01-31.log
bvar_cbvar_2020-01-31,True,0,17.34,,output/_logs/run_all/bvar_cbvar_2020-01-31.log
bvar_cbvar_2012-11-02,True,0,17.49,,output/_logs/run_all/bvar_cbvar_2012-11-02.log
bvar_cbvar_2010-04-30,True,0,17.65,,output/_logs/run_all/bvar_cbvar_2010-04-30.log
bvar_cbvar_2015-05-01,True,0,17.81,,output/_logs/run_all/bvar_cbvar_2015-05-01.log
bvar_cbvar_2019-08-02,True,0,17.85,,output/_logs/run_all/bvar_cbvar_2019-08-02.log
bvar_cbvar_2017-02-03,True,0,17.89,,output/_logs/run_all/bvar_cbvar_2017-02-03.log
bvar_cbvar_2013-02-01,True,0,17.98,,output/_logs/run_all/bvar_cbvar_2013-02-01.log
bvar_cbvar_2007-02-02,True,0,18.1,,output/_logs/run_all/bvar_cbvar_2007-02-02.log
bvar_cbvar_2011-01-28,True,0,18.18,,output/_logs/run_all/bvar_cbvar_2011-01-28.log
bvar_cbvar_2018-02-02,True,0,18.48,,output/_logs/run_all/bvar_cbvar_2018-02-02.log
bvar_cbvar_2016-04-29,True,0,18.55,,output/_logs/run_all/bvar_cbvar_2016-04-29.log
bvar_cbvar_2009-05-01,True,0,18.56,,output/_logs/run_all/bvar_cbvar_2009-05-01.log
bvar_cbvar_2010-01-29,True,0,18.58,,output/_logs/run_all/bvar_cbvar_2010-01-29.log
bvar_cbvar_2016-01-29,True,0,18.6,,output/_logs/run_all/bvar_cbvar_2016-01-29.log
bvar_cbvar_2012-02-03,True,0,18.62,,output/_logs/run_all/bvar_cbvar_2012-02-03.log
bvar_cbvar_2007-05-04,True,0,18.64,,output/_logs/run_all/bvar_cbvar_2007-05-04.log
bvar_cbvar_2015-07-31,True,0,18.66,,output/_logs/run_all/bvar_cbvar_2015-07-31.log
bvar_cbvar_2008-02-01,True,0,18.71,,output/_logs/run_all/bvar_cbvar_2008-02-01.log
bvar_cbvar_2010-10-29,True,0,18.72,,output/_logs/run_all/bvar_cbvar_2010-10-29.log
bvar_cbvar_2016-07-29,True,0,18.74,,output/_logs/run_all/bvar_cbvar_2016-07-29.log
bvar_cbvar_2019-11-01,True,0,18.78,,output/_logs/run_all/bvar_cbvar_2019-11-01.log
bvar_cbvar_2019-05-03,True,0,18.8,,output/_logs/run_all/bvar_cbvar_2019-05-03.log
bvar_cbvar_2019-02-01,True,0,18.8,,output/_logs/run_all/bvar_cbvar_2019-02-01.log
bvar_cbvar_2007-08-03,True,0,18.82,,output/_logs/run_all/bvar_cbvar_2007-08-03.log
bvar_cbvar_2011-07-29,True,0,18.86,,output/_logs/run_all/bvar_cbvar_2011-07-29.log
bvar_cbvar_2012-05-04,True,0,18.86,,output/_logs/run_all/bvar_cbvar_2012-05-04.log
bvar_cbvar_2013-08-02,True,0,18.89,,output/_logs/run_all/bvar_cbvar_2013-08-02.log
bvar_cbvar_2008-08-01,True,0,18.94,,output/_logs/run_all/bvar_cbvar_2008-08-01.log
bvar_cbvar_2009-10-30,True,0,19.04,,output/_logs/run_all/bvar_cbvar_2009-10-30.log
bvar_cbvar_2007-11-02,True,0,19.11,,output/_logs/run_all/bvar_cbvar_2007-11-02.log
bvar_cbvar_2008-10-31,True,0,19.12,,output/_logs/run_all/bvar_cbvar_2008-10-31.log
bvar_cbvar_2018-05-04,True,0,19.2,,output/_logs/run_all/bvar_cbvar_2018-05-04.log
bvar_cbvar_2014-10-31,True,0,19.28,,output/_logs/run_all/bvar_cbvar_2014-10-31.log
bvar_cbvar_2009-07-31,True,0,19.29,,output/_logs/run_all/bvar_cbvar_2009-07-31.log
bvar_cbvar_2015-01-30,True,0,19.35,,output/_logs/run_all/bvar_cbvar_2015-01-30.log
bvar_cbvar_2010-07-30,True,0,19.53,,output/_logs/run_all/bvar_cbvar_2010-07-30.log
bvar_cbvar_2011-10-28,True,0,19.54,,output/_logs/run_all/bvar_cbvar_2011-10-28.log
bvar_cbvar_2012-08-03,True,0,19.59,,output/_logs/run_all/bvar_cbvar_2012-08-03.log
bvar_cbvar_2015-10-30,True,0,19.61,,output/_logs/run_all/bvar_cbvar_2015-10-30.log
bvar_cbvar_2014-08-01,True,0,19.68,,output/_logs/run_all/bvar_cbvar_2014-08-01.log
bvar_cbvar_2013-11-01,True,0,19.7,,output/_logs/run_all/bvar_cbvar_2013-11-01.log
bvar_cbvar_2017-07-28,True,0,19.73,,output/_logs/run_all/bvar_cbvar_2017-07-28.log
bvar_cbvar_2013-05-03,True,0,20.09,,output/_logs/run_all/bvar_cbvar_2013-05-03.log
bvar_cbvar_2009-01-30,True,0,20.21,,output/_logs/run_all/bvar_cbvar_2009-01-30.log
bvar_cbvar_2017-11-03,True,0,20.24,,output/_logs/run_all/bvar_cbvar_2017-11-03.log
bvar_cbvar_2008-05-02,True,0,20.31,,output/_logs/run_all/bvar_cbvar_2008-05-02.log
bvar_cbvar_2016-10-28,True,0,20.95,,output/_logs/run_all/bvar_cbvar_2016-10-28.log
bvar_qbvar_2007-01-05,True,0,8.46,,output/_logs/run_all/bvar_qbvar_2007-01-05.log
bvar_cbvar_2020-07-31,True,0,19.05,,output/_logs/run_all/bvar_cbvar_2020-07-31.log
bvar_cbvar_2020-10-30,True,0,18.63,,output/_logs/run_all/bvar_cbvar_2020-10-30.log
bvar_cbvar_2025-10-31,True,0,10.45,,output/_logs/run_all/bvar_cbvar_2025-10-31.log
bvar_cbvar_2020-05-01,True,0,20.61,,output/_logs/run_all/bvar_cbvar_2020-05-01.log
bvar_cbvar_2021-01-29,True,0,18.61,,output/_logs/run_all/bvar_cbvar_2021-01-29.log
bvar_cbvar_2025-05-02,True,0,15.04,,output/_logs/run_all/bvar_cbvar_2025-05-02.log
bvar_cbvar_2025-08-01,True,0,15.64,,output/_logs/run_all/bvar_cbvar_2025-08-01.log
bvar_cbvar_2021-04-30,True,0,19.57,,output/_logs/run_all/bvar_cbvar_2021-04-30.log
bvar_cbvar_2022-01-28,True,0,17.69,,output/_logs/run_all/bvar_cbvar_2022-01-28.log
bvar_cbvar_2025-01-31,True,0,16.79,,output/_logs/run_all/bvar_cbvar_2025-01-31.log
bvar_cbvar_2023-02-03,True,0,17.79,,output/_logs/run_all/bvar_cbvar_2023-02-03.log
bvar_cbvar_2022-04-29,True,0,18.06,,output/_logs/run_all/bvar_cbvar_2022-04-29.log
bvar_cbvar_2024-11-01,True,0,17.3,,output/_logs/run_all/bvar_cbvar_2024-11-01.log
bvar_cbvar_2021-10-29,True,0,18.48,,output/_logs/run_all/bvar_cbvar_2021-10-29.log
bvar_cbvar_2021-07-30,True,0,19.37,,output/_logs/run_all/bvar_cbvar_2021-07-30.log
bvar_cbvar_2024-08-02,True,0,18.38,,output/_logs/run_all/bvar_cbvar_2024-08-02.log
bvar_cbvar_2022-07-29,True,0,19.21,,output/_logs/run_all/bvar_cbvar_2022-07-29.log
bvar_cbvar_2023-07-28,True,0,19.84,,output/_logs/run_all/bvar_cbvar_2023-07-28.log
